synset_id	concept	gloss	wordnet21id	supersense	supersense_src	n_member_lemmas	n_tokens	member_lemmas_slp1	decode_src
80672	ascending(a)	moving or going or growing upward; 'the ascending plane'; 'the ascending staircase'; 'the ascending stems of chickweed'			none	1	2	UrDvaga	word-senses
80679	descending(a)	coming down or downward			none	1	2	aDogAmin	word-senses
80683	down(a)	extending or moving from a higher to a lower place; 'the down staircase'; 'the downward course of the stream'			none	1	2	avAYc	word-senses
80685	dropping	coming down freely under the influence of gravity; 'the eerie whistle of dropping bombs'; 'falling rain'			none	2	2	cyut|pruz	word-senses
80688	falling	suddenly losing an upright position; 'they ran from the falling tree'; 'a falling wall crushed the car'			none	1	2	saMnipAtin	word-senses
80719	heavenward	directed toward heaven or the sky; 'the soul in its heavenward flight'			none	1	2	divispfS	word-senses
80801	invariable	not liable to or capable of change; 'an invariable temperature'; 'an invariable rule'; 'his invariable courtesy'			none	2	2	niScala|nitya	word-senses
80808,76757	pṛśni	variegated			none	1	2	pfSni	lemma-fallback
80840	ferocious	marked by extreme and violent energy; 'a ferocious beating'; 'fierce fighting'; 'a furious battle'			none	2	2	DfzRu|krUra	word-senses
80870	concealed	not accessible to view; 'concealed (or hidden) damage'; 'in stormy weather the stars are out of sight'			none	1	2	niBfta	word-senses
80913	invulnerable	immune to attack; impregnable; 'gunners raked the beach from invulnerable positions on the cliffs'			none	1	2	amarman	word-senses
80918	impregnable	able to withstand attack; 'an impregnable fortress'; 'fortifications that made the frontier inviolable'			none	1	2	durDarza	word-senses
80946	cooling	providing coolness; 'a cooling breeze'; '`caller' is a Scottish term as in `a caller breeze''			none	1	2	jalAza	word-senses
8105	constrictor	any of various large nonvenomous snakes that kill their prey by crushing it in its coils	01723	animal	direct	1	2	svaja	word-senses
81063	drenched	wet through and through; thoroughly wet; 'stood at the door drenched (or soaked) by the rain'; 'a shirt saturated with perspiration'; 'his shoes were sopping (or soaking)'; 'the speaker's sodden collar'; 'soppy clothes'			none	2	2	paryuzita|drava	word-senses
81112,131389	dhāyas	nourishing			none	1	2	DAyas	lemma-fallback
81121,74412	uru	wide			none	1	2	uru	lemma-fallback
81183,79419	amūra	wise			none	1	2	amUra	lemma-fallback
81280,67413	yathārha	as deserving			none	2	2	yaTArha|arha	lemma-fallback
81630	ascetic	pertaining to or characteristic of an ascetic; 'ascetic practices'			none	1	2	saMyamin	word-senses
8169	adder	small terrestrial viper common in northern Eurasia	01734	animal	direct	1	2	pfdAkU	word-senses
82139	fleshy	of or relating to or resembling flesh			none	1	2	mAMsala	word-senses
82649	bridal	of or relating to a wedding; 'bridal procession'; 'nuptial day'; 'spousal rites'; 'wedding cake'; 'marriage vows'			none	2	2	vEvAhika|vEvAhya	word-senses
82699	marital	of or relating to the state of marriage; 'marital status'; 'marital fidelity'; 'married bliss'			none	2	2	samanya|pARigrahaRaka	word-senses
82894	sexual	of or relating to or characterized by sexuality; 'sexual orientation'; 'sexual distinctions'			none	2	2	mETuna|grAmya	word-senses
82896	marine	of or relating to the sea; 'marine explorations'			none	1	2	sAmudra	word-senses
83080	domestic	of or relating to the home; 'domestic servant'; 'domestic science'			none	1	2	gfhya	word-senses
83424	rhinal	of or in or relating to the nose; 'nasal passages'			none	2	2	OpanAsika|nAsikya	word-senses
83542	palatal	relating to or lying near the palate; 'palatal index'; 'the palatine tonsils'			none	1	2	tAlavya	word-senses
83706	etymological	based on or belonging to etymology; 'I merely drew an etymological distinction'			none	2	2	nEGaRwuka|yOgika	word-senses
84022	Indo-European	of or relating to the former Indo-European people; 'Indo-European migrations'			none	1	2	Arya	word-senses
84026	Iranian	of or relating to Iran or its people or language or culture; 'Iranian mountains'; 'Iranian security police'			none	1	2	pArasIka	word-senses
84198	puerile	of or characteristic of a child; 'puerile breathing'			none	1	2	bAla	word-senses
84238,73240	yajñiya	worthy of worship or sacrifice			none	1	2	yajYiya	lemma-fallback
84281	sulphuric	of or relating to or containing sulfur; 'sulphuric esters'			none	1	2	gAnDika	word-senses
84444	hammered	shaped or worked with a hammer and often showing hammer marks: 'a bowl of hammered brass'			none	1	2	kaRwaveDIkfta	word-senses
84573	fall asleep	change from a waking to a sleeping state; 'he always falls asleep during lectures'			none	2	2	svap|saMprasvap	word-senses
84617	stretch	extend one's limbs or muscles, or the entire body; 'Stretch your legs!' 'Extend your right arm above your head'			none	1	2	visPUrj	word-senses
84621	invigorate	impart vigor, strength, or vitality to; 'Exercise is invigorating'			none	1	2	Sak	word-senses
84666	shave	remove body hair with a razor			none	2	2	saMhAray|muRqApay	word-senses
84673	dress	of hair			none	1	2	granT	word-senses
84702	dress up	put on special clothes to appear particularly appealing and attractive			none	1	2	BUzay	word-senses
84798	irritate	cause to be in a worse state; 'Aspirin irritates my stomach'			none	2	2	kfz|bAD	word-senses
84799	inflame	become inflamed; get sore; of tissue or organs			none	2	2	dyut|saMraB	word-senses
84828	trample	injure by trampling or as if by trampling; 'The passerby was trampled by an elephant'			none	1	2	maT	word-senses
84842	evacuate	excrete or discharge from the body			none	2	2	kf|nirhf	word-senses
84849	exhaust	wear out completely; 'This kind of work exhausts me'; 'I'm beat'			none	2	2	prakzi|glapay	word-senses
84875	comfort	ease physically			none	2	2	aBisAntvay|prI	word-senses
84890,89894	añj	to apply an ointment or pigment			none	2	2	aYj|dih	lemma-fallback
84893	inject	give an injection to; 'We injected the glucose into the patient's vein'			none	2	2	yojay|viDA	word-senses
84967	fart	expel intestinal gases through the anus			none	2	2	muc|avaSarDay	word-senses
84985	emit	expel, as of gases and odors			none	2	2	vA|visfj	word-senses
85004	change	undergo a change; become different in essence; losing one's or its original nature; 'She changed completely as she grew older'; 'The weather changed last night'			none	2	2	pariRam|parivft	word-senses
85019	stay	stay the same; remain in a certain state; 'The dress remained wet after repeated attempts to dry it'; 'rest assured'; 'stay alone'; 'He remained unmoved by her tears'; 'The bad weather continued for another week'			none	2	2	BU|ASI	word-senses
85050	change	cause to change; make different; cause a transformation; 'The advent of the automobile may have altered the growth pattern of the city'; 'The discussion has changed my thinking about the issue'			none	2	2	parivartay|vikalpay	word-senses
85080	tie	form a knot or bow in; 'tie a necktie'			none	2	2	nah|sajjay	word-senses
85097	round	make round			none	1	2	piRqay	word-senses
85139	accrue	grow by addition, as of capital: 'The interest accrues'			none	1	2	sampad	word-senses
85169	change	exchange or replace with another, usually of the same kind or category; 'Could you convert my dollars into pounds?' 'He changed his name'			none	1	2	parivartay	word-senses
85221,89292	apahan	to beat off			none	1	2	apahan	lemma-fallback
85382	spoil	become unfit for consumption or use; 'the meatt must be eaten before it spoils'			none	2	2	duz|dUzay	word-senses
85412	flood	cover with liquid, usually water; 'The swollen river flooded the village'; 'The broken vein had flooded blood in her eyes'			none	2	2	plu|AplAvay	word-senses
85466,94716	āhu	to sacrifice			none	1	2	Ahu	lemma-fallback
85485	subside	sink or fall to a lower level; 'The pain subsided'			none	2	2	upaSam|praSam	word-senses
85552	ripen	cause to ripen; 'The sun ripens the fruit'			none	2	2	pAcay|paripAcay	word-senses
85574	soften	make soft or softer; 'This liquid will soften your laundry'			none	1	2	mfdUkf	word-senses
85591,84804	dhūrv	Leid antun			none	1	2	DUrv	lemma-fallback
85604	impair	make worse or less effective; 'His vision was impaired'			none	1	2	upahan	word-senses
85609	puff	to swell or cause to enlarge, 'Her faced puffed up from the drugs'			none	1	2	ADam	word-senses
85679	straighten	make straight or straighter; 'Straighten this post'; 'straighten hair'			none	2	2	AyAmay|samay	word-senses
85690	whiten	turn white; 'This detergent will whiten your laundry'			none	1	2	DavalIkf	word-senses
85754	irradiate	cast rays of light upon			none	2	2	dyotay|ABA	word-senses
85816	narrow	make or become more narrow or restricted; 'The selection was narrowed'; 'The road narrowed'			none	1	2	saMkuYc	word-senses
85861	obscure	conceal or hide by covering or intervening			none	1	2	pracCAday	word-senses
85876	broaden	become broader; 'The road broadened'			none	2	2	Ayam|vistf	word-senses
85940,91387	mṛd	to press			none	1	2	mfd	lemma-fallback
85952,85000	śṛ	to crush			none	1	2	Sf	lemma-fallback
85954,91387	bhid	to split			none	2	2	Bid|pramfd	lemma-fallback
86065,131455	parābhū	to perish			none	1	2	parABU	lemma-fallback
86074,95887	bhū	to be			none	2	2	BU|samBU	lemma-fallback
86136	boil	come to the boiling point and change from a liquid to vapor; 'Water boils at 100 degrees Celsius'			none	2	2	kvaT|aBipac	word-senses
86150	burn	destroy by fire; 'They burned the house and his diaries'			none	1	2	nijUrv	word-senses
86188	waste	cause to grow thin or weak; 'The treatment emaciated him'			none	2	2	karSay|avakarSay	word-senses
86301	settle	become settled or established and stable in one's residence or life style; 'He finally settled down'			none	1	2	AvAsay	word-senses
86301,93233	viś	to enter			none	1	2	viS	lemma-fallback
86310	equal	make equal or uniform; 'let's equalize the duties among all employees in this office'			none	1	2	samIkf	word-senses
86341	come on	appear or become visible; make a showing; 'She turned up at the funeral'; 'I hope the list key is going to surface again'			none	2	2	jan|prakawIBU	word-senses
86358	vanish	cease to exist; 'An entire civilization vanished'			none	2	2	ativft|pariBraMS	word-senses
86390	wane	decrease in phase; 'the moon is waning'			none	1	2	kzi	word-senses
86391	wane	become smaller; 'Interest in his novels waned'			none	1	2	parimlA	word-senses
86426	decrease	make smaller; 'He decreased his staff'			none	2	2	hrAsay|Samay	word-senses
86555	perfect	make perfect or complete; 'perfect yur French in Paris!'			none	1	2	saMskf	word-senses
86564	purge	rid of impurities; 'purge your mind'			none	1	2	pU	word-senses
86581	drown	kill by submerging in water; 'He drowned the kittens'			none	2	2	majjay|nimajjay	word-senses
86591	codify	organize into a code or system, such as a body of law; 'Hamurabi codified the laws'			none	1	2	nibanD	word-senses
86640	pollute	make impure; 'The industrial wastes polluted the lake'			none	1	2	ucCri	word-senses
86819,93327	utkram	to step up			none	1	2	utkram	lemma-fallback
86882	widen	extend in scope or range or area; 'The law was extended to all citizens'; 'widen the range of applications'; 'broaden your horizon'			none	2	2	pravitan|vistAray	word-senses
86907	flow out	flow forth, as of water			none	2	2	niHsru|viniHsru	word-senses
87046,87055	adhī	to turn the mind towards			none	1	2	aDI	lemma-fallback
87055,87046	adhī	to turn the mind towards			none	1	2	aDI	lemma-fallback
87099	come to mind	be remembered; 'His name comes to mind when you mention the strike'			none	1	2	BU	word-senses
87100	mind	keep in mind			none	1	2	vid	word-senses
87184	think	have or formulate in the mind; 'think good thoughts'			none	1	2	saMkalpay	word-senses
87188,87234	parigaṇay	to count over			none	2	2	parigaRay|vicAray	lemma-fallback
87188,88492	ālocay	to make visible			none	2	2	Alocay|parigaRay	lemma-fallback
87194	reconstruct	of past events			none	1	2	yojay	word-senses
87208,88481	nikṣip	to throw or cast or put or lay down			none	1	2	nikzip	lemma-fallback
87244	measure	determine the measurements of something or somebody, take measurements of; 'Measure the length of the wall'			none	1	2	mA	word-senses
87268	compare	consider or describe as similar, equal, or analogous; 'We can compare the Han dynasty to the Romans'			none	1	2	upamA	word-senses
87396,87391	avakalpay	to employ becomingly			none	1	2	avakalpay	lemma-fallback
87402	rule out	dismiss from consideration; John was ruled out as a possible suspect because he had a strong alibi.'			none	1	2	pratyAKyA	word-senses
87431	favor	consider as the favorite; 'The local team was favored'			none	1	2	praSaMs	word-senses
87454,93883	pratyavekṣ	to look at			none	1	2	pratyavekz	lemma-fallback
87480,87933	vimṛś	to touch (with the hands)			none	1	2	vimfS	lemma-fallback
87485	brood	think moodily or anxiously about something			none	1	2	DyA	word-senses
87505	aim	propose or intend; 'I aim to arrive at noon'			none	2	2	aBipre|aBisaMDA	word-senses
87526	associate	make a logical or causal connection; 'I cannot connect these two pieces of evidence in my mind'			none	2	2	saMyojay|sambanD	word-senses
87558	believe	be confident about something; 'I believe that he will come back from the war'			none	1	2	man	word-senses
87564,95176	yam	to sustain			none	1	2	yam	lemma-fallback
87668,87991	anuśās	to rule			none	1	2	anuSAs	lemma-fallback
87690,87044	īś	to own			none	1	2	IS	lemma-fallback
87695,87697	yācay	to cause to ask or woo			none	1	2	yAcay	lemma-fallback
87696	request	express the need or desire for; ask for; 'She requested an extra bed in her room'			none	2	2	aBiyAc|pracoday	word-senses
87715	renounce	cast off or disown: 'She renounced her husband'; 'The parents repudiated their son'			none	1	2	saMnyas	word-senses
87716	apostatize	abandon one's beliefs or allegiances			none	2	2	hA|BraMS	word-senses
87722,87814	ī	jemanden beschw￶ren			none	1	2	I	lemma-fallback
87747,90940	nud	to push			none	1	2	nud	lemma-fallback
87826	question	pose a question			none	1	2	anuyuj	word-senses
87906	agree	be in accord; be in agreement; 'We agreed on the terms of the settlement'; 'I can't agree with you!'			none	2	2	saMjYA|sampAday	word-senses
87970	reprimand	rebuke formally			none	1	2	garh	word-senses
87972	admonish	take to task; 'He admonished the child for his bad behavior'			none	1	2	boDay	word-senses
87973	chastize	censure severely; 'She chastized him for his insensitive remarks'			none	1	2	SAs	word-senses
87975	rebuke	censure severely or angrily; 'The mother scolded the child for entering the stranger's car'; 'The deputy ragged the Prime Minister'; 'The customer dressed down the waiter for bringing cold soup'; 'check' is archaic			none	1	2	upAlaB	word-senses
88053	defame	charge falsely or with malicious intent; attack the good name and reputation of someone; 'The journalists have defamed me!' The article in the paper sullied my reputation'			none	2	2	aBiSaMs|durjanIkf	word-senses
88073	ridicule	subject to laughter or ridicule: 'The satirists ridiculed the plans for a new opera house'; 'The students poked fun at the inexperienced teacher'			none	2	2	has|prahas	word-senses
88092,88100	anumad	to rejoice over			none	1	2	anumad	lemma-fallback
88092,88110	stu	to praise			none	1	2	stu	lemma-fallback
88092,88504	śaṃs	to recite			none	1	2	SaMs	lemma-fallback
88103	cheer	make cheerful			none	1	2	ASvAsay	word-senses
88152,96261	abhidās	bedrohen			none	1	2	aBidAs	lemma-fallback
88157	advise	give advise to			none	2	2	boDay|mantray	word-senses
88171	consult	advise professionally; 'The professor consults for industry'			none	1	2	sammantray	word-senses
88219,92311	pūjay	to honour			none	1	2	pUjay	lemma-fallback
88266,87695	pracch	to question			none	1	2	pracC	lemma-fallback
88331	exclaim	utter aloud; often with surprise, horror, or joy; 'I won!' he exlaimed			none	2	2	prakruS|SabdApay	word-senses
88363	determine	find out or learn with certainty; 'I want to see whether she speaks French'; 'See whether it works'; 'Watch how he will react'			none	2	2	upajYA|pratarkay	word-senses
88398	indicate	to state or express briefly: 'indicated his wishes in a letter.'			none	1	2	varRay	word-senses
88399	indicate	suggest the necessity of an intervention; in medicine: 'Tetracycline is indicated in such cases'			none	2	2	vac|AdiS	word-senses
88401	convey	make known; pass on, of information			none	1	2	pravac	word-senses
8843	bull	mature male of various mammals of which the female is called `cow'; e.g. whales or elephants or especially cattle	01868	animal	direct	2	2	fzaBa|vfza	word-senses
88461	talk	express in speech; 'She talks a lot of nonsense'			none	2	2	brU|pravyAhf	word-senses
88462	speak of	discuss or mention; 'They spoke of many things'			none	1	2	pravad	word-senses
88464	express	give expression to; 'She showed her disappointment'			none	2	2	vad|upadarSay	word-senses
88504,88645	ah	to say			none	2	2	ah|brU	lemma-fallback
88553	converse	carry on a conversation			none	1	2	pralap	word-senses
88599	call out	call out loudly, as of names or numbers			none	2	2	aBisaMkruS|aByASrAvay	word-senses
88613,88742	vac	to speak			none	1	2	vac	lemma-fallback
88642	heave	utter a sound, as with obvious effort; 'She uttered a sigh'			none	1	2	viniHSvas	word-senses
88742,88741	brū	to speak			none	2	2	brU|vac	lemma-fallback
88786	conclude	reach a conclusion after a discussion or deliberation			none	2	2	vinirdiS|viniSci	word-senses
88787	arrange	make arrangements for; 'Can you arrange a meeting with the President?'			none	1	2	viDA	word-senses
88808	name	give the name or identifying characteristics of; refer to by name or some other identifying characteristic property; 'Many senators were named in connection with the scandal'; 'The almanac identifies the auspicious months'			none	1	2	prabrU	word-senses
88840	comment	explain or interpret something			none	1	2	vivf	word-senses
88903,88334	nad	to sound			none	1	2	nad	lemma-fallback
88914,88903	ru	to sound			none	2	2	ru|aBigarj	lemma-fallback
88959	hum	make a low continuous sound; 'The refrigerator is humming'			none	2	2	kUj|guYj	word-senses
89142	lose	fail to win; 'We lost the battle but we won the war'			none	2	2	kzi|parAkf	word-senses
89200,94548	siṣās	to wish to win			none	1	2	sizAs	lemma-fallback
89229	resist	stand up or offer resistance to somebody or something			none	2	2	pratikf|pratisamAs	word-senses
89240	attack	take the initiative and go on the offensive: 'The Serbs attacked the village at night'; 'The visting team started to attack'			none	2	2	aBidru|amitray	word-senses
89282	blockade	obstruct access to			none	1	2	ruD	word-senses
89288,89294	gup	to guard			none	1	2	gup	lemma-fallback
89288,95810	pā	to watch			none	2	2	pA|pAlay	lemma-fallback
89300	repel	force or drive back; 'repel the attacker'			none	2	2	AvAray|parivAray	word-senses
8944	fish scale	scale of the kind that covers the bodies of fish	01883	animal	direct	1	2	Salka	word-senses
89482,89490	bhuj	to enjoy			none	1	2	Buj	lemma-fallback
89490,89444	paribhuj	to eat before another (with acc.)			none	1	2	pariBuj	lemma-fallback
89490,89628	ad	to eat			none	1	2	ad	lemma-fallback
89490,89650	khād	to chew			none	1	2	KAd	lemma-fallback
89499	sip	drink in sips			none	1	2	Acam	word-senses
8953	oyster shell	a shell of an oyster	01885	animal	direct	1	2	SuktikA	word-senses
89576	breastfeed	of infants			none	1	2	DA	word-senses
8959	invertebrate	any animal lacking a backbone or notochord; the term is not used as a scientific classification	01886	animal	direct	1	2	anasTi	word-senses
89598,92459	mad	to rejoice			none	2	2	mad|ram	lemma-fallback
89619	fatten	make fat or plump; 'We will plump out that poor starving child'			none	1	2	bfMhay	word-senses
89626	devour	eat greedily			none	1	2	gras	word-senses
89653,89628	gṛ	to swallow			none	1	2	gf	lemma-fallback
89657,89665	tarpay	to refresh			none	1	2	tarpay	lemma-fallback
89659	feed on	be sustained by; 'He fed on the great ideas of her mentor'			none	1	2	vft	word-senses
89709,89718	grah	to seize			none	1	2	grah	lemma-fallback
89721,94232	dhā	to put			none	1	2	DA	lemma-fallback
89721,96372	bhṛ	to bear			none	1	2	Bf	lemma-fallback
89722,89566	dhāray	to hold			none	1	2	DAray	lemma-fallback
89737	cling to	hold firmly, usually with one's hands; 'She clutched my arm when she got scared'			none	2	2	avalamb|parivezway	word-senses
89745	clasp	grasp firmly; 'The child clasped my hands'			none	2	2	Sliz|upasaMgrah	word-senses
89767	cut	penetrate injuriously; 'The glass from the shattered windshield cut into her forehead'			none	2	2	kft|Cid	word-senses
89796	daub	cover (a surface) by smearing (a substance) over it; 'smear the paint onto the wall'			none	2	2	dih|pralip	word-senses
89907	abrade	wear away			none	2	2	Gfz|vigam	word-senses
90023	scarify	puncture the skin, as, for example, in some African cultures; for ritual purposes			none	2	2	nirliK|saMliK	word-senses
90075	unloose	loosen the ties of			none	1	2	vizA	word-senses
90103	fasten	attach to; 'They fastened various nicknames to each other'			none	1	2	yojay	word-senses
90109	close	unite or bring into contact or bring together the edges of; 'close the circuit'; 'close a wound'			none	1	2	saMyam	word-senses
90145	detach	come to be detached; 'His retina detached and he had to be rushed into surgery'			none	1	2	viSf	word-senses
90259,128992	pātay	to let fly			none	1	2	pAtay	lemma-fallback
90259,85221	han	to strike			none	1	2	han	lemma-fallback
90259,89243	nihan	to strike or fix in			none	1	2	nihan	lemma-fallback
90259,90645	han	to strike			none	1	2	han	lemma-fallback
90259,91387	unmūlay	to destroy			none	2	2	unmUlay|nipAtay	lemma-fallback
90332	uncover	remove the covering from; 'uncover the body'			none	2	2	pramuc|vivf	word-senses
90370	open	become open; 'The door opened'			none	1	2	Cid	word-senses
90543,89559	samudānī	to gather			none	1	2	samudAnI	lemma-fallback
90618	clench	squeeze together tightly, as of one's fists			none	1	2	saMvartay	word-senses
90645,90259	han	to strike			none	1	2	han	lemma-fallback
90687,90259	abhihan	to thump at			none	2	2	aBihan|praGAtay	lemma-fallback
90774	ride	copulate with, as of animals; 'The bull was riding the cow'			none	1	2	skand	word-senses
90775	breed	of plants or animals; 'She breeds dogs'			none	2	2	pozay|viDA	word-senses
90797,94793	apahṛ	to snatch away			none	1	2	apahf	lemma-fallback
90829,90259	śnath	to pierce			none	1	2	SnaT	lemma-fallback
90829,90842	vyadh	to pierce			none	2	2	vyaD|vivyaD	lemma-fallback
90842	transfix	pierce with a sharp stake or point; 'impale a shrimp on a skewer'			none	1	2	vyaD	word-senses
90963	let go of	release, as from one's hands; 'Let go of the door handle, please!'			none	1	2	muc	word-senses
91052	harness	put a harness on; of animals such as horses			none	2	2	upasaMyam|niyu	word-senses
91058	bruise	injure the underlying soft tissue of bone of; 'I bruised my knee'			none	2	2	Gfz|cUrRay	word-senses
91059	jam	crus or bruise; 'jam a toe'			none	2	2	cUrRay|sampiz	word-senses
91067,94192	dhā	to put			none	1	2	DA	lemma-fallback
91191	encircle	form a circle around; 'encircle the errors'			none	2	2	parikzip|parivAray	word-senses
91203	deluge	fill quickly beyond capacity; as with a liquid; 'the basement was inundated after the storm'; 'The images flooded his mind'			none	2	2	plAvay|AplAvay	word-senses
91247	houseclean	make the house clean; 'She housecleans every week'			none	1	2	sammfj	word-senses
91292,93215	ās	to sit			none	1	2	As	lemma-fallback
91309,84560	śī	to lay down			none	1	2	SI	lemma-fallback
91322	strike	remove by erasing or crossing out; 'Please strike this remark from the record'			none	2	2	Cid|Bid	word-senses
91337,91387	chid	to cut off			none	1	2	Cid	lemma-fallback
91366	lacerate	cut or tear irregularly			none	1	2	vidAray	word-senses
91374	sever	cut off from a whole; 'His head was severed from his body'			none	2	2	hf|Bid	word-senses
91423	strain	stretch or force to the limit; 'strain the rope'			none	1	2	pravAh	word-senses
91436	crop	feed as in a meadow or pasture; 'the herd was grazing'			none	1	2	car	word-senses
91498,91304	pratiṣṭhā	to stand			none	1	2	pratizWA	lemma-fallback
91608	rest	put something in a resting position, as for support or steadying; 'Rest your head on my shoulder'			none	1	2	AveSay	word-senses
91626,85392	kṛ	to make like or similar			none	1	2	kf	lemma-fallback
91626,91730	kṛ	to make like or similar			none	1	2	kf	lemma-fallback
91730,91626	kṛ	to make like or similar			none	2	2	kf|janay	lemma-fallback
91752,91139	prasū	to set in motion			none	2	2	prasU|prez	lemma-fallback
91765	manufacture	put together out of components or parts; 'Ford makes cars'; 'They manufacture small toys'			none	1	2	kf	word-senses
91819	sew	create with cloth; of textiles			none	1	2	sIv	word-senses
91902	inlay	decorate the surface of by inserting wood, stone, and metal			none	1	2	prativap	word-senses
91917	paint	make a painting; 'he painted all day in the garden'; 'He painted a painting of the garden'			none	2	2	liK|samAliK	word-senses
91940	draw	make a drawing of; represent by drawing, with a pencil, chalk, etc. on a surface; 'She drew an elephant'			none	2	2	AliK|nyas	word-senses
92072	simulate	make a pretence of; 'She assumed indifference, even though she was seething with anger'; 'he feigned sleep'			none	2	2	rocay|vyapadiS	word-senses
92106,92311	arc	to shine			none	1	2	arc	lemma-fallback
92263	affect	have an emotional or cognitive impact upon; 'This struck me as odd'			none	2	2	yuj|viplu	word-senses
92291	abhor	find repugnant			none	2	2	vijugups|bIBats	word-senses
92298	care for	be fond of; be attached to			none	2	2	anupAlay|mamAy	word-senses
92311,94716	yaj	to worship			none	1	2	yaj	lemma-fallback
92312,88152	tarjay	to threaten			none	1	2	tarjay	lemma-fallback
92369	pain	cause anguish;, make miserable			none	2	2	du|vyaT	word-senses
92381	thrill	feel sudden intense sensation or emotion; 'he was thrilled by the speed and the roar of the engine.'			none	1	2	hfz	word-senses
92382	repent	feel remorse for; feel sorry for; be contrite about			none	2	2	Suc|samanutap	word-senses
92421	miss	feel or suffer from the lack of: 'He misses his mother'			none	1	2	kfpay	word-senses
92427	capture	attract; cause to be enamored; 'She captured all the men's hearts'			none	2	2	grah|vyAkzip	word-senses
92430	antagonize	provoke the hostility of; 'Don't antagonize your boss'			none	1	2	Beday	word-senses
92459,92500	mahīy	to rejoice			none	2	2	mahIy|parisaMhfz	lemma-fallback
92468,92466	tuṣ	to become calm			none	2	2	tuz|tozay	lemma-fallback
92508,92521	kāṅkṣ	to wish			none	2	2	kANkz|luB	lemma-fallback
92514	hope	expect with desire; 'I trust you will behave better from now on'; 'I hope she understands that she cannot exepct a raise'			none	2	2	ASaMs|Ipsay	word-senses
92515	envy	be envious of; set one's heart on			none	2	2	spfhay|irasy	word-senses
92535,92785	ej	to stir			none	1	2	ej	lemma-fallback
92573,93541	apī	to go in or near			none	1	2	apI	lemma-fallback
92595,93327	utkram	to step up			none	2	2	utkram|prakram	lemma-fallback
92655	start	begin or set in motion; 'I start at eight in the morning'; 'Ready, set, go!'			none	1	2	aBisfj	word-senses
92786	arouse	to begin moving, 'As the thunder started the sleeping children began to stir'			none	1	2	cal	word-senses
92893	limp	walk impeded by some physical limitation or injury; 'The old woman hobbles down to the store every day.'			none	1	2	KaYj	word-senses
92898,93541	ācar	to come near to (acc.)			none	1	2	Acar	lemma-fallback
93162	pick up	take and lift upward			none	2	2	prodDf|samutTApay	word-senses
93180	alight	come down, as of a bird			none	2	2	avatf|nilI	word-senses
93184	disembark	go ashore; 'The passengers disembarked at Southampton'			none	2	2	uttf|pratyavatf	word-senses
93204	rear	cause to rise up			none	2	2	Sri|stamB	word-senses
93240	surface	come to the surface			none	2	2	udBU|UrDvIBU	word-senses
93241	emerge	come up to the surface of or rise, as from water; also used metaphorically: 'He felt new emotions emerge'			none	1	2	unmajj	word-senses
93266	draw	bring, take, or pull out of a container or from under a cover; 'draw a weapon'			none	2	2	tuj|utKan	word-senses
93280,95617	anupad	to follow			none	2	2	anupad|anuvft	lemma-fallback
93287,90818	nī	to lead			none	1	2	nI	lemma-fallback
93297,91115	sidh	to drive off			none	1	2	siD	lemma-fallback
93381,128654	i	to go			none	2	2	i|naS	lemma-fallback
93381,93386	yā	to go			none	1	2	yA	lemma-fallback
93381,94232	aś	to come to			none	1	2	aS	lemma-fallback
93448	avert	turn away or aside; 'They averted their eyes when the King entered'			none	1	2	vinivft	word-senses
93562	linger	take one's time; proceed slowly			none	1	2	vilamb	word-senses
93634	shake	get rid of; 'I couldn't shake the car that was following me'			none	2	2	nirDU|viDU	word-senses
93639	escape	run away from confinement; 'The convicted murderer escaped from a high security prison'			none	2	2	apapad|apAtI	word-senses
93653,93064	vah	to carry			none	1	2	vah	lemma-fallback
93672	leave behind	to depart and forget, or neglect to bring or take along: She wept thinking she'd been left behind.			none	2	2	vihA|sampraRiDA	word-senses
93722	step on	place or press the foot on; 'He stepped on the hem of her long gown'			none	1	2	aBizWA	word-senses
93747	turn	move around an axis or a center; 'The wheels are turning'			none	2	2	Avft|samAvft	word-senses
93804	expose	expose or make accessible to some action or influence: 'Expose your students to art'			none	1	2	vikzip	word-senses
93828,87129	budh	to wake			none	1	2	buD	lemma-fallback
93837	bite	cause a sharp of stinging pain or discomfort; 'The sun burned his face'			none	2	2	jval|du	word-senses
93888	look around	look about oneself			none	2	2	anuvIkz|vipaS	word-senses
93892	regard	look at attentively			none	2	2	Adf|nirIkz	word-senses
939	pull	the act of pulling; applying force to move something toward or with you; 'the pull up the hill had him breathing harder'; 'his strenuous pulling strained his back'	00111	act	direct	1	2	udDAra	word-senses
93901	sound	give off a certain sound or sounds: 'This record sounds scratchy'			none	2	2	svan|nad	word-senses
93950	cover	spread over a surface to conceal or protect; 'This paint covers well'			none	1	2	vyAp	word-senses
93971,93881	paś	to see			none	2	2	paS|prekz	lemma-fallback
93997,96586	gras	to seize with the mouth			none	1	2	gras	lemma-fallback
940	drag	the act of dragging (pulling with force); 'the drag up the hill exhausted him'	00112	act	direct	2	2	karza|apakarzaRa	word-senses
94010	glow	emit a steady even light without flames; 'The fireflies were glowing and flying about in the garden'			none	2	2	Suc|dIp	word-senses
94010,96573	śuc	to shine			none	1	2	Suc	lemma-fallback
94033	inspect	look over carefully; 'Please inspect your father's will carefully'			none	1	2	saMpaS	word-senses
94033,92576	vicākaś	to shine intensively			none	1	2	vicAkaS	lemma-fallback
