lemma_slp1	layer	sense_id	sense_gloss	count_estimated	method	confidence	provenance
cawaka	mw	cawaka#1	cawaka m. a sparrow, MBh. xii ; Hariv. ; Suśr. ; VarBṛS. ; Pañcat.	33	mfs	1.0	estimated
cewI	mw	cewI#1	cewI f. a female servant, R. ii, 91, 62 ; Śak. &c.	33	mfs	1.0	estimated
citraBAnu	mw	citraBAnu#2	N. of fire, MBh. ; Hariv. ; R. ; BhP. ; Sāh.	33	mfs	0.5556	estimated
cumbaka	mw	cumbaka#1	cumbaka mfn. one who kisses much, L.	33	mfs	0.9545	estimated
geya	mw	geya#2	geya mfn. ( Pāṇ. iii, 1, 97 , Kāś. ) to be sung, being sung or praised in song, Lāṭy. ; Hariv. ; Pāṇ	33	mfs	1.0	estimated
hAlAhala	mw	hAlAhala#4	hAlAhala n. (rarely m. ), a deadly poison prepared from the roots of the above plant, accord. to R. 	33	mfs	1.0	estimated
hiqimba	mw	hiqimba#1	hiqimba m. N. of a gigantic Rākṣasa slain by Bhīma , MBh.	33	mfs	1.0	estimated
jagat	mw	jagat#2	(= jA/gata ) composed in the Jagatī metre, RV. i, 164, 23 ; ṢaḍvBr. i, 4 ; Lāṭy. i, 8, 9	33	mfs	0.4	estimated
kUjana	mw	kUjana#3	rumbling of the bowels, Suśr.	33	mfs	1.0	estimated
kaRWI	mw	kaRWI#1	kaRWI ( I ), f. neck, throat, L.	33	mfs	0.6667	estimated
kaRikA	mw	kaRikA#2	a drop, atom, small particle, Prab. ; Megh. &c.	33	mfs	1.0	estimated
kalAya	mw	kalAya#1	kalAya m. a sort of pea or pulse, MBh. ; Suśr. &c.	33	mfs	0.5	estimated
kalaviNka	mw	kalaviNka#1	kalavi/Nka m. a sparrow, VS. ; TS. &c., Mn. &c.	33	mfs	0.6667	estimated
karpawa	mw	karpawa#1	karpawa n. ( as m. , L. ) old or patched or ragged garments, a patch, rag, Pañcat. ; Kathās. &c.	33	mfs	1.0	estimated
kiRva	mw	kiRva#1	kiRva n. [ as m. , L. ] ferment, drug or seed used to produce fermentation in the manufacture of spi	33	mfs	1.0	estimated
kulAya	mw	kulAya#1	kulA/ya n. (in later language also as m. , Pañcat. &c.) a woven texture, web, nest (of a bird), case	33	mfs	1.0	estimated
lakz	mw	lakz#1	lakz cl. 1. Ā. lakzate , to perceive, observe, BhP. ; Kathās. ;	33	mfs	1.0	estimated
mAraka	mw	mAraka#1	mAraka mfn. ( ifc. f( A ). ), killing a killer, murderer ( cf. tri- and daSa-mArikA )	33	mfs	0.9167	estimated
mAsika	mw	mAsika#2	monthly ( i.e. ‘happening every month’, or ‘lasting for a m˚ ’ or ‘performed within a m˚ ’ &c.), Mn.	33	mfs	1.0	estimated
mOrvI	mw	mOrvI#3	a bow-string, MBh.	33	mfs	1.0	estimated
mudgala	mw	mudgala#5	pl. the descendants of Mudgala , TBr.	33	mfs	1.0	estimated
nAqikA	mw	nAqikA#1	nAqikA f. a hollow stalk, Jyot.	33	mfs	0.6667	estimated
nalada	mw	nalada#2	the root of Andropogon Muricatus , Naiṣ. ( -tva n. , ib. )	33	mfs	1.0	estimated
netrI	mw	netrI#1	netrI/ f. a female leader (with gen. or ifc. ), RV. ; TS. ; MBh. &c.	33	mfs	0.5	estimated
nirahaMkAra	mw	nirahaMkAra#1	nir—ahaMkAra mfn. free from egotism, unselfish, humble, MBh. ; BhP.	33	mfs	1.0	estimated
nizWIv	mw	nizWIv#1	ni-√ zWiv (or zWIv ) P. -zWIvati ( impf. ny-azwIvat , MBh. ; pf. ni-tizWivuH , Bhaṭṭ. ; ind.p. -zWIv	33	mfs	1.0	estimated
nizparigraha	mw	nizparigraha#2	niz—parigraha m. an ascetic without family or dependants, W.	33	mfs	1.0	estimated
palAla	mw	palAla#1	palAla m. n. a stalk, straw, Mn. ; MBh. &c.	33	mfs	1.0	estimated
palika	mw	palika#1	palika mf( A )n. weighing a Pala , Car. ; Hcat.	33	mfs	1.0	estimated
pariSuzka	mw	pariSuzka#2	pari-Suzka n. (with mAMsa ) meat fried in ghee dried and spiced, L.	33	mfs	1.0	estimated
pataga	mw	pataga#1	pata—ga m. a winged or flying animal, bird, Mn. ; MBh. &c.	33	mfs	1.0	estimated
pinAka	mw	pinAka#4	pi/nAka n. a species of talc, Bhpr. (Perhaps fr. pi-api-√ nam ; cf. nAka .)	33	mfs	0.931	estimated
prIRana	mw	prIRana#2	prIRana n. the act of pleasing or delighting or satisfying, MBh. ; BhP. ; Ratnāv.	33	mfs	1.0	estimated
pramada	mw	pramada#1	pra-mada m. joy, pleasure, delight, MBh. ; Kathās.	33	mfs	1.0	estimated
prameya	mw	prameya#3	pra-˚meya n. ( ifc. f( A ). ) an object of certain knowledge, the thing to be proved or the topic to	33	mfs	1.0	estimated
pratyAKyAna	mw	pratyAKyAna#2	praty-˚AKyAna n. rejection, refusal, denial, disallowance, repulse, MBh. ; Kāv. &c.	33	mfs	1.0	estimated
puraetf	mw	puraetf#1	pura—etf/ m. one who goes before, a guide, leader, RV. ; AV. ; VS. ; Br.	33	mfs	1.0	estimated
saMSleza	mw	saMSleza#1	saM-Sleza m. ( ifc. f( A ). ) junction, union, connection, close contact with ( instr. or comp. ; ˚z	33	mfs	1.0	estimated
samApana	mw	samApana#2	sam-˚Apana n. the act of causing to complete or completing, completion, conclusion, Br. ; GṛŚrS. ; M	33	mfs	1.0	estimated
samBeda	mw	samBeda#7	the confluence of two rivers, junction of a river with the sea, ŚBr. ( cf. a/-s˚ ), TS. &c.	33	mfs	0.6667	estimated
sammarda	mw	sammarda#5	meeting, encounter ( esp. with enemies), war, battle, MBh. ; Kāv. &c.	33	mfs	1.0	estimated
samutkzip	mw	samutkzip#1	sam-ut-√ kzip P. Ā. -kzipati , ˚te , to throw or raise or lift up, MBh. ; Pañcat. ; MārkP. ;	33	mfs	1.0	estimated
sanATa	mw	sanATa#4	occupied by, possessed of, possessing, furnished or endowed with ( instr. or comp. ), Kāv. ; Pur. ; 	33	mfs	1.0	estimated
satyavat	mw	satyavat#1	satya—vat mfn. truthful, veracious, MBh. ; R. ; BhP. ; Pañcar.	33	mfs	1.0	estimated
secana	mw	secana#3	sprinkling or watering with ( comp. ), MBh. ; Mṛcch. ; Suśr.	33	mfs	0.5	estimated
sinDUtTa	mw	sinDUtTa#2	sinDU tTa n. rock-salt, Suśr.	33	mfs	1.0	estimated
smera	mw	smera#1	smera mf( A )n. smiling, friendly, Hariv. ; Kālid. ; Kathās. &c.	33	mfs	0.5	estimated
somavallI	mw	somavallI#1	soma—vallI f. the S˚ plant	33	mfs	1.0	estimated
starI	mw	starI#1	starI/ f. ( nom. I/s acc. ya/m ; pl. ya/s ) a barren cow, heifer, RV.	33	mfs	1.0	estimated
suSIta	mw	suSIta#1	su—SIta mfn. very cold or cooling, Suśr. ; VarBṛS. &c.	33	mfs	1.0	estimated
tIrTakara	mw	tIrTakara#2	tIrTa—kara m. Śiva	33	mfs	1.0	estimated
tata	mw	tata#1	1. tata/ m. ( cf. tAta ) chiefly Ved. a father (familiar expression corresponding to nanA/ , mother)	33	mfs	1.0	estimated
tsaru	mw	tsaru#3	the hilt of a sword, MBh. ; R. ; Hariv. ; Ragh.	33	mfs	1.0	estimated
upanAha	mw	upanAha#3	a cover, poultice, Suśr.	33	mfs	1.0	estimated
uttuNga	mw	uttuNga#1	ut-tuNga mfn. lofty, high, tall	33	mfs	1.0	estimated
vARa	mw	vARa#3	music ( esp. of flutes, harps &c.), RV. i, 85, 10 &c.; AV. x, 2, 17 (here written bARa/ )	33	mfs	1.0	estimated
vApa	mw	vApa#5	the act of pouring in or mixing with, Nyāyam.	33	mfs	0.8462	estimated
vElakzaRya	mw	vElakzaRya#1	vElakzaRya n. ( fr. vi-lakzaRa ) difference, disparity, diverseness (often ifc. ; pUrvo kta-vElakzaR	33	mfs	1.0	estimated
vicetana	mw	vicetana#1	1. vi—cetana mf( A )n. (for 2. See under vi-√ cit ) senseless, unconscious, absent-minded, MBh. ; R.	33	mfs	0.8333	estimated
vidyunmAlin	mw	vidyunmAlin#3	of a Rākṣasa , R.	33	mfs	0.75	estimated
vijiti	mw	vijiti#1	vi/-˚jiti ( vi/- ), f. contest for victory, conquest, triumph, TS. ; Br. ; ŚrS.	33	mfs	1.0	estimated
viniHSvas	mw	viniHSvas#1	vi-niH-√ Svas ( cf. vi-ni-√ Svas ) P. -Svasiti , to breathe hard, heave a deep sigh, MBh. ; R. ; Kat	33	mfs	1.0	estimated
viniyuj	mw	viniyuj#5	to apply, use, employ, Kāv. ; Kathās. ; Car. ;	33	mfs	1.0	estimated
vipApman	mw	vipApman#2	free from suffering, MBh.	33	mfs	1.0	estimated
vizwi	mw	vizwi#1	1. vizwi f. (for 2. See p. 999, col. 1 ) service, ( esp. ) forced s˚ , compulsory work, drudgery (al	33	mfs	1.0	estimated
voQf	mw	voQf#8	a charioteer, L.	33	mfs	1.0	estimated
ABIra	mw	ABIra#1	ABIra m. N. of a people, MBh. ; R. ; VP.	32	mfs	1.0	estimated
AmAvAsya	mw	AmAvAsya#2	born at the time of new moon, Pāṇ. iv, 3, 30	32	mfs	1.0	estimated
ApaRa	mw	ApaRa#1	ApaRa m. a market, a shop, MBh. ; R. ; Kathās.	32	mfs	0.9	estimated
Avega	mw	Avega#1	A-vega m. (√ vij ), hurry or haste produced by excitement	32	mfs	1.0	estimated
Dvajin	mw	Dvajin#2	( ifc. ) having anything as a mark ( esp. for a committed crime), MBh.	32	mfs	1.0	estimated
GfRin	mw	GfRin#1	GfRin mfn. passionate, violent, Gaut.	32	mfs	1.0	estimated
Kanana	mw	Kanana#1	Kanana n. the act of digging or excavating, Daś. ; Bhartṛ. ; PSarv. &c.	32	mfs	1.0	estimated
SEvAla	mw	SEvAla#1	SEvAla n. the Śaivala plant, MBh. ; Hariv. &c.	32	mfs	1.0	estimated
SrIKaRqa	mw	SrIKaRqa#1	SrI—KaRqa m. or n. (?) the sandal-tree, sandal, Kāv. ; Kathās. &c.	32	mfs	1.0	estimated
SuzRa	mw	SuzRa#3	2. Su/zRa m. ‘Hisser’, N. of a demon slain by Indra , RV. ( accord. to some a drought demon; cf. √ 1	32	mfs	1.0	estimated
aDiSI	mw	aDiSI#1	aDi-√ SI to lie down upon, to lie upon, to sleep upon ( loc. , but generally acc. )	32	mfs	1.0	estimated
aDoBAga	mw	aDoBAga#1	aDo-BAga m. the lower or lowest part, especially of the body.	32	mfs	1.0	estimated
anAhata	mw	anAhata#5	an-Ahata n. the fourth of the mystical cakras , or circles of the body.	32	mfs	1.0	estimated
apavft	mw	apavft#1	apa-√ vft to turn away, depart;	32	mfs	0.5	estimated
aprayata	mw	aprayata#1	a-prayata mfn. not intent (on devotion), not prepared (in mind) for any important action or performa	32	mfs	1.0	estimated
arDaka	mw	arDaka#2	arDaka n. the half, Hcat.	32	mfs	1.0	estimated
arizwi	mw	arizwi#1	a/-rizwi f. Ved. safeness, security, RV. &c.	32	mfs	1.0	estimated
atiSI	mw	atiSI#2	to surpass, excel;	32	mfs	1.0	estimated
atrin	mw	atrin#1	atri/n m. a devourer, demon, RV. , a Rākṣasa .	32	mfs	1.0	estimated
avalambana	mw	avalambana#3	ava-lambana n. hanging down, L.	32	mfs	0.6	estimated
avanah	mw	avanah#1	ava-√ nah ( ind.p. -nahya ) to cover with ( instr. ), KātyŚr.	32	mfs	1.0	estimated
avazwamBa	mw	avazwamBa#3	self-confidence, resoluteness, Suśr. ; Pañcat. ( cf. sA vazw˚ )	32	mfs	1.0	estimated
avirala	mw	avirala#1	a-virala mf( A )n. contiguous, close, dense, compact, MBh. &c., incessant, numerous, Ratnāv.	32	mfs	1.0	estimated
aviroDin	mw	aviroDin#1	a-viroDin mfn. not being out of harmony with, not being obstructive to ( gen. or in comp. ), Gaut. &	32	mfs	1.0	estimated
bIjin	mw	bIjin#1	bIjin mfn. bearing seed, seedy (as a plant), Suśr.	32	mfs	1.0	estimated
boDana	mw	boDana#3	boDana m. the planet Mercury, W.	32	mfs	0.6923	estimated
cikura	mw	cikura#2	cikura m. the hair of the head (also cihura m. pl. L. , Sch. ), Gīt. vii , xii ; Rājat. viii, 367 ; 	32	mfs	0.5	estimated
dInAra	mw	dInAra#2	a gold ornament, L.	32	mfs	1.0	estimated
dakziRApaTa	mw	dakziRApaTa#2	( ˚Ra-saMcara , Vait. ) the southern region, Deccan, MBh. ; Hariv. 5289 ; VarBṛS. ; Suśr. ; BhP. ; K	32	mfs	1.0	estimated
dara	mw	dara#6	fear, MBh. v, 4622	32	mfs	1.0	estimated
gANga	mw	gANga#4	gANga n. ( scil. ambu ) rain-water of a peculiar kind (supposed to be from the heavenly Ganges), Suś	32	mfs	1.0	estimated
gATin	mw	gATin#3	gATi/n m. pl. ( inas ) the descendants of Gāthin , AitBr. vii, 18 ( v.l. )	32	mfs	1.0	estimated
glaha	mw	glaha#2	the stake in playing at dice, MBh. ii f. ; Hariv. 6735 ff. ; BhP. vi , x	32	mfs	1.0	estimated
gorasa	mw	gorasa#3	buttermilk, L.	32	mfs	0.75	estimated
guRAQya	mw	guRAQya#2	guRA Qya m. N. of the famous author of the Bṛhat-kathā , Vāsav. 346 Kṣem. ; Kathās. i , vi	32	mfs	1.0	estimated
haricandana	mw	haricandana#1	hari—candana m. n. a sort of sandal tree, Śiś. ; BhP. ; Śatr.	32	mfs	1.0	estimated
hastinI	mw	hastinI#1	hasti/nI ( i/nI ), f. a female elephant, AV. &c. &c.	32	mfs	0.8333	estimated
indragopa	mw	indragopa#2	indra—gopa m. the insect cochineal of various kinds	32	mfs	0.9667	estimated
jIrRajvara	mw	jIrRajvara#1	jIrRa—jvara m. a lingering fever with diminishing intensity, Suśr. i, 45 f.	32	mfs	1.0	estimated
jalaniDi	mw	jalaniDi#1	jala—niDi m. ‘water-treasure’, the ocean, MBh. iii, 15817 ; Pañcat. ; VarBṛS. ; Bhartṛ. ; Prab.	32	mfs	1.0	estimated
kAmadeva	mw	kAmadeva#1	kAma—deva m. the god of love (see kAma above; according to some, son of Sahiṣṇu and Yaśo-dharā , VP.	32	mfs	1.0	estimated
kaRqu	mw	kaRqu#2	an itching or ardent desire, Śiś.	32	mfs	1.0	estimated
kukura	mw	kukura#6	the country of the Kukura people.	32	mfs	0.6	estimated
kzoRI	mw	kzoRI#2	the earth, R. i, 42, 23 ; BhP. v, 18, 28 and viii, 6, 2	32	mfs	1.0	estimated
lakzmIvat	mw	lakzmIvat#1	lakzmI—vat mfn. possessed of fortune or good luck, lucky prosperous, wealthy, MBh. ; R. &c.	32	mfs	1.0	estimated
mAyu	mw	mAyu#6	3. mAyu m. n. ( accord. to Uṇ. i, 1 fr. √ 1. mi ) gall, bile, the bilious humour, L.	32	mfs	0.8333	estimated
maDupa	mw	maDupa#2	maDu—pa/ m. (with or scil. Kaga ) a large black bee, Kāv. ; Pañcat. &c.	32	mfs	1.0	estimated
mahIBft	mw	mahIBft#2	a mountain, ib.	32	mfs	1.0	estimated
mahIyas	mw	mahIyas#1	mahIyas mfn. greater, mightier, stronger (or, ‘very great, v˚ mighty &c.’), Up. ; MBh. ; Kāv. &c. (w	32	mfs	1.0	estimated
nAdeya	mw	nAdeya#4	nAdeya/ n. rock-salt, Suśr.	32	mfs	0.8333	estimated
naBa	mw	naBa#2	the month Śrāvaṇa , Car.	32	mfs	0.6667	estimated
nartana	mw	nartana#2	nartana n. dancing, acting ( metric. also f( A ). ; cf. ˚nA-gfha , below).	32	mfs	0.7143	estimated
nigaqa	mw	nigaqa#1	ni-gaqa m. ( g. arDarcA di ) and n. ( fr. √ gaq = gal ?) an iron chain for the feet, ( esp. ) the he	32	mfs	0.875	estimated
nirmoka	mw	nirmoka#2	a cast-off skin ( esp. of a snake), MBh. ; Kāv. &c. ( -pawwa m. a piece of cast-off skin, Ragh. xvi,	32	mfs	1.0	estimated
parisru	mw	parisru#4	to glide or pass away (as life), Bhartṛ.	32	mfs	1.0	estimated
pipAsita	mw	pipAsita#1	pipA˚sita ( MBh. ; Daś. ) mfn. thirsty, athirst.	32	mfs	1.0	estimated
pracaya	mw	pracaya#3	accumulation, heap, mass, quantity, multitude, Ṛtus. ; Rājat. ; Suśr.	32	mfs	1.0	estimated
pratiBaya	mw	pratiBaya#1	prati—Baya mf( A )n. exciting fear, formidable, terrible, dangerous, ĀśvGṛ. ; Gobh. ; MBh. &c.	32	mfs	0.5	estimated
pratyarTin	mw	pratyarTin#4	(in law) a defendant, Mn. ; Yājñ. &c.	32	mfs	1.0	estimated
prayoktf	mw	prayoktf#1	pra-˚yoktf m. a hurler, shooter (of missiles), MBh. ; R.	32	mfs	1.0	estimated
pulinda	mw	pulinda#1	pulinda m. pl. ( Uṇ. iv, 85 ) N. of a barbarous tribe, AitBr. ; MBh. &c.	32	mfs	1.0	estimated
qAkinI	mw	qAkinI#1	qAkinI f. (of ˚ka , Pāṇ. iv, 2, 51 ; Pat. ) a female imp attending Kālī (feeding on human flesh), Bh	32	mfs	1.0	estimated
rad	mw	rad#3	to scratch, scrape, gnaw, bite, rend, dig, break, split, divide, RV. ; AV. ; Suśr. ;	32	mfs	1.0	estimated
ripra	mw	ripra#1	ripra/ n. dirt, impurity ( lit. and fig. ), RV. ; AV.	32	mfs	1.0	estimated
rocis	mw	rocis#1	roci/s n. light, lustre, brightness, RV. &c. &c.	32	mfs	1.0	estimated
sANga	mw	sANga#4	complete, entire, MBh.	32	mfs	1.0	estimated
saMDAraRa	mw	saMDAraRa#3	saM-DAraRa ( am ), n. the act of holding together, supporting, maintaining, MBh. ; Kād.	32	mfs	1.0	estimated
saMSam	mw	saMSam#3	to be extinguished, ŚBr. ; ChUp. ;	32	mfs	1.0	estimated
saMlI	mw	saMlI#3	to lie down, hide, cower, lurk, be concealed, ib. ; R. ;	32	mfs	1.0	estimated
saMsfti	mw	saMsfti#1	saM-sfti f. course, revolution, ( esp. ) passage through successive states of existence, course of m	32	mfs	1.0	estimated
saMstamB	mw	saMstamB#7	Caus. -stamBayati , to confirm, strengthen ( AtmAnam AtmanA , ‘one's self by one's self’), encourage	32	mfs	1.0	estimated
samanvAraB	mw	samanvAraB#1	sam-anv-A-√ raB Ā. -raBate , to take hold of or clasp together, take hold of one another, AitBr. ; Ś	32	mfs	1.0	estimated
satrAjit	mw	satrAjit#3	N. of a son of Nighna and father of Satya-bhāmā (he was father-in-law of Kṛṣṇa and was killed by Śat	32	mfs	1.0	estimated
sparSavat	mw	sparSavat#2	pleasant to the t˚ , smooth, soft, MBh. ; Kum.	32	mfs	1.0	estimated
sudezRA	mw	sudezRA#2	of the wife of Virāṭa , ib.	32	mfs	0.6667	estimated
svarRamAkzika	mw	svarRamAkzika#1	svarRa—mAkzika n. a kind of mineral substance, Bhpr.	32	mfs	1.0	estimated
svarvat	mw	svarvat#1	sva^r—vat ( sva^r- or su/var- ), mfn. bright, shining, celestial, RV. ; TS.	32	mfs	1.0	estimated
uBayaTA	mw	uBayaTA#1	uBaya/TA ind. in both ways, in both cases, ŚBr. ; Pāṇ. ; Vikr. &c.	32	mfs	1.0	estimated
unmiz	mw	unmiz#2	to open (as eyes or buds), Hariv. ;	32	mfs	1.0	estimated
unnata	mw	unnata#2	(figuratively) high, eminent, sublime, great, noble, Kathās. ; Bhartṛ. ; Sāh. &c.	32	mfs	0.7778	estimated
usra	mw	usra#1	usra/ ( as ), m. a ray of light, RV. i, 87, 1 ; Ragh. ; Kir. &c.	32	mfs	1.0	estimated
uz	mw	uz#2	to burn, burn down (active), RV. ; AV. ; ŚBr. ; Mn. iv, 189 ; Śiś. ;	32	mfs	0.75	estimated
vASitA	mw	vASitA#2	a woman, wife, MBh.	32	mfs	1.0	estimated
viDAyin	mw	viDAyin#3	causing, occasioning, Hariv. ; Rājat.	32	mfs	1.0	estimated
viDarman	mw	viDarman#3	vi/-Darman n. that which encircles or surrounds, receptacle, boundaries, circumference, RV. ; AV. ; 	32	mfs	1.0	estimated
viSrAma	mw	viSrAma#1	vi-SrAma m. rest, repose, relaxation, calm, tranquillity, MBh. ; Kāv. &c.	32	mfs	0.8889	estimated
vipASA	mw	vipASA#1	vi-pASA f. the Vipāśā or Beas river (one of the 5 rivers of the Panjāb , said to be so called as hav	32	mfs	1.0	estimated
vyutkram	mw	vyutkram#1	vy-ut-√ kram P. -krAmati , to go apart or in different directions, AitBr. ; ŚBr. ;	32	mfs	1.0	estimated
ARqa	mw	ARqa#1	ARqa/ am , n. ( fr. aRqa ), an egg, RV. ; AV. &c.	31	mfs	1.0	estimated
ASIrvAda	mw	ASIrvAda#1	ASIr—vAda m. [ ASirvAda , Nir. ] benediction, MBh. ; Pañcat. &c.	31	mfs	1.0	estimated
AScyotana	mw	AScyotana#2	applying (ghee &c.) to the eyelids, Suśr.	31	mfs	1.0	estimated
Antarikza	mw	Antarikza#1	Antarikza/ or AntarIkza mf( I )n. ( fr. antarikza ), belonging to the intermediate space between hea	31	mfs	1.0	estimated
Arakta	mw	Arakta#2	A-rakta n. red sandal-wood, L.	31	mfs	1.0	estimated
AtAna	mw	AtAna#1	A-tAna m. an extended cord, string, &c., VS. vi, 12 ( voc. ), AitBr. ( cf. ekA hA tAna/ .)	31	mfs	1.0	estimated
BUrloka	mw	BUrloka#1	BUr—loka m. the terrestrial world, earth, MBh. ; Pur. &c.	31	mfs	1.0	estimated
BadrASva	mw	BadrASva#4	of a son of Āgnīdhra and (also n. ) a Dvīpa or Varṣa called after him (the eastern division), MBh. &	31	mfs	1.0	estimated
Bfgunandana	mw	Bfgunandana#3	of Ruru , ib.	31	mfs	1.0	estimated
Cardis	mw	Cardis#3	2. Cardis n. ( f. , L. ) vomition, Car. i , vi , viii.	31	mfs	1.0	estimated
DattUra	mw	DattUra#3	DattUra n. the fruit of Datura Alba , Kathās.	31	mfs	1.0	estimated
GawI	mw	GawI#1	GawI f. a water-jar, Prab. ii, 7/8	31	mfs	0.8	estimated
Iti	mw	Iti#1	1. Iti f. ( fr. 4. I ?), plague, distress, any calamity of the season (as drought, excessive rain, s	31	mfs	0.6667	estimated
SAtakumBa	mw	SAtakumBa#1	SAta—kumBa n. ( fr. Sata-kumBA ) gold, MBh. ; R. &c.	31	mfs	1.0	estimated
SEleya	mw	SEleya#3	SEleya m. n. bitumen (of various kinds), Kāv. ; VarBṛS. ; Suśr.	31	mfs	0.5	estimated
SiroDarA	mw	SiroDarA#1	Siro—Dara , m. ( R. ; BhP. ) or Siro—DarA , f. ( MBh. ; Hariv. ; Kāv. &c.; ifc. f( A ). ) ‘ h˚ -supp	31	mfs	1.0	estimated
SrutAyus	mw	SrutAyus#3	of another king and various other men, ib. ; Hariv. ; Pur. ;	31	mfs	1.0	estimated
Syeta	mw	Syeta#2	Syeta/ m. white (the colour), L.	31	mfs	1.0	estimated
aByavahAra	mw	aByavahAra#2	food, R.	31	mfs	1.0	estimated
anUka	mw	anUka#5	peculiarity of race, disposition, character, VarBṛS. &c.	31	mfs	0.75	estimated
antarmuKa	mw	antarmuKa#3	antar—muKa n. a kind of scissors used in surgery, Suśr.	31	mfs	1.0	estimated
antyaja	mw	antyaja#1	antya—ja mfn. of the lowest caste	31	mfs	1.0	estimated
anujA	mw	anujA#1	anu-jA f. a younger sister, TS.	31	mfs	1.0	estimated
apasyA	mw	apasyA#1	1. apasyA/ f. activity, RV. v, 44, 8 ; vii, 45, 2 ( cf. sv-apasyA/ ; for 2. apasyA^ , see 2. apasya^	31	mfs	1.0	estimated
arus	mw	arus#2	a/rus ( us ), n. a sore or wound, AV. v, 5, 4 ; ŚBr. &c.	31	mfs	1.0	estimated
avanti	mw	avanti#1	avanti m. pl. N. of a country and its inhabitants, MBh. vi, 350 ; VarBṛS. &c.	31	mfs	0.6667	estimated
avicCinna	mw	avicCinna#1	a-vicCinna mfn. uninterrupted, continual, ĀśvGṛ. ; ŚāṅkhGṛ. ; Hariv. &c.	31	mfs	1.0	estimated
avraRa	mw	avraRa#1	a-vraRa/ mf( A )n. unhurt, unscarred, sound, VS. xl, 8 ; BhP.	31	mfs	1.0	estimated
ayAsya	mw	ayAsya#2	ayA/sya m. N. of an Aṅgiras (composer of the hymns, RV. ix, 44 - 66 and x, 67 and 68 ), RV. x, 67, 1	31	mfs	1.0	estimated
bADa	mw	bADa#4	danger, jeopardy (see prA Ra- )	31	mfs	1.0	estimated
dIpikA	mw	dIpikA#1	dIpikA f. a light, lamp, lantern, Hariv. ; Kāv. &c.	31	mfs	1.0	estimated
daSArha	mw	daSArha#1	daSA rha ( g. vimuktA di and prajYA di ) m. pl. ( g. parSv-Adi ) N. of a warrior tribe, MBh. iii ; B	31	mfs	1.0	estimated
durgata	mw	durgata#1	dur—gata mfn. faring ill, unfortunate, miserable, MBh. &c.	31	mfs	1.0	estimated
etaSa	mw	etaSa#3	N. of a man (protected by Indra ), RV.	31	mfs	0.6	estimated
haMsapAdI	mw	haMsapAdI#1	haMsa—pAdI ( I ), f. N. of a plant = (or w.r. for) haMsa-padI	31	mfs	1.0	estimated
jIvAtu	mw	jIvAtu#2	a life-giving drug, HPariś. xiii, 189	31	mfs	1.0	estimated
jaraRa	mw	jaraRa#1	jaraRa/ mfn. old, decayed, RV. iv, 33, 3 ; x, 40, 3	31	mfs	0.25	estimated
kAkajaNGA	mw	kAkajaNGA#1	kAka—jaNGA f. the plant Leea Hirta , Suśr.	31	mfs	1.0	estimated
kApAlika	mw	kApAlika#4	N. of a teacher	31	mfs	1.0	estimated
kInASa	mw	kInASa#4	N. of Yama , Naiṣ. vi, 75 ; Bālar.	31	mfs	1.0	estimated
kOmudI	mw	kOmudI#1	kOmudI f. moonlight, moonshine (from its causing the Kumuda s to blossom; also Moonlight personified	31	mfs	1.0	estimated
kaSipu	mw	kaSipu#1	kaSipu/ us , u , m. n. a mat, pillow, cushion, mattress, AV. ; ŚBr. ; KātyŚr. ; Kauś. ; Vait. ; BhP.	31	mfs	1.0	estimated
kuRqalinI	mw	kuRqalinI#1	kuRqalinI f. the plant Coccus cordifolius , L.	31	mfs	1.0	estimated
mUtrAGAta	mw	mUtrAGAta#1	mUtrA GAta m. urinary disease (of which 12 or 13 kinds), ib.	31	mfs	1.0	estimated
maYjUzA	mw	maYjUzA#1	maYjUzA f. ( L. , also maYjuzA ) a box, chest, case, basket, MBh. ; Kāv. &c.	31	mfs	1.0	estimated
mahAniraya	mw	mahAniraya#1	mahA—niraya m. N. of a hell, Yājñ.	31	mfs	1.0	estimated
mahApaTa	mw	mahApaTa#1	mahA—paTa m. a principal road, high street (in a city), high road, highway ( ifc. f( A ). ), AitBr. 	31	mfs	1.0	estimated
mecaka	mw	mecaka#1	mecaka mf( A )n. dark-blue, black, MBh. ; Kāv. &c. (in alg. applied to the 15th unknown quantity, Co	31	mfs	0.5	estimated
mfS	mw	mfS#3	to touch, stroke, handle, AV. ;	31	mfs	1.0	estimated
mfta	mw	mfta#5	mfta/ n. death, MBh. ; R.	31	mfs	1.0	estimated
mftyuMjaya	mw	mftyuMjaya#2	mftyu—M-jaya m. (with or without mantra ) N. of RV. vii, 59, 12 ; Pañcar.	31	mfs	1.0	estimated
nIlAYjana	mw	nIlAYjana#2	an unguent made of ant˚ and blue vitriol, L. ( v.r. ˚lA Smaja )	31	mfs	0.98	estimated
naBasya	mw	naBasya#2	naBasya^ m. N. of a month in the rainy season (= BAdra , August-September), VS. ; ŚBr. ; Hariv. &c.	31	mfs	1.0	estimated
niHsaMjYa	mw	niHsaMjYa#1	niH—saMjYa mfn. senseless, unconscious, MBh. ; R. &c.	31	mfs	1.0	estimated
nihantf	mw	nihantf#1	ni-˚hantf m. a killer, destroyer, Mn. ; MBh. &c.	31	mfs	1.0	estimated
nimIl	mw	nimIl#2	to close (as flowers), die, disappear, Mn. ; MBh. ; Kāv. &c.;	31	mfs	1.0	estimated
