rule	category	global_count	global_pct	n_texts	top_texts	examples
āḥ h → asī h	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	arjuno naiva yuddhārthī bhūyasī hi dayārjune bhūyasī+hi
m g → ntāhaṃ g	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	hantāhaṃ gadayābhyetya duryodhanam amarṣaṇam aham→hantāhaṃ +gadayā
iḥ _ → Ø yayor	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	paśyeme rodasī kṛṣṇa yayor āsann imāḥ prajāḥ kṛṣṇa+yayor
_ ā → yayor ā	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	paśyeme rodasī kṛṣṇa yayor āsann imāḥ prajāḥ yayor+āsann
as anantam → o 'nantaṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śamaṃ cet te kariṣyanti tato 'nantaṃ yaśo mama tato+'nantaṃ
anantam y → 'nantaṃ y	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śamaṃ cet te kariṣyanti tato 'nantaṃ yaśo mama 'nantaṃ+yaśo
s → jaste s	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tudann aklībayā vācā tejaste samadīpayam te→tejaste +samadīpayam
ī _ → ī mādṛk	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kā nu sīmantinī mādṛk pṛthivyām asti keśava sīmantinī+mādṛk
_ p → mādṛk p	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kā nu sīmantinī mādṛk pṛthivyām asti keśava mādṛk+pṛthivyām
_ d → mṛdvarciṣi d	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	maitre muhūrte samprāpte mṛdvarciṣi divākare _→mṛdvarciṣi +divākare
c → ndraiśca c	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ardhacandraiśca candraiśca matsyaiḥ samṛgapakṣibhiḥ ca→ardhacandraiśca +candraiḥ
m → ndraiśca m	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ardhacandraiśca candraiśca matsyaiḥ samṛgapakṣibhiḥ ca→candraiśca +matsyaiḥ
k → rṣayaścaiva k	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	brahmadevarṣayaścaiva kṛṣṇaṃ yadusukhāvaham eva→brahmadevarṣayaścaiva +kṛṣṇaṃ
iḥ bh → ī bh	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	bhagavantaḥ kva saṃsiddhāḥ kā vīthī bhavatām iha vīthī+bhavatām
_ d → paravīrarujo d	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	prayāntaṃ devakīputraṃ paravīrarujo daśa _→paravīrarujo +daśa
_ r → nādiśo r	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	na diśo nādiśo rājan prajñāyante sma reṇunā _→nādiśo +rājan
m → ujaśca m	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tasmin dhṛtiśca vīryaṃ ca prajñā caujaśca mādhave ca→caujaśca +mādhave
aḥ asatkṛtaḥ → o 'satkṛto	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	satkṛto 'satkṛto vāpi na krudhyeta janārdanaḥ satkṛto+'satkṛto
asatkṛtaḥ v → 'satkṛto v	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	satkṛto 'satkṛto vāpi na krudhyeta janārdanaḥ 'satkṛto+vā
mbandhakam k → ṃbandhakaṃ k	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	āste saṃbandhakaṃ kurvan kurubhiḥ parivāritaḥ saṃbandhakaṃ+kurvan
aḥ arcitaḥ → o 'rcito	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	so 'rcito dhṛtarāṣṭreṇa pūjitaśca mahāyaśāḥ so+'rcito
arcitaḥ dh → 'rcito dh	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	so 'rcito dhṛtarāṣṭreṇa pūjitaśca mahāyaśāḥ 'rcito+dhṛtarāṣṭreṇa
vasaḥ b → uṣo b	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	prīyamāṇasya suhṛdo viduṣo buddhisattamaḥ viduṣo+buddhi
_ g → pitṛṣvasāraṃ g	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pitṛṣvasāraṃ govindaḥ so 'bhyagacchad ariṃdamaḥ pitṛṣvasāraṃ+govindaḥ
abhyagacchat a → 'bhyagacchad a	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pitṛṣvasāraṃ govindaḥ so 'bhyagacchad ariṃdamaḥ 'bhyagacchad+ariṃdamaḥ
s → nārhaiśca s	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	arcitair arcanārhaiśca stuvadbhir abhinanditāḥ ca→arcanārhaiśca +stuvadbhir
aḥ y → enārjuno y	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	arjunenārjuno yaḥ sa kṛṣṇa bāhusahasriṇā arjunaḥ→arjunenārjuno +yaḥ
_ ś → pitṛṣvasāraṃ ś	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pitṛṣvasāraṃ śocantīṃ śauriḥ pārthasakhaḥ pṛthām pitṛṣvasāraṃ+śocantīṃ
ī _ → ī tvādṛg	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kā nu sīmantinī tvādṛg lokeṣvasti pitṛṣvasaḥ sīmantinī+tvādṛg
_ l → tvādṛg l	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kā nu sīmantinī tvādṛg lokeṣvasti pitṛṣvasaḥ tvādṛg+lokeṣu
rī ā → ā ā	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śūrasya rājño duhitā ājamīḍhakulaṃ gatā duhitā+ājamīḍha
t → haivaitat t	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yathaivāttha tathaivaitat tvayi satyaṃ bhaviṣyati etat→tathaivaitat +tvayi
a _ → a yudhā	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	nedam adya yudhā śakyam indreṇāpi sahāmaraiḥ adya+yudhā
_ ś → yudhā ś	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	nedam adya yudhā śakyam indreṇāpi sahāmaraiḥ yudhā+śakyam
m p → steyaṃ p	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	paryasteyaṃ pṛthivī kālapakvā duryodhanārthe pāṇḍavān yoddhukāmāḥ iyam→paryasteyaṃ +pṛthivī
a _ → a yoṣidbhir	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pracalantīva bhāreṇa yoṣidbhir bhavanānyuta bhāreṇa+yoṣidbhir
_ bh → yoṣidbhir bh	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pracalantīva bhāreṇa yoṣidbhir bhavanānyuta yoṣidbhir+bhavanāni
e k → rāstava k	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	te putrāstava kauravya duryodhanapurogamāḥ te→putrāstava +kauravya
t → kāścaiva t	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pāṇḍavāstāvakāścaiva tān rakṣa mahato bhayāt eva→pāṇḍavāstāvakāścaiva +tān
astram n → 'straṃ n	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tasmād yāvad dhanuḥśreṣṭhe gāṇḍīve 'straṃ na yujyate 'straṃ+na
v → gāhyaiva v	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	avagāhyaiva vicitau na ca me rocate varaḥ eva→avagāhyaiva +vicitau
tram ch → raṃ ch	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	etat salilarājasya chatraṃ chatragṛhe sthitam chatraṃ+chattra
p → iḍūryaharitānīva p	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	vaiḍūryaharitānīva pravālarucirāṇi ca iva→vaiḍūryaharitānīva +pravāla
mbandham r → ṃbandhaṃ r	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	aripakṣeṇa saṃbandhaṃ rocayiṣyāmyahaṃ katham saṃbandhaṃ+rocayiṣyāmi
c → rṇastathaiva c	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	susvaro madhuparkaśca hemavarṇastathaiva ca eva→hemavarṇastathaiva +ca
avaḥ anyāḥ → vo 'nyā	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	asyāścatasro dhenvo 'nyā dikṣu sarvāsu mātale dhenvo+'nyā
anyāḥ d → 'nyā d	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	asyāścatasro dhenvo 'nyā dikṣu sarvāsu mātale 'nyā+dikṣu
k → ilapattraśca k	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	vāmanaścailapattraśca kukuraḥ kukuṇastathā ca→vāmanaścailapattraśca +kukuraḥ
m _ → ṃ balabhit	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	anena prahṛte pūrvaṃ balabhit praharatyuta pūrvaṃ+balabhit
mmānam k → ṃmānaṃ k	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	mātalestasya saṃmānaṃ kartum arho bhavān api saṃmānaṃ+kartum
nt l → ṃl l	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	bhagavaṃl lokasārasya sadṛśena vapuṣmatā bhagavaṃl+loka
aḥ asadṛśam → o 'sadṛśaṃ	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tena manyāmyahaṃ vīryam ātmano 'sadṛśaṃ paraiḥ ātmano+'sadṛśaṃ
asadṛśam p → 'sadṛśaṃ p	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tena manyāmyahaṃ vīryam ātmano 'sadṛśaṃ paraiḥ 'sadṛśaṃ+paraiḥ
m _ → m digbhyāṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	mārgaḥ paścimapūrvābhyāṃ digbhyāṃ vai madhyamaḥ smṛtaḥ pūrvābhyām+digbhyāṃ
_ v → digbhyāṃ v	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	mārgaḥ paścimapūrvābhyāṃ digbhyāṃ vai madhyamaḥ smṛtaḥ digbhyāṃ+vai
dvalam k → ḍvalaṃ k	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śāḍvalaṃ kadalīskandham atra saṃtānakā nagāḥ śāḍvalaṃ+kadalīskandham
h → ivātmanaśca h	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śarīre tu na paśyāmi tava caivātmanaśca ha ca→caivātmanaśca +ha
h → u h	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	gurave saṃśrutānīha śatānyaṣṭau hi vājinām aṣṭa→śatānyaṣṭau +hi
ātmānam t → ''tmānaṃ t	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	nātiprajño 'si viprarṣe yo ''tmānaṃ tyaktum icchasi ''tmānaṃ+tyaktum
se i → śa i	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yayātir vatsakāśīśa idaṃ vacanam abravīt kāsīse→vatsakāśīśa +idaṃ
e bh → atastava bh	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tatastava bhavitrīyaṃ putrāṇāṃ jananī śubhā te→tatastava +bhavitrī
r → ndraśca r	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yathā candraśca rohiṇyāṃ yathā dhūmorṇayā yamaḥ ca→candraśca +rohiṇyāṃ
e c → ahyaṃ c	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ekataḥ śyāmakarṇānāṃ deyaṃ mahyaṃ catuḥśatam mahyaṃ+catur
a e → at	vowel coalescence	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	catvāraścaiva rājānastathāhaṃ ca sumadhyame ca+eva→catvāraścaiva
e r → rāstava r	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	dauhitrāstava rājendra mama putrā na te parāḥ te→dauhitrāstava +rāja
asatām v → 'satāṃ v	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	satāṃ matam atikramya yo 'satāṃ vartate mate 'satāṃ+vartate
aḥ asamarthebhyaḥ → o 'samarthebhyo	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	aśiṣṭebhyo 'samarthebhyo mūḍhebhyo bharatarṣabha aśiṣṭebhyo+'samarthebhyo
asamarthebhyaḥ m → 'samarthebhyo m	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	aśiṣṭebhyo 'samarthebhyo mūḍhebhyo bharatarṣabha 'samarthebhyo+mūḍhebhyo
artham k → 'rthaṃ k	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	madhyamo 'rthaṃ kaliṃ bālaḥ kāmam evānurudhyate 'rthaṃ+kaliṃ
h → ṃ h	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	āhatustvāṃ hitaṃ vākyaṃ tad ādatsva paraṃtapa tvā→āhatustvāṃ +hitaṃ
m _ → ṃ suhṛdoḥ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	etaccaiva mataṃ satyaṃ suhṛdoḥ kṛṣṇabhīṣmayoḥ satyaṃ+suhṛdoḥ
_ k → suhṛdoḥ k	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	etaccaiva mataṃ satyaṃ suhṛdoḥ kṛṣṇabhīṣmayoḥ suhṛdoḥ+kṛṣṇa
p → priyeṇeha p	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kiṃ te sukhapriyeṇeha proktena bharatarṣabha iha→sukhapriyeṇeha +proktena
a _ → a durhṛdā	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yāvanāthau cariṣyete tvayā nāthena durhṛdā nāthena+durhṛdā
m p → dyadeyaṃ p	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yadyadeyaṃ purā dattaṃ rājyaṃ paravato mama iyam→yadyadeyaṃ +purā
a _ → a durhṛdo	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	hasanti vyasane tasya durhṛdo nacirād iva tasya+durhṛdo
_ n → durhṛdo n	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	hasanti vyasane tasya durhṛdo nacirād iva durhṛdo+nacirād
aḥ antarhitāḥ → o 'ntarhitā	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ṛṣayo 'ntarhitā jagmustataste nāradādayaḥ ṛṣayo+'ntarhitā
antarhitāḥ j → 'ntarhitā j	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ṛṣayo 'ntarhitā jagmustataste nāradādayaḥ 'ntarhitā+jagmuḥ
k → tvāyaiva k	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	rājā carati ced dharmaṃ devatvāyaiva kalpate eva→devatvāyaiva +kalpate
t → recca t	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	vaiśyo dhanārjanaṃ kuryācchūdraḥ paricarecca tān ca→paricarecca +tān
_ n → ebhyo n	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ebhyo nikṛtipāpebhyaḥ pramuñcātmānam ātmanā ebhyo+nikṛti
ś → dhenaiva ś	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ekaśatruvadhenaiva śūro gacchati viśrutim eva→ekaśatruvadhenaiva +śūro
as anuvrajantam → o 'nuvrajantaṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pṛṣṭhato 'nuvrajantaṃ vā kā śāntir hṛdayasya me pṛṣṭhato+'nuvrajantaṃ
anuvrajantam v → 'nuvrajantaṃ v	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pṛṣṭhato 'nuvrajantaṃ vā kā śāntir hṛdayasya me 'nuvrajantaṃ+vā
e e → yantasuhṛdasta e	vowel coalescence	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ya evātyantasuhṛdasta enaṃ paryupāsate te→evātyantasuhṛdasta +enaṃ
h d → g d	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	mitradhrug duṣṭabhāvaśca nāstiko 'thānṛjuḥ śaṭhaḥ druh→mitradhrug +duṣṭa
j → canāccaiva j	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ādityavacanāccaiva jātaṃ māṃ sā vyasarjayat eva→ādityavacanāccaiva +jātaṃ
a → iva a	vowel coalescence	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	sūto hi mām adhiratho dṛṣṭvaiva anayad gṛhān eva→dṛṣṭvaiva +anayad
ā _ → ā sṛg	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ekā sṛg vāśate ghoraṃ tat parābhavalakṣaṇam ekā+sṛg
_ v → sṛg v	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ekā sṛg vāśate ghoraṃ tat parābhavalakṣaṇam sṛg+vāśate
t vām → d yuvayoḥ	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	asādhyaṃ kiṃ nu loke syād yuvayoḥ sahitātmanoḥ syād+yuvayoḥ
ḥ naḥ → n asmākaṃ	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	pitā yavīyān asmākaṃ kṣattā dharmabhṛtāṃ varaḥ yavīyān+asmākaṃ
e g → ustubhyaṃ g	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	matam etat pitustubhyaṃ gāndhāryā vidurasya ca te→pitustubhyaṃ +gāndhāryā
a p → e p	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tṛtīyaḥ śaṃtanustāta dhṛtimānme pitāmahaḥ mama→dhṛtimānme +pitāmahaḥ
as avaśeṣam → o 'vaśeṣaṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tato 'vaśeṣaṃ tava jīvitasya sahānujasyaiva bhavennarendra tato+'vaśeṣaṃ
avaśeṣam t → 'vaśeṣaṃ t	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tato 'vaśeṣaṃ tava jīvitasya sahānujasyaiva bhavennarendra 'vaśeṣaṃ+tava
m ā → a ā	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	sāma ādau prayuktaṃ me rājan saubhrātram icchatā sāma+ādau
t → strakuśalāścaiva t	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	iṣvastrakuśalāścaiva tathā sarvāstrayodhinaḥ eva→iṣvastrakuśalāścaiva +tathā
anantaram t → 'nantaraṃ t	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	nakulo 'nantaraṃ tasmād idaṃ vacanam ādade 'nantaraṃ+tasmād
au s → āv s	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	sa droṇabhīṣmāv āyāntau sahed iti matir mama bhīṣmau→droṇabhīṣmāv +sahed
e s → ārastava s	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	netārastava senāyāḥ śūrā vikrāntayodhinaḥ te→netārastava +senāyāḥ
c → nāṅgadadīptāṃśca c	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kāñcanāṅgadadīptāṃśca candanāgarubhūṣitān ca→kāñcanāṅgadadīptāṃśca +candana
abhiṣiktaḥ v → 'bhiṣikto v	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	dhṛtarāṣṭrātmajo bhīṣmaṃ so 'bhiṣikto vyarocata 'bhiṣikto+vyarocata
m c → patiṃ c	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	senāpatipatiṃ cakre guḍākeśaṃ dhanaṃjayam patim→senāpatipatiṃ +cakre
as anvadhāvat → o 'nvadhāvad	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tato 'nvadhāvad vārṣṇeyaṃ sarvaśastrabhṛtāṃ varam tato+'nvadhāvad
anvadhāvat v → 'nvadhāvad v	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tato 'nvadhāvad vārṣṇeyaṃ sarvaśastrabhṛtāṃ varam 'nvadhāvad+vārṣṇeyaṃ
e d → rūṃstava d	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	nihatya samare śatrūṃstava dāsyāmi phalguna te→śatrūṃstava +dāsyāmi
aśvāḥ bh → 'śvā bh	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	puṣṭāste 'śvā bhṛtā yodhāḥ śvo yudhyasva sakeśavaḥ 'śvā+bhṛtā
aḥ amarṣaḥ → o 'marṣo	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śakyo 'marṣo manuṣyeṇa kartuṃ puruṣamāninā śakyo+'marṣo
amarṣaḥ m → 'marṣo m	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	śakyo 'marṣo manuṣyeṇa kartuṃ puruṣamāninā 'marṣo+manuṣyeṇa
arjunaiḥ k → 'rjuna k	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	akatthamāno yudhyasva katthase 'rjuna kiṃ bahu 'rjuna+kiṃ
t _ → t tvādṛśo	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	jānāmyetat tvādṛśo nāsti yoddhā rājyaṃ ca te jānamāno harāmi etat+tvādṛśo
_ n → tvādṛśo n	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	jānāmyetat tvādṛśo nāsti yoddhā rājyaṃ ca te jānamāno harāmi tvādṛśo+na
vāhlīkaḥ a → bāhlīko a	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	bāhlīko 'tirathaścaiva samare cānivartitā bāhlīko+atirathaḥ
ayoḥ j → or j	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	divasān subahūn rājann ubhayor jayagṛddhinoḥ ubhayor+jaya
im g → āyaṃ g	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tataḥ sakhāyaṃ gāndhāre mānayan pākaśāsanam sakhāyaṃ+gāndhāre
e aśaktam → e 'śaktaṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tvaṃ tu māṃ manyase 'śaktaṃ yathā kāpuruṣaṃ tathā manyase+'śaktaṃ
aśaktam y → 'śaktaṃ y	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tvaṃ tu māṃ manyase 'śaktaṃ yathā kāpuruṣaṃ tathā 'śaktaṃ+yathā
s → ritabrahmacaryāśca s	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	caritabrahmacaryāśca sarve cātitapasvinaḥ ca→caritabrahmacaryāśca +sarve
e s → hayaṃstava s	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	paraṃ yaśo viprathayaṃstava senāsu bhārata te→viprathayaṃstava +senāsu
ardharathaḥ n → 'rdharatho n	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	kṣatradharmā tu rājendra mato me 'rdharatho nṛpa 'rdharatho+nṛpa
bh → ndrasenaśca bh	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	vyāghradattaśca rājendra candrasenaśca bhārata ca→candrasenaśca +bhārata
aḥ aṣṭaguṇaḥ → o 'ṣṭaguṇo	visarga	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ayaṃ ca yudhi vikrānto mantavyo 'ṣṭaguṇo rathaḥ mantavyo+'ṣṭaguṇo
e _ → e yavīyasyau	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ambikāmbālike tvanye yavīyasyau tapodhana anye+yavīyasyau
_ t → yavīyasyau t	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	ambikāmbālike tvanye yavīyasyau tapodhana yavīyasyau+tapodhana
v → mānabhayāccaiva v	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	avamānabhayāccaiva vrīḍayā ca mahāmune eva→avamānabhayāccaiva +vrīḍayā
r → ādyemaṃ r	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tasmāt kāmaṃ mamādyemaṃ rāma saṃvartayānagha imam→mamādyemaṃ +rāma
c → taiva c	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	iṣvastraṃ mama bālasya bhavataiva caturvidham eva→bhavataiva +caturvidham
s _ → ḥ pariṣatsu	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yaccāpi katthase rāma bahuśaḥ pariṣatsu vai bahuśaḥ+pariṣatsu
_ v → pariṣatsu v	consonant / other	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	yaccāpi katthase rāma bahuśaḥ pariṣatsu vai pariṣatsu+vai
e atiṣṭham → e 'tiṣṭhaṃ	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tataḥ saṃdarśane 'tiṣṭhaṃ rāmasyātitapasvinaḥ saṃdarśane+'tiṣṭhaṃ
atiṣṭham r → 'tiṣṭhaṃ r	anusvāra / nasal	1	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(1)	tataḥ saṃdarśane 'tiṣṭhaṃ rāmasyātitapasvinaḥ 'tiṣṭhaṃ+rāmasya
