locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
MAHĀBHĀRATA 3,2361 → vulg	mahabharata 3 2361 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 2401 → vulg	mahabharata 3 201 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,12842 → vulg	mahabharata 3 1282 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 2,608 → vulg	mahabharata 2 608 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,2758 → vulg	mahabharata 13 278 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2, 10,27 GORR	ramayana ohne eine nahere angabe ist be 2 10 27 gorr	ramayana	Rāmāyaṇa	epic-sutra	part of the older core, c. 5th-4th c. BCE - 1st c. CE	dharmamitra	canon_dm	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,2846 → vulg	mahabharata 1 286 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 4,1178 → vulg	mahabharata 1178 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,302 → vulg	mahabharata 7 302 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7, 679 → vulg	mahabharata 7 679 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,3022 → vulg	mahabharata 1 3022 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
DIEZ, Etym. Wört. d. romanischen Sprachen	diez etym wort d romanischen sprachen					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 3,2194 → vulg	mahabharata 3 219 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,2625. fgg → vulg	mahabharata 1 262 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 2631 → vulg	mahabharata 1 2631 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 3927. fgg → vulg	mahabharata 1 3927 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,328. fgg → vulg	mahabharata 3 328 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 14486 → vulg	mahabharata 3 186 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,3602. fgg → vulg	mahabharata 3602 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,6432. fgg → vulg	mahabharata 12 632 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb 13, N.	visnupurana es wird die wilson sche ueb 13 n					no-match	no-match	no curated identity matches this resolved locus			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 12,11552. fgg → vulg	mahabharata 12 112 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12, 13041 → vulg	mahabharata 12 1301 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,1060. fgg → vulg	mahabharata 13 1060 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13, 1091. fgg → vulg	mahabharata 13 1091 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13, 1100 → vulg	mahabharata 13 1100 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,15955 → vulg	mahabharata 3 19 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
SIDDHĀNTAŚIROMAṆI 241, N	siddhantasiromani 21 n					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 4,54 → vulg	mahabharata vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,3037 → vulg	mahabharata 3 3037 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 15705 → vulg	mahabharata 3 170 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,6563 → vulg	mahabharata 12 663 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		malatimadhava	Mālatīmādhava	classical	early 8th c. CE	hand:class	hand	Bhavabhūti, early 8th c. (standard author dating)		net-new; seed had this abbrev on unresolved loci	0
MAHĀBHĀRATA 1,1640 → vulg	mahabharata 1 160 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
		malatimadhava	Mālatīmādhava	classical	early 8th c. CE	hand:class	hand	Bhavabhūti, early 8th c. (standard author dating)		net-new; seed had this abbrev on unresolved loci	0
4, No.	no					no-match	no-match	no curated identity matches this resolved locus			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
RĀMĀYAṆA. Ohne eine nähere Angabe ist be 1,11, 20 GORR	ramayana ohne eine nahere angabe ist be 1 11 20 gorr	ramayana	Rāmāyaṇa	epic-sutra	part of the older core, c. 5th-4th c. BCE - 1st c. CE	dharmamitra	canon_dm	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)			0
MAHĀBHĀRATA 14,2411. fg → vulg	mahabharata 1 211 fg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
VARĀHAMIHIRA'S BṚHATSAM̃HITĀ. 2, S. 3, Z.	varahamihira s brhatsamhita 2 s 3 z					no-match	no-match	no curated identity matches this resolved locus			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
105,a,11 und N.	10 a 11 und n					no-match	no-match	no curated identity matches this resolved locus			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,4515. fg → vulg	mahabharata 1 1 fg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,7304 → vulg	mahabharata 1 730 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,12759 → vulg	mahabharata 12 1279 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,4147 → vulg	mahabharata 13 17 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 4,2042 → vulg	mahabharata 202 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,7016 → vulg	mahabharata 1 7016 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
