slp1	hom	sense_id	first_era	era_rank	bucket_via	class	n_cites	n_dateable	bridge_status	bridge_mw_sense	count_all	sense_rank	lemma_share	n_texts	top_genre	top_genre_share	provenance	confidence
kalyARa		3f	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kalyARa		4a	epic-sutra	2	dcs+hand:class	DATEABLE	20	16	bridge_unaligned									
kalyARa		4c	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kalyARa		4d	classical	3	dharmamitra	DATEABLE	3	3	bridge_unaligned									
kalyARa		4f	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kalyARa		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kalyARa		3b				UNDATEABLE	1	0	bridge_unaligned									
kalyARa		3c				UNDATEABLE	2	0	bridge_unaligned									
kalyARa		3d				UNDATEABLE	1	0	bridge_unaligned									
kalyARa		3e				UNRESOLVED	1	0	bridge_unaligned									
kalyARa		4e				UNDATEABLE	1	0	bridge_unaligned									
kamala	1	1	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_no_freq	mw:43793:1								
kamala	1	2d	vedic	1	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	3a	epic-sutra	2	dcs+hand:class	DATEABLE	49	30	bridge_unaligned									
kamala	1	4	epic-sutra	2	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
kamala	1	5e	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kamala	1	2a	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kamala	1	2b	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kamala	1	2c	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kamala	1	3b	classical	3	dcs+dharmamitra	DATEABLE	7	6	bridge_unaligned									
kamala	1	5a	classical	3	dharmamitra	DATEABLE	19	8	bridge_unaligned									
kamala	1	3e	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	3f	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kamala	1	5b	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	5c	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	2e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	5d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kamala	1	2f				UNRESOLVED	1	0	bridge_unaligned									
kamala	1	3g				UNDATEABLE	1	0	bridge_unaligned									
kamala	1	6				UNDATEABLE	2	0	bridge_unaligned									
kandala		3a	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kandala		3b	classical	3	dcs+hand:class	DATEABLE	12	5	bridge_unaligned									
kandala		3d	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kandala		4	classical	3	dharmamitra+hand:class	DATEABLE	6	4	bridge_unaligned									
kandala		1a	early-medieval	4	hand:class	DATEABLE	6	2	bridge_no_freq	mw:43267:1								
kandala		1b	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kandala		1c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kandala		1d	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kandala		1e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kandala		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
kandala		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kandala		3e				UNDATEABLE	1	0	bridge_unaligned									
kapila		1	vedic	1	dcs	DATEABLE	53	34	joined	mw:43522:1	31	1	0.8857	19	purana	0.3226	attested	
kapila		2b	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	66	39	bridge_unaligned									
kapila		2d	epic-sutra	2	dharmamitra	DATEABLE	4	4	bridge_unaligned									
kapila		3e	epic-sutra	2	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kapila		3g	epic-sutra	2	dharmamitra	DATEABLE	6	3	bridge_unaligned									
kapila		2c	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kapila		3b	classical	3	dharmamitra	DATEABLE	6	4	bridge_unaligned									
kapila		3c	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kapila		3f	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
kapila		3d	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
kapila		2a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karRika		1a	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_no_freq	mw:45023:1								
karRika		1b	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karRika		3a	epic-sutra	2	hand:class	DATEABLE	10	7	bridge_unaligned									
karRika		3d	epic-sutra	2	dcs+dharmamitra	DATEABLE	16	11	bridge_unaligned									
karRika		3k	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
karRika		3e	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
karRika		3f	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
karRika		3i	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karRika		4	early-medieval	4	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
karRika		3g	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
karRika		3h	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karRika		2a				UNDATEABLE	1	0	bridge_unaligned									
karRika		2b				UNDATEABLE	1	0	bridge_unaligned									
karRika		2c				UNRESOLVED	1	0	bridge_unaligned									
karRika		3b				UNDATEABLE	4	0	bridge_unaligned									
karRika		3c				UNDATEABLE	6	0	bridge_unaligned									
karaRa	2	2a	vedic	1	dcs	DATEABLE	3	3	bridge_unaligned									
karaRa	2	3a	vedic	1	dcs	DATEABLE	19	16	bridge_unaligned									
karaRa	2	3c	vedic	1	dcs	DATEABLE	8	7	bridge_unaligned									
karaRa	2	4e	vedic	1	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karaRa	2	1	epic-sutra	2	dcs+hand:class	DATEABLE	3	3	joined	mw:44240:1	6	6	0.075	6	rasasastra	0.8333	attested	
karaRa	2	2b	epic-sutra	2	dcs+dharmamitra	DATEABLE	24	15	bridge_unaligned									
karaRa	2	3b	epic-sutra	2	dcs	DATEABLE	10	6	bridge_unaligned									
karaRa	2	3d	epic-sutra	2	dharmamitra+hand:class	DATEABLE	40	35	bridge_unaligned									
karaRa	2	3f	epic-sutra	2	dcs	DATEABLE	4	3	bridge_unaligned									
karaRa	2	3i	epic-sutra	2	dcs+hand:class	DATEABLE	5	4	bridge_unaligned									
karaRa	2	3k	epic-sutra	2	hand:class	DATEABLE	12	10	bridge_unaligned									
karaRa	2	4d	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
karaRa	2	3e	classical	3	dcs+dharmamitra	DATEABLE	5	4	bridge_unaligned									
karaRa	2	3l	classical	3	dcs+dharmamitra	DATEABLE	5	4	bridge_unaligned									
karaRa	2	3m	classical	3	dharmamitra	DATEABLE	11	5	bridge_unaligned									
karaRa	2	3n	classical	3	dharmamitra	DATEABLE	18	6	bridge_unaligned									
karaRa	2	3o	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
karaRa	2	3h	early-medieval	4	hand:class	DATEABLE	13	10	bridge_unaligned									
karaRa	2	4b	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
karaRa	2	3g				UNDATEABLE	1	0	bridge_unaligned									
karaRa	2	3r				UNDATEABLE	2	0	bridge_unaligned									
karaRa	2	4c				UNRESOLVED	1	0	bridge_unaligned									
karavIra		1a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	25	14	joined	mw:44166:1	7	2	0.2414	4	rasasastra	0.5714	attested	
karavIra		1d	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karavIra		1f	epic-sutra	2	dharmamitra	DATEABLE	3	2	bridge_unaligned									
karavIra		1h	epic-sutra	2	dharmamitra	DATEABLE	9	6	bridge_unaligned									
karavIra		1c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karavIra		1e	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karavIra		1g	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karavIra		2	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karavIra		3c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karavIra		1b				UNDATEABLE	1	0	bridge_unaligned									
karkawa		3b	vedic	1	hand:class	DATEABLE	8	7	bridge_unaligned									
karkawa		1a	epic-sutra	2	dcs	DATEABLE	21	10	joined	mw:44645:1	13	1	0.9286	4	rasasastra	0.8462	attested	
karkawa		3a	epic-sutra	2	dharmamitra	DATEABLE	6	2	bridge_unaligned									
karkawa		3d	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karkawa		3e	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karkawa		1b	early-medieval	4	hand:class	DATEABLE	4	3	bridge_unaligned									
karkawa		1e	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
karkawa		3c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karkawa		1c	late-medieval	5	hand:class	DATEABLE-MARGINAL	6	2	bridge_unaligned									
karkawa		1d				UNDATEABLE	1	0	bridge_unaligned									
karkawa		1f				UNDATEABLE	1	0	bridge_unaligned									
karkawa		1g				UNRESOLVED	3	0	bridge_unaligned									
karkawa		2				UNDATEABLE	2	0	bridge_unaligned									
karkawa		3f				UNRESOLVED	1	0	bridge_unaligned									
karman		1	vedic	1	dcs	DATEABLE	63	56	joined	mw:45268:1	125	2	0.239	30	rasasastra	0.592	attested	
karman		2	vedic	1	dcs	DATEABLE	39	37	bridge_unaligned									
karman		5	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
karman		4	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
karman		7	classical	3	dharmamitra	DATEABLE	10	7	bridge_unaligned									
karman		8	classical	3	dharmamitra	DATEABLE	10	2	bridge_unaligned									
karman		6d	early-medieval	4	hand:class	DATEABLE	5	3	bridge_unaligned									
karman		3	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kawa		1a	vedic	1	dcs	DATEABLE	21	16	joined	mw:41895:1	1	2	0.3333	1	epic	1.0	attested	
kawa		1b	epic-sutra	2	dharmamitra	DATEABLE	6	5	bridge_unaligned									
kawa		1e	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1g	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
kawa		1h	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		2a	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1c	classical	3	dharmamitra	DATEABLE	11	10	bridge_unaligned									
kawa		1i	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kawa		1m	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kawa		1n	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kawa		1o	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kawa		1u	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		4	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kawa		1k	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1l	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1p	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1s	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		1t	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kawa		3	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
kawa		1q	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kawa		1r	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kawa		1d				UNDATEABLE	3	0	bridge_unaligned									
kawa		1f				UNDATEABLE	1	0	bridge_unaligned									
kazAya		2a	vedic	1	dcs	DATEABLE	29	8	bridge_unaligned									
kazAya		2c	vedic	1	dcs	DATEABLE	34	14	bridge_unaligned									
kazAya		1a	epic-sutra	2	dcs+dharmamitra	DATEABLE	13	9	bridge_no_freq	mw:46755:1								
kazAya		1c	epic-sutra	2	dharmamitra+hand:class	DATEABLE	23	12	bridge_unaligned									
kazAya		2b	epic-sutra	2	dharmamitra	DATEABLE	5	3	bridge_unaligned									
kazAya		3d	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kazAya		1b	classical	3	dcs+dharmamitra	DATEABLE	5	4	bridge_unaligned									
kazAya		3a	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kazAya		3b	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kazAya		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kazAya		4	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kazAya		5	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
keSa		1a	vedic	1	dcs	DATEABLE	66	55	joined	mw:55911:1	41	2	0.4556	24	rasasastra	0.4634	attested	
keSa		1b	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
keSa		1c	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
keSa		1d	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
keSa		1g	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
keSa		1f	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
keSa		2a	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
keSa		2c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
keSa		1e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
keSa		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	4	2	bridge_unaligned									
keSa		1h				UNRESOLVED	2	0	bridge_unaligned									
kfta		1a	vedic	1	dcs	DATEABLE	6	6	bridge_no_freq	mw:54156:1								
kfta		1b	vedic	1	dcs	DATEABLE	8	8	bridge_unaligned									
kfta		1c	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		1d	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		1e	vedic	1	dcs	DATEABLE	4	4	bridge_unaligned									
kfta		3a	vedic	1	dcs	DATEABLE	8	7	bridge_unaligned									
kfta		3e	vedic	1	dcs	DATEABLE	12	12	bridge_unaligned									
kfta		3f	vedic	1	dcs	DATEABLE	9	8	bridge_unaligned									
kfta		3g	vedic	1	dcs	DATEABLE	28	27	bridge_unaligned									
kfta		1f	epic-sutra	2	dcs+hand:class	DATEABLE	4	4	bridge_unaligned									
kfta		1g	epic-sutra	2	dcs+dharmamitra	DATEABLE	5	3	bridge_unaligned									
kfta		1h	epic-sutra	2	dcs	DATEABLE	10	9	bridge_unaligned									
kfta		2a	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		2c	epic-sutra	2	dharmamitra	DATEABLE	3	3	bridge_unaligned									
kfta		3b	epic-sutra	2	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kfta		2d	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		2b	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		2e	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		2f	early-medieval	4	dharmamitra	DATEABLE	5	3	bridge_unaligned									
kfta		3c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		3d	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfta		2g				UNDATEABLE	5	0	bridge_unaligned									
kfzRa		1	vedic	1	dcs	DATEABLE	68	60	bridge_no_freq	mw:55142:1								
kfzRa		2b	vedic	1	dcs	DATEABLE	12	11	bridge_unaligned									
kfzRa		2h	vedic	1	dcs	DATEABLE	88	59	bridge_unaligned									
kfzRa		4	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		5a	vedic	1	dcs	DATEABLE	3	3	bridge_unaligned									
kfzRa		5b	vedic	1	dcs+hand:class	DATEABLE	8	5	bridge_unaligned									
kfzRa		5c	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		2d	epic-sutra	2	dcs	DATEABLE	4	3	bridge_unaligned									
kfzRa		3d	epic-sutra	2	dharmamitra	DATEABLE	9	5	bridge_unaligned									
kfzRa		3e	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kfzRa		3g	epic-sutra	2	dharmamitra	DATEABLE	10	3	bridge_unaligned									
kfzRa		3h	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		2a	classical	3	dharmamitra	DATEABLE	4	4	bridge_unaligned									
kfzRa		2i	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kfzRa		3b	classical	3	dharmamitra	DATEABLE	21	7	bridge_unaligned									
kfzRa		5d	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
kfzRa		5f	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kfzRa		2c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kfzRa		2g	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		3f	early-medieval	4	hand:class	DATEABLE	2	2	bridge_unaligned									
kfzRa		5g	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		5h	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kfzRa		2e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kfzRa		3c	late-medieval	5	dharmamitra+hand:class	DATEABLE	2	2	bridge_unaligned									
kfzRa		5e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kfzRa		5i	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kfzRa		3a				UNDATEABLE	1	0	bridge_unaligned									
koSa		1a	vedic	1	dcs	DATEABLE	16	14	joined	mw:56740:1	2	6	0.0476	1	veda	1.0	attested	
koSa		1b	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
koSa		1d	vedic	1	dcs	DATEABLE	3	3	bridge_unaligned									
koSa		1e	vedic	1	dcs	DATEABLE	6	6	bridge_unaligned									
koSa		1g	vedic	1	dcs	DATEABLE	12	10	bridge_unaligned									
koSa		3a	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
koSa		1f	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	12	11	bridge_unaligned									
koSa		1h	epic-sutra	2	dcs+dharmamitra	DATEABLE	33	27	bridge_unaligned									
koSa		1l	epic-sutra	2	dcs	DATEABLE	13	10	bridge_unaligned									
koSa		1u	epic-sutra	2	dcs	DATEABLE	4	3	bridge_unaligned									
koSa		3d	epic-sutra	2	hand:class	DATEABLE	4	2	bridge_unaligned									
koSa		1k	classical	3	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
koSa		1m	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
koSa		1p	classical	3	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
koSa		1q	classical	3	dharmamitra	DATEABLE	10	2	bridge_unaligned									
koSa		1r	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
koSa		1s	classical	3	dharmamitra	DATEABLE	7	6	bridge_unaligned									
koSa		1v	classical	3	dharmamitra	DATEABLE	6	3	bridge_unaligned									
koSa		1y	classical	3	dharmamitra	DATEABLE	3	3	bridge_unaligned									
koSa		2	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
koSa		3b	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
koSa		1c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
koSa		1n	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
koSa		1w	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
koSa		3c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
koSa		1o	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
koSa		1x	late-medieval	5	dharmamitra	DATEABLE-MARGINAL	4	1	bridge_unaligned									
koSa		1i				UNDATEABLE	3	0	bridge_unaligned									
koSa		1t				UNDATEABLE	10	0	bridge_unaligned									
kola		4a	vedic	1	dcs	DATEABLE	17	4	bridge_unaligned									
kola		1h	epic-sutra	2	dharmamitra	DATEABLE	10	6	bridge_unaligned									
kola		1a	classical	3	dharmamitra	DATEABLE	9	6	joined	mw:56666:1	1	3	0.04	1	ayurveda	1.0	attested	
kola		1b	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
kola		1d	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
kola		2	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
kola		3	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kola		1f	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kola		1g	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kola		1c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kola		4b	late-medieval	5	hand:class	DATEABLE-MARGINAL	4	2	bridge_unaligned									
kola		4c	late-medieval	5	hand:class	DATEABLE-MARGINAL	4	1	bridge_unaligned									
krUra		1a	vedic	1	dcs	DATEABLE	6	6	joined	mw:58346:1	3	2	0.0882	2	epic	0.6667	attested	
krUra		1b	vedic	1	dcs	DATEABLE	46	33	bridge_unaligned									
krUra		2a	vedic	1	dcs	DATEABLE	11	11	bridge_unaligned									
krUra		2b	vedic	1	dcs	DATEABLE	12	8	bridge_unaligned									
krUra		1c	classical	3	dharmamitra+hand:class	DATEABLE	9	6	bridge_unaligned									
krUra		1e	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
krUra		5c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
krUra		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
krUra		4	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
krUra		1d				UNDATEABLE	2	0	bridge_unaligned									
krUra		5b				UNDATEABLE	1	0	bridge_unaligned									
krama		5	vedic	1	dcs	DATEABLE	75	66	bridge_unaligned									
krama		3	epic-sutra	2	dharmamitra	DATEABLE	3	3	bridge_unaligned									
krama		6	epic-sutra	2	dcs+dharmamitra	DATEABLE	27	17	bridge_unaligned									
krama		8	epic-sutra	2	hand:class	DATEABLE	28	19	bridge_unaligned									
krama		2	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
krama		4	classical	3	dharmamitra	DATEABLE	9	8	bridge_unaligned									
krama		7	classical	3	hand:class	DATEABLE	4	4	bridge_unaligned									
krama		10	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	2	1	joined	mw:57750:1	21	3	0.2593	10	tantra_yoga	0.6667	attested	
krama		9	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
krama		13	late-medieval	5	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
krama		11				UNDATEABLE	1	0	bridge_unaligned									
krama		12				UNDATEABLE	1	0	bridge_unaligned									
krama		14				UNRESOLVED	1	0	bridge_unaligned									
kuSa		1a	vedic	1	dcs	DATEABLE	18	16	bridge_no_freq	mw:53295:1								
kuSa		2b	vedic	1	dcs	DATEABLE	7	3	bridge_unaligned									
kuSa		3a	vedic	1	dcs+hand:class	DATEABLE	8	7	bridge_unaligned									
kuSa		1b	epic-sutra	2	dcs+dharmamitra	DATEABLE	38	26	bridge_unaligned									
kuSa		1d	epic-sutra	2	dcs+dharmamitra	DATEABLE	26	20	bridge_unaligned									
kuSa		2a	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
kuSa		3b	epic-sutra	2	hand:class	DATEABLE	4	4	bridge_unaligned									
kuSa		1e	classical	3	dharmamitra	DATEABLE	7	4	bridge_unaligned									
kuSa		4	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
kuSa		1c	early-medieval	4	hand:class	DATEABLE-MARGINAL	4	1	bridge_unaligned									
kuSa		2c	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
kuSa		5b	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kuSa		2d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kuSa		3c				UNDATEABLE	1	0	bridge_unaligned									
kuSa		3d				UNDATEABLE	1	0	bridge_unaligned									
kuSa		3e				UNDATEABLE	1	0	bridge_unaligned									
kuSala		1a	vedic	1	dcs	DATEABLE	14	13	joined	mw:53405:1	9	5	0.1268	5	katha	0.5556	attested	
kuSala		1c	vedic	1	dcs	DATEABLE	49	44	bridge_unaligned									
kuSala		1b	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kuSala		2a	epic-sutra	2	dharmamitra	DATEABLE	3	3	bridge_unaligned									
kuSala		3	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kuSala		5a	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
kuSala		5c	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
kuSala		4b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
kuSala		2b				UNDATEABLE	1	0	bridge_unaligned									
kuSala		2c				UNDATEABLE	3	0	bridge_unaligned									
kuYjara		1a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	33	25	joined	mw:51484:1	109	1	0.982	18	epic	0.7798	attested	
kuYjara		1b	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	14	14	bridge_unaligned									
kuYjara		1d	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
kuYjara		1e	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
kuYjara		1f	epic-sutra	2	dcs+dharmamitra	DATEABLE	8	5	bridge_unaligned									
