verse	lemma	devanagari	iast	form_type	code	tense	pada	vclass	root	root_tr	prefix	stem_end	gender	compound	mark	rule	sandhi	verse_iast	gloss_en	gloss_ru
10.39	bīja	बीजम्	bījam		1n.1 n.							a	n			m	m t → ṃ t		seed, semen, source	семя
10.39	tat	तत्	tat		1n.1 n.	sn.						t	n			t1	t a → d a		that	то
10.39	asmat	अहम्	aham		1n.1	sn.						t							I	Я
10.39	arjuna	अर्जुन​	arjuna		8n.1 m.							a	m						white, clear, O Arjuna	о Арджуна
10.39	na	न​	na			av.												na tad asti vinā yat syān mayā bhūtaṃ carācaram	not	не
10.39	tat	तत्	tat		1n.1 n.	sn.						t	n			t1	t a → d a		that	то
10.39	√as	अस्ति	asti		1v.1	Praes. P			√as										it is, it exists	существует
10.39	vinā	विना	vinā			av.													without	без
10.39	yat	यत्	yat		1n.1 n.	sn.						t	n						that which	которое
10.39	√as	स्यात्	syāt		1v.1	Pot. P			√as							t3	t m → n m		it would be	было бы
10.39	asmat	मया	mayā		3n.1	sn.						t							by me	Мной
10.39	bhūta	भूतम्	bhūtam		1n.1 n.	PP			√bhū			a	n			m	m c → ṃ c		been, real, world	сотворенное живое существо
10.39	cara-acara	चराचरम्	carācaram		1n.1 n.				√car			a	n	DV/BV					being with the moving and non-moving [creatures]	движущееся и неподвижное.
10.40	na	न​	na			av.						a				v1	a a → ā	nānto ‘sti mama divyānāṃ vibhūtīnāṃ paraṃtapa	not	не
10.40	anta	अन्तः	antaḥ		1n.1 m.							a	m			h2	aḥ a → o '		end, limit, settlement, inside, nature	предел
10.40	√as	अस्ति	asti		1v.1	Praes. P			√as										there is	существует
10.40	asmat	मम​	mama		6n.1	sn.						t							my	Моих
10.40	divya	दिव्यानाम्	divyānām		6n.3 f.				√div			a	f			m	m v → ṃ v		of the divine	божественных
10.40	vibhūti	विभूतीनाम्	vibhūtīnām		6n.3 f.				√bhū			i	f			m	m p → ṃ p		of powers, might, opulences	богатств
10.40	param-tapa	परञ्तप​	paraṁtapa		8n.1 m.				√tap			a	m						one who torments enemies	о покоритель врагов
10.40	etad	एषः	eṣaḥ		1n.1 m.	sn.						d	m			h1	ḥ t → Ø t	eṣa tūddeśataḥ prokto vibhūter vistaro mayā	this	это
10.40	tu	तु	tu			av.						u				v1	u u → ū		but, then, or, and	но
10.40	uddeśataḥ	उद्देशतः	uddeśataḥ			av.			√diś										as indication, in short	в качестве примера
10.40	prokta	प्रोक्तः	proktaḥ		1n.1 m.	PP			√vac			a	m			h3	aḥ v → o v		spoken	сказано
10.40	vibhūti	विभूतेः	vibhūteḥ		6n.1 f.				√bhū			i	f			h4	ḥ v → r v		of power, might, opulence	богатства
10.40	vistara	विस्तरः	vistaraḥ		1n.1 m.				√stṛ			a	m			h3	aḥ m → o m		long, extensive, detailed description	распространение
10.40	asmat	मया	mayā		3n.1	sn.						t							by me	Мной.
10.41	yat	यद्यद्	yad yad		1n.1 n.	sn.						t	n					yad yad vibhūtimat sattvaṃ śrīmad ūrjitam eva vā	that which, whatever	любые
10.41	vibhūti-mant	विभूतिमत्	vibhūtimat		1n.1 n.				√bhū			t	n						having power	богатством-обладающее
10.41	sattva	सत्त्वम्	sattvam		1n.1 n.	abst.			√as			a	n			m	m ś → ṃ ś		being, essence, wisdom, spirit, one of the three guṇas	бытие
10.41	śrī-mant	श्रीमत्	śrīmat		1n.1 n.							t	n			t1	t ū → d ū		having majesty, beauty, wealth	прекрасное
10.41	ūrjita	ऊर्जितम्	ūrjitam		1n.1 n.	PP			√ūrj			a	n						having strength, glory	величественное
10.41	eva	एव​	eva			av.													certainly, just, merely	несомненно
10.41	vā	वा	vā			av.						ā							or, and, on the other side, but even if, however	или
10.41	tat	तत्तत्	tat tat		2n.1 n.	sn.						t	n			t1	t e → d e	tat tad evāvagaccha tvaṃ mama tejo-‘ṃśa-saṃbhavam	this and that, every	то
10.41	eva	एव​	eva			av.						a				v1	a a → ā		certainly, just, merely	именно
10.41	ava-√gam	अवगच्छ​	avagaccha		2v.1	Imperat. P			√gam										you must understand	пойми
10.41	yuṣmat	त्वम्	tvam		1n.1	sn.						t				m	m m → ṃ m		you	ты
10.41	asmat	मम​	mama		6n.1	sn.						t							my	Мое
10.41	tejaḥ-aṁśa-saṁbhava	तेजो‘ञ्शसञ्भवम्	tejo-‘ṁśa-saṁbhavam		2n.1 n.				√tij			a	n	BV					whose origin is by a portion of splendour	великолепие-части-возникшее.
10.42	atha	अथ​	atha			av.												atha vā bahunaitena kiṃ jñātena tavārjuna	then, now, moreover, certainly, rather	или
10.42	vā	वा	vā			av.													or, and, on the other side, but even if, however	или
10.42	bahu	बहुना	bahunā		3n.1 m.							u	m			v6	ā e → ai		with many	во многом
10.42	etat	एतेन​	etena		3n.1 m.	sn.						t	m						with that	в этом
10.42	kim	किम्	kim			av.										m	m j → ṃ j		what for – requires instrumental	что
10.42	jñāta	ज्ञातेन​	jñātena		3n.1 m.	PP			√jñā			a	m						with that learned	в знании
10.42	yuṣmat	तव​	tava		6n.1	sn.						t				v1	a a → ā		your	твоем
10.42	arjuna	अर्जुन​	arjuna		8n.1 m.							a	m						white, clear, O Arjuna	о Арджуна
10.42	vi-√stambh	विष्टभ्य​	viṣṭabhya			absol.			√stambh							v1	a a → ā	viṣṭabhyāham idaṃ kṛtsnam ekāṃśena sthito jagat	after ascertaining, after supporting	проникнув
10.42	asmat	अहम्	aham		1n.1	sn.						t							I	Я
10.42	idam	इदम्	idam		2n.1 n.							m	n			m	m k → ṃ k		this	эту
10.42	kṛtsna	कृत्स्नम्	kṛtsnam		2n.1 n.							a	n						whole	всю
10.42	eka-aṁśa	एकाञ्शेन​	ekāṁśena		3n.1 m.				√aṁś			a	m	TP					with one portion	одной-частью
10.42	sthita	स्थितः	sthitaḥ		1n.1 m.	PP			√sthā			a	m			h3	aḥ j → o j		situated	пребывающий
10.42	jagat	जगत्	jagat		2n.1 n.				√gam			t	n						world, moving, mankind	вселенную.
11.01	arjuna	अर्जुनः	arjunaḥ		1n.1 m.							a	m			h1	ḥ u → Ø u	arjuna uvāca	white, clear, Arjuna	Арджуна
11.01	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
11.01	mad-anugraha	मदनुग्रहाय​	mad-anugrahāya		4n.1 m.				√grah			a	m					mad-anugrahāya paramaṃ guhyam adhyātma-saṃjñitam	for favouring me	чтобы явить мне милость
11.01	parama	परमम्	paramam		1n.1 n.							a	n			m	m g → ṃ g		supreme, the highest	высшее
11.01	guhya	गुह्यम्	guhyam		1n.1 n.	PF			√xguh			a	n						to be hidden, secret	сокровенное знание
11.01	adhy-ātma-saṁjñita	अध्यात्मसञ्ज्ञितम्	adhyātma-saṁjñitam		1n.1 n.				√jñā			a	n						called the Supreme Spirit	о духовном-сообщенное
11.01	yat	यत्	yat		1n.1 n.	sn.						t	n					yat tvayoktaṃ vacas tena moho ‘yaṃ vigato mama	that which	которое
11.01	yuṣmat	त्वया	tvayā		3n.1	sn.						t				v5	ā u → o		by you	Тобой
11.01	ukta	उक्तम्	uktam		1n.1 n.	PP			√vac			a	n			m	m v → ṃ v		spoken, called	рассказано
11.01	vacas	वचः	vacaḥ		1n.1 n.				√vac			s	n			h5	ḥ t → s t		word, the speech	речь
11.01	tat	तेन​	tena		3n.1 m.	sn.						t	m						by that	тем
11.01	moha	मोहः	mohaḥ		1n.1 m.				√muh			a	m			h2	aḥ a → o '		perplexity, confusion, bewilderment, error	иллюзия
11.01	idam	अयम्	ayam		1n.1 m.	sn.						m	m			m	m v → ṃ v		that	эта
11.01	vigata	विगतः	vigataḥ		1n.1 m.	PP			√gam			a	m			h3	aḥ m → o m		gone away	устранена
11.01	asmat	मम​	mama		6n.1	sn.						t							my	моя.
11.02	bhava-apyaya	भवाप्ययौ	bhavāpyayau		1n.2 m.				√bhū			a	m					bhavāpyayau hi bhūtānāṃ śrutau vistaraśo mayā	existence and destruction	появление-исчезновение
11.02	hi	हि	hi			av.													because, just, indeed, surely	безусловно
11.02	bhūta	भूतानाम्	bhūtānām		6n.3 m.	PP			√bhū			a	m			m	m ś → ṃ ś		of beings, of creatures	живых существ
11.02	śruta	श्रुतौ	śrutau		1n.2 m.	PP.			√śru			a	m						which [two] are heard	услышанные
11.02	vistaraśaḥ	विस्तरशः	vistaraśaḥ			av.			√stṛ							h3	aḥ m → o m		extensively, fully	подробно
11.02	asmat	मया	mayā		3n.1	sn.						t							by me	мной
11.02	tvattaḥ	त्वत्तः	tvattaḥ			av.												tvattaḥ kamala-patrākṣa māhātmyam api cāvyayam	from you	от Тебя
11.02	kamala-patra-akṣa	कमलपत्राक्ष​	kamala-patrākṣa		8n.1 m.				√xīkṣ			a	m	BV					whose eyes are like lotus petals	о лотосоокий
11.02	māhā-ātmya	माहात्म्यम्	māhātmyam		1n.1 n.				√mah			a	n						greatness, magnanimity, majesty	величие
11.02	api	अपि	api			av.													although, moreover, besides, even	конечно
11.02	ca	च​	ca			av.						a				v1	a a → ā		and	и
11.02	a-vyaya	अव्ययम्	avyayam		1n.1 n.				√i			a	n						unchangeable	неисчерпаемое.
11.03	evam	एवम्	evam			av.												evam etad yathāttha tvam ātmānaṃ parameśvara	thus	итак
11.03	etat	एतत्	etat		1n.1 n.	sn.						t	n			t1	t y → d y		this	эту
11.03	yathā	यथा	yathā			av.						ā				v1	ā ā → ā		as	как
11.03	√ah	आत्थ​	āttha		2v.1	Perf. P			√ah										you spoke	рассказал
11.03	yuṣmat	त्वम्	tvam		1n.1	sn.						t							you	Ты
11.03	ātman	आत्मानम्	ātmānam		2n.1 m.							an	m			m	m p → ṃ p		self	Сам
11.03	parama-īśvara	परमेश्वर​	parameśvara		8n.1 m.				√xīś			a	m						O Supreme Lord	о Верховный Господь
11.03	√dṛś	द्रष्टुम्	draṣṭum			inf.			√dṛś									draṣṭum icchāmi te rūpam aiśvaraṃ puruṣottama	to see	видеть
11.03	√iṣ	इच्छामि	icchāmi		3v.1	Praes. P			√iṣ										I desire	желаю
11.03	yuṣmat	ते	te		6n.1	sn.						t							your	Твою
11.03	rūpa	रूपम्	rūpam		2n.1 n.				√rūp			a	n						shape, figure, beauty	форму
11.03	aiśvara	ऐश्वरम्	aiśvaram		2n.1 n.				√xīś			a	n			m	m p → ṃ p		majesty, supremacy, might	божественную
11.03	puruṣa-uttama	पुरुषोत्तम​	puruṣottama		8n.1 m.				√pur			a	m	TP					O best among men	о величайшая личность.
11.04	√man	मन्यसे	manyase		2v.1	Praes. A			√man									manyase yadi tac chakyaṃ mayā draṣṭum iti prabho	you think	Ты думаешь
11.04	yadi	यदि	yadi			av.													if	если
11.04	tat	तत्	tat		1n.1 n.	sn.						t	n			t6	t ś → c c		that	что
11.04	śakya	शक्यम्	śakyam		1n.1 n.	PF			√śak			a	n			m	m m → ṃ m		it is possible	способен
11.04	asmat	मया	mayā		3n.1	sn.						t							by me	я
11.04	√dṛś	द्रष्टुम्	draṣṭum			inf.			√dṛś										to see	увиденный
11.04	iti	इति	iti			av.													thus	таким образом
11.04	pra-bhu	प्रभो	prabho		8n.1 m.				√bhū			u	m						O perfect, O powerful, O master	о Господь
11.04	yoga-īśvara	योगेश्वर​	yogeśvara		8n.1 m.				√yuj			a	m	TP				yogeśvara tato me tvaṃ darśayātmānam avyayam	O lord of yoga!	о владыка мистических сил
11.04	tataḥ	ततः	tataḥ			av.										h3	aḥ m → o m		then, after that, from that, for that reason	тогда
11.04	asmat	मे	me		6n.1	sn.						t							my	мне
11.04	yuṣmat	त्वम्	tvam		1n.1	sn.						t				m	m d → ṃ d		you	Ты
11.04	√dṛś	दर्शय​	darśaya		2v.1	caus. Imperat. P			√dṛś							v1	a ā → ā		you must show	яви
11.04	ātman	आत्मानम्	ātmānam		2n.1 m.							an	m						self	Себя
11.04	a-vyaya	अव्ययम्	avyayam		2n.1 m.				√i			a	m						unchangeable	вечного.
11.05	śrī-bhagavant	श्रीभगवान्	śrī-bhagavān		1n.1 m.				√bhaj			t	m	TP				śrī-bhagavān uvāca	the Lord united with majesty	Верховный Господь
11.05	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
11.05	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś									paśya me pārtha rūpāṇi śataśo ‘tha sahasraśaḥ	you must see	взгляни
11.05	asmat	मे	me		6n.1	sn.						t							my	на Мои
11.05	pārtha	पार्थ​	pārtha		8n.1 m.				√pṛth			a	m						O son of Pṛthā	о сын Притхи
11.05	rūpa	रूपाणि	rūpāṇi		2n.3 n.				√rūp			a	n						shapes, figures	формы
11.05	śataśaḥ	शतशः	śataśaḥ			av.										h2	aḥ a → o '		hundreds	сотнями
11.05	atha	अथ​	atha			av.													then, now, moreover, certainly, rather	и
11.05	sahasraśaḥ	सहस्रशः	sahasraśaḥ			av.						ḥ							thousands	тысячами
11.05	nānā-vidha	नानाविधानि	nānā-vidhāni		1n.3 n.				√dhā			a	n					nānā-vidhāni divyāni nānā-varṇākṛtīni ca	which are of various kinds	разнообразные
11.05	divya	दिव्यानि	divyāni		2n.3 n.				√div			a	n						divine	божественные
11.05	nānā-varṇa-ākṛti	नानावर्णाकृतीनि	nānā-varṇākṛtīni		1n.3 n.				√varṇ			i	n	BV					which are of various colours and shapes	разнообразных-цветов-формы
11.05	ca	च​	ca			av.						a							and	также.
11.06	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś							v1	a ā → ā	paśyādityān vasūn rudrān aśvinau marutas tathā	you must see	взгляни
11.06	āditya	आदित्यान्	ādityān		2n.3 m.							a	m						the descendants of Aditi	на двенадцать сыновей Адити
11.06	vasu	वसून्	vasūn		2n.3 m.				√vas			u	m						the Vasus	на восемь Васу
11.06	rudra	रुद्रान्	rudrān		2n.3 m.				√ru			a	m						the Rudras	на одиннадцать Рудр
11.06	aśvin	अश्विनौ	aśvinau		2n.2 m.							in	m						the two Aśvinīs	на двоих Ашвинов
11.06	mārut	मरुतः	marutaḥ		2n.3 m.							t	m			h5	ḥ t → s t		the winds, the Maruts	на сорок девять Марутов (полубогов ветра)
11.06	tathā	तथा	tathā			av.						ā							in that manner, so, in like manner	также
11.06	bahu	बहूनि	bahūni		2n.3 m.							u	m			v7	i a → y a	bahūny adṛṣṭa-pūrvāṇi paśyāścaryāṇi bhārata	many, great	на множество
11.06	adṛṣṭa-pūrva	अदृष्टपूर्वाणि	adṛṣṭa-pūrvāṇi		2n.3 m.				√dṛś			a	m	BV					not seen before	не виданных (тобой)-тех, кто прежде
11.06	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś							v1	a ā → ā		you must see	узри
11.06	āścarya	आश्चर्याणि	āścaryāṇi		2n.3 m.	PF			√car			a	m						hard to find, curious, marvellous, amazing, wonders	чудеса
11.06	bhārata	भारत​	bhārata		8n.1 m.							a	m						O descendant of Bhārata	о лучший из Бхарат.
11.07	iha	इह​	iha			av.						a				v6	a e → ai	ihaika-sthaṃ jagat kṛtsnaṃ paśyādya sa-carācaram	here	здесь
11.07	eka-stha	एकस्थम्	eka-stham		2n.1 n.				√sthā			a	n			m	m j → ṃ j		which is situated in one place	находящиеся в одном месте
11.07	jagat	जगत्	jagat		2n.1 n.				√gam			t	n						world, moving, mankind	вселенную
11.07	kṛtsna	कृत्स्नम्	kṛtsnam		2n.1 n.							a	n			m	m p → ṃ p		whole	полностью
11.07	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś							v1	a a → ā		you must see	узри
11.07	a-dya	अद्य​	a-dya			av.			√div										today, now	сейчас
11.07	sa-cara-acara	सचराचरम्	sa-carācaram		2n.1 n.				√car			a	n	DV/BV					with the moving and non-moving [creatures]	с-движущееся-и неподвижное
11.07	asmat	मम​	mama		6n.1	sn.						t						mama dehe guḍākeśa yac cānyad draṣṭum icchasi	my	в Моем
11.07	deha	देहे	dehe		7n.1 m.				√dih			a	m						in the body	в теле
11.07	guḍākeśa	गुडाकेश​	guḍākeśa		8n.1 m.				√xīś			a	m						O one with thick hair	о Арджуна
11.07	yat	यत्	yat		2n.1 n.	sn.						t	n			t5	t c → c c		that which	что
11.07	ca	च​	ca			av.						a				v1	a a → ā		and	также
11.07	anya	अन्यत्	anyat		2n.1 n.	sn.						a	n			t1	t d → d d		other	другое
11.07	√dṛś	द्रष्टुम्	draṣṭum			inf.			√dṛś										to see	видеть
11.07	√iṣ	इच्छसि	icchasi		2v.1	Praes. P			√iṣ										you desire	желаешь.
11.08	na	न​	na			av.												na tu māṃ śakyase draṣṭum anenaiva sva-cakṣuṣā	not	не
11.08	tu	तु	tu			av.													but, then, or, and	но
11.08	asmat	माम्	mām		2n.1	sn.						t				m	m ś → ṃ ś		me	Меня
11.08	√śak	शक्यसे	śakyase		2v.1	Praes. A			√śak										you are able to	можешь
11.08	√dṛś	द्रष्टुम्	draṣṭum			inf.			√dṛś										to see	увидеть
11.08	idam	अनेन​	anena		3n.1 n.	sn.						m	n			v6	a e → ai		by this	этим
11.08	eva	एव​	eva			av.													certainly, just, merely	безусловно
11.08	sva-cakṣuḥ	स्वचक्षुषा	sva-cakṣuṣā		3n.1 n.				√cakṣ			ḥ	n						with the own eyes	своим зрением
11.08	divya	दिव्यम्	divyam		2n.1 n.				√div			a	n			m	m d → ṃ d	divyaṃ dadāmi te cakṣuḥ paśya me yogam aiśvaram	divine	божественное
11.08	√dā	ददामि	dadāmi		3v.1	Praes. P			√dā										I give	даю
11.08	yuṣmat	ते	te		4n.1	sn.						t							to you	тебе
11.08	cakṣuḥ	चक्षुः	cakṣuḥ		2n.1 n.				√cakṣ			ḥ	n						sight, look, eye	зрение
11.08	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś										you must see	узри
11.08	asmat	मे	me		6n.1	sn.						t							my	Мое
11.08	yoga	योगम्	yogam		2n.1 m.				√yuj			a	m						yoga, yoking, application, a means, one of the schools of Hindu philosophy	мистическое могущество.
11.08	aiśvara	ऐश्वरम्	aiśvaram		2n.1 m.				√xīś			a	m						majesty, supremacy, might	непостижимое
11.09	sam-jaya	सञ्जयः	saṁjayaḥ		1n.1 m.				√ji			a	m			h1	ḥ u → Ø u	saṃjaya uvāca	conquest, complete victory, Saṁjaya	Санджая
11.09	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
11.09	evam	एवम्	evam			av.												evam uktvā tato rājan mahā-yogeśvaro hariḥ	thus	так
11.09	√vac	उक्त्वा	uktvā			absol.			√vac										after speaking	произнеся
11.09	tataḥ	ततः	tataḥ			av.										h3	aḥ r → o r		then, after that, from that, for that reason	затем
11.09	rājan	राजन्	rājan		8n.1 m.				√raj			an	m						O king!	о царь
11.09	mahā-yoga-īśvara	महायोगेश्वरः	mahā-yogeśvaraḥ		1n.1 m.				√mah			a	m	TP		h3	aḥ h → o h		the master of great yoga	самый могущественный мистик
11.09	hari	हरिः	hariḥ		1n.1 m.				√hṛ			i	m						bearing	Верховная Личность Бога, Кришна
11.09	√dṛś	दर्शयामास​	darśayāmāsa		1v.1	caus. Perf. (periphrastic) P			√dṛś									darśayāmāsa pārthāya paramaṃ rūpam aiśvaram	he showed	показал
11.09	pārtha	पार्थाय​	pārthāya		4n.1 m.				√pṛth			a	m						to the son of Pṛthā	Арджуне
11.09	parama	परमम्	paramam		2n.1 n.							a	n			m	m r → ṃ r		supreme, the highest	божественную
11.09	rūpa	रूपम्	rūpam		2n.1 n.				√rūp			a	n						shape, figure, beauty	форму.
11.09	aiśvara	ऐश्वरम्	aiśvaram		2n.1 n.				√xīś			a	n						majesty, supremacy, might	вселенскую
11.10	aneka-vaktra-nayana	अनेकवक्त्रनयनम्	aneka-vaktra-nayanam		2n.1 n.				√vac			a	n	DV/BV				aneka-vaktra-nayanam anekādbhuta-darśanam	in which are many mouths and eyes	разнообразные-рты-ту, у которой глаза
11.10	aneka-adbhuta-darśana	अनेकाद्भुतदर्शनम्	anekādbhuta-darśanam		2n.1 n.				√dṛś			a	n	BV					in which are many wonderful visions	разнообразные-рты-ту, у которой глаза-удивительные-черты
11.10	aneka-divya-ābharaṇa	अनेकदिव्याभरणम्	aneka-divyābharaṇam		2n.1 n.				√div			a	n	BV		m	m d → ṃ d	aneka-divyābharaṇaṃ divyānekodyatāyudham	in which are  many divine ornaments	многие-божественные-ту, на которой украшения
11.10	divya-aneka-udyata-āyudha	दिव्यानेकोद्यतायुधम्	divyānekodyatāyudham		2n.1 n.				√div			a	n	BV					in which are many divine upraised weapons	божественное-разнообразное-занесенное-(держащую) оружие
11.11	divya-mālya-ambara-dhara	दिव्यमाल्याम्बरधरम्	divya-mālyāmbara-dharam		2n.1 n.				√div			a	n			m	m d → ṃ d	divya-mālyāmbara-dharaṃ divya-gandhānulepanam	which wears divine garlands and garments	божественные-гирлянды-одежды-носящую
11.11	divya-gandha-anulepana	दिव्यगन्धानुलेपनम्	divya-gandhānulepanam		2n.1 n.				√div			a	n	BV					whose ointment is of divine fragrance	божественными-благовониями-умащенную
11.11	sarva-āścarya-maya	सर्वाश्चर्यमयम्	sarvāścarya-mayam		2n.1 n.				√car			a	n			m	m d → ṃ d	sarvāścarya-mayaṃ devam anantaṃ viśvato-mukham	which is made of all wonders	всего-(исполненную) чудесного
11.11	deva	देवम्	devam		2n.1 m.				√div			a	m						god, divinity	ослепительную
11.11	an-anta	अनन्तम्	anantam		2n.1 n.							a	n			m	m v → ṃ v		without end, endless	безграничную
11.11	viśvato-mukha	विश्वतोमुखम्	viśvato-mukham		2n.1 n.				√viś			a	n	BV					which is made of all wonders	всеохватывающую.
11.12	div	दिवि	divi		7n.1 f.				√div			v	f					divi sūrya-sahasrasya bhaved yuga-pad utthitā	in heaven	на небе
11.12	sūrya-sahasra	सूर्यसहस्रस्य​	sūrya-sahasrasya		6i.x1 n.							a	n	TP					of a thousand of suns	солнц-многих тысяч
11.12	√bhū	भवेत्	bhavet		1v.1	Pot. A			√bhū							t1	t y → d y		it would be	был бы
11.12	yuga-pat	युगपत्	yuga-pat			av.			√yuj							t1	t u → d u		being in the same yoke	одновременно
11.12	utthitā	उत्थिता	utthitā		1n.1 f.	PP			√sthā			ā	f						risen	возникший
11.12	yadi	यदि	yadi			av.												yadi bhāḥ sadṛśī sā syād bhāsas tasya mahātmanaḥ	if	если
11.12	bhās	भाः	bhāḥ		1n.1 f.				√bhās			s	f						effulgence, light, majesty	свет
11.12	sa-dṛśī	सदृशी	sadṛśī		1n.1 f.				√dṛś			ī	f						similar, resembling	подобный
11.12	tat	सा	sā		1n.1 f.	sn.						t	f						this	этот
11.12	√as	स्यात्	syāt		1v.1	Pot. P			√as							t1	t b → d b		it would be	было бы
11.12	bhās	भासः	bhāsaḥ		6n.1 f.				√bhās			s	f			h5	ḥ t → s t		of effulgence, light, majesty	сияния
11.12	tat	तस्य​	tasya		6n.1 m.	sn.						t	m						of that	Его
11.12	mahā-ātman	महात्मनः	mahātmanaḥ		6n.1 m.				√mah			an	m	BV					of one whose self is great	великого Господа.
11.13	tatra	तत्र​	tatra			av.						a				v6	a e → ai	tatraika-sthaṃ jagat kṛtsnaṃ pravibhaktam aneka-dhā	there	там
11.13	eka-stha	एकस्थम्	eka-stham		2n.1 n.				√sthā			a	n			m	m j → ṃ j		which is situated in one place	находящуюся в одном месте
11.13	jagat	जगत्	jagat		2n.1 n.				√gam			t	n						world, moving, mankind	вселенную
11.13	kṛtsna	कृत्स्नम्	kṛtsnam		2n.1 n.							a	n			m	m p → ṃ p		whole	полностью
11.13	pra-vi-bhakta	प्रविभक्तम्	pravibhaktam		2n.1 n.	PP			√bhāj			a	n						divided, separated	разделенную
11.13	aneka-dhā	अनेकधा	aneka-dhā			av.						ā							in many ways, in various ways	на множество частей
11.13	√dṛś	अपश्यत्	apaśyat		1v.1	Imperf. P			√dṛś							t1	t d → d d	apaśyad deva-devasya śarīre pāṇḍavas tadā	he saw	увидел
11.13	deva-deva	देवदेवस्य​	deva-devasya		6n.1 m.				√div			a	m	TP					of the god of gods	Верховной Личности Бога
11.13	śarīra	शरीरे	śarīre		7n.1 n.				√śri			a	n						in the body	во вселенской форме
11.13	pāṇḍava	पाण्डवः	pāṇḍavaḥ		1n.1 m.							a	m			h5	ḥ t → s t		son of Pāṇḍu	Арджуна
11.13	tadā	तदा	tadā			av.						ā							at that time, then	тогда.
11.14	tataḥ	ततः	tataḥ			av.												tataḥ sa vismayāviṣṭo hṛṣṭa-romā dhanaṃjayaḥ	then, after that, from that, for that reason	затем
11.14	tat	सः	saḥ		1n.1 m.	sn.						t	m			h1	ḥ v → Ø v		he	он
11.14	vismaya-āviṣṭa	विस्मयाविष्टः	vismayāviṣṭaḥ		1n.1 m.				√smi			a	m	TP		h3	aḥ h → o h		filled with wonder	охваченный изумлением
11.14	hṛṣṭa-roman	हृष्टरोमा	hṛṣṭa-romā		1n.1 m.				√hṛṣ			an	m	BV					whose hairs stand on end	тот, у которого от великого экстаза волосы на теле поднялись
11.14	dhanaṁ-jaya	धनञ्जयः	dhanaṁjayaḥ		1n.1 m.				√ji			a	m						winner of wealth, Dhanaṁjaya	Арджуна
11.14	pra-√nam	प्रणम्य​	praṇamya			absol.			√nam									praṇamya śirasā devaṃ kṛtāñjalir abhāṣata	after bowing	склонившись
11.14	śiras	शिरसा	śirasā		3n.1 n.							s	n						with the head	головой
11.14	deva	देवम्	devam		2n.1 n.				√div			a	n			m	m k → ṃ k		god, divinity	Верховной Личности Бога
11.14	kṛta-añjali	कृताञ्जलिः	kṛtāñjaliḥ		1n.1 m.				√kṛ			i	m	BV		h4	ḥ a → r a		who did folded hands	сложивший ладони
11.14	√bhāṣ	अभाषत​	abhāṣata		1v.1	Imperf. A			√bhāṣ										he spoke	заговорил.
11.15	arjuna	अर्जुनः	arjunaḥ		1n.1 m.							a	m			h1	ḥ u → Ø u	arjuna uvāca	white, clear, Arjuna	Арджуна
11.15	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
11.15	√dṛś	पश्यामि	paśyāmi		3v.1	Praes. P			√dṛś									paśyāmi devāṃs tava deva dehe	I see	вижу
11.15	deva	देवान्	devān		2n.3 m.				√div			a	m			n3	n t → ṃs t		the gods, divinities	(всех) полубогов
11.15	yuṣmat	तव​	tava		6n.1	sn.						t							your	в Твоем
11.15	deva	देव​	deva		8n.1 n.				√div			a	n						O God! O Divinity!	о Господь
11.15	deha	देहे	dehe		7n.1 m.				√dih			a	m						in the body	теле
11.15	sarva	सर्वान्	sarvān		2n.3 n.	sn.						a	n			n3	n t → ṃs t	sarvāṃs tathā bhūta-viśeṣa-saṃghān	all	всех
11.15	tathā	तथा	tathā			av.													in that manner, so, in like manner	затем
11.15	bhūta-viśeṣa-saṁgha	भूतविशेषसञ्घान्	bhūta-viśeṣa-saṁghān		2n.3 n.				√bhū			a	n	TP					hosts of various beings	живых существ-собравшихся видов
11.15	brahman	ब्रह्माणम्	brahmāṇam		2n.1 m.				√bṛh			an	m					brahmāṇam īśaṃ kamalāsana-stham	Brahmā	Господа Брахму
11.15	īśa	ईशम्	īśam		2n.1 m.				√xīś			a	m			m	m k → ṃ k		ruler, lord	Господа Шиву
11.15	kamala-āsana-stha	कमलासनस्थम्	kamalāsana-stham		2n.1 m.				√ās			a	m						who is situated on a lotus seat	восседающего на цветке лотоса
11.15	ṛṣi	ऋषीन्	ṛṣīn		2n.3 m.							i	m			n3	n с → ṃś с	ṛṣīṃś ca sarvān uragāṃś ca divyān	sages, seers	великих мудрецов
11.15	ca	च​	ca			av.													and	также
11.15	sarva	सर्वान्	sarvān		2n.3 m.	sn.						a	m						all	всех
11.15	uraga	उरगान्	uragān		2n.3 m.				√gam			a	m			n3	n с → ṃś с		moving on chest, serpents	змеев
11.15	ca	च​	ca			av.													and	также
