attested_form	dcs_lemma	dcs_upos	verdict	cell	cell_occ	generator_has	evidence_count	target_locus
punarvasuvoḥ	punarvasu	NOUN	slot-conflict	m.loc.du	2	punarvasvoḥ	3	dcs:343551
purātanām	purātana	ADJ	coverage-hole	f.acc.sg	3		3	dcs:540405
pāpāsaḥ	pāpa	ADJ	slot-conflict	m.nom.pl	2	pāpāḥ	3	dcs:598049
pūrvyāsaḥ	pūrvya	ADJ	slot-conflict	m.nom.pl	2	pūrvyāḥ	3	dcs:592604
rajassu	rajas	NOUN	slot-conflict	n.loc.pl	2	rajaḥsu	3	dcs:602667_2
rathyāsaḥ	rathya	ADJ	slot-conflict	m.nom.pl	2	rathyāḥ	3	dcs:601216
rayiṣāh	rayiṣah	ADJ	slot-conflict	m.nom.sg	2	rayiṣaṭ	3	dcs:593110_1
raṅgamātrī	raṅgamātṛ	NOUN	slot-conflict	f.nom.sg	3	raṅgamātā	3	dcs:438599
romsu	roman	NOUN	slot-conflict	n.loc.pl	2	romasu	3	dcs:38082
rājabadarāyāḥ	rājabadara	NOUN	coverage-hole	f.gen.sg	2		3	dcs:100981
rūpebhiḥ	rūpa	NOUN	slot-conflict	n.instr.pl	1	rūpaiḥ	3	dcs:599783
sadhryañcaḥ	sadhryañc	ADJ	coverage-hole	m.nom.pl	2		3	dcs:598033
sakthnoḥ	sakthi	NOUN	slot-conflict	n.gen.du	1	sakthinoḥ	3	dcs:27299
sakthyāḥ	sakthi	NOUN	coverage-hole	f.gen.sg	1		3	dcs:7871
samasmai	sama	PRON	slot-conflict	m.dat.sg	2	samāya	3	dcs:551344
samāvañśaḥ	samāvacchas	ADV	indeclinable		2		3	dcs:678975
saptamāyām	saptama	ADJ	coverage-hole	f.loc.sg	3		3	dcs:523013
sarasvas	sarasvat	ADJ	slot-conflict	m.voc.sg	2	sarasvan	3	dcs:746323
sarvebhiḥ	sarva	NOUN	slot-conflict	n.instr.pl	3	sarvaiḥ	3	dcs:704742
satveṣu	sattva	NOUN	slot-conflict	n.loc.pl	2	sattveṣu	3	dcs:642319
satyebhiḥ	satya	ADJ	slot-conflict	m.instr.pl	2	satyaiḥ	3	dcs:603256
saṃbhoge	sambhoga	NOUN	slot-conflict	m.loc.sg	2	sambhoge	3	dcs:755809
saṃbhojanī	sambhojanī	NOUN	slot-conflict	f.nom.sg	2	sambhojanī	3	dcs:311545
saṃbhūtau	sambhūti	NOUN	slot-conflict	f.loc.sg	2	sambhūtau sambhūtyām	3	dcs:509457
saṃmardam	sammarda	NOUN	slot-conflict	m.acc.sg	1	sammardam	3	dcs:766492
saṃmiślā	sammiśla	ADJ	slot-conflict	m.nom.sg	1	sammiślaḥ	3	dcs:684838
saṃmukheṣu	sammukha	ADJ	slot-conflict	m.loc.pl	2	sammukheṣu	3	dcs:698838
saṃmārjane	sammārjana	NOUN	slot-conflict	n.acc.du	1	sammārjane	3	dcs:749835
saṃparkāḥ	samparka	NOUN	slot-conflict	m.nom.pl	2	samparkāḥ	3	dcs:528452
saṃpattim	sampatti	NOUN	slot-conflict	f.acc.sg	2	sampattim	3	dcs:488955
saṃpattyā	sampatti	NOUN	slot-conflict	f.instr.sg	2	sampattyā	3	dcs:269697
saṃplavāt	samplava	NOUN	slot-conflict	m.abl.sg	2	samplavāt	3	dcs:539202
saṃprativid	samprativid	ADJ	slot-conflict	m.nom.sg	3	samprativit	3	dcs:749101
saṃpratividaḥ	samprativid	ADJ	slot-conflict	m.nom.pl	2	sampratividaḥ	3	dcs:628648
saṃpātinau	sampātin	ADJ	slot-conflict	m.nom.du	2	sampātinau	3	dcs:649661
saṃpātāḥ	sampāta	NOUN	coverage-hole	f.acc.pl	1		3	dcs:70895
skambhanīḥ	skambhana	ADJ	coverage-hole	f.nom.sg	3		3	dcs:714774
snāv	snāvan	NOUN	slot-conflict	n.acc.sg	2	snāva	3	dcs:33391
somasām	somasāman	NOUN	slot-conflict	n.nom.sg	1	somasāma	3	dcs:566146
sphāyaḥ	sphāy	NOUN	lexicon-gap	m.gen.sg	2		3	dcs:554018
stenāsaḥ	stena	NOUN	slot-conflict	m.nom.pl	3	stenāḥ	3	dcs:646465
sthavirebhiḥ	sthavira	ADJ	slot-conflict	m.instr.pl	2	sthaviraiḥ	3	dcs:600543
stheyasam	stheyas	ADJ	coverage-hole	f.acc.sg	2		3	dcs:359107
sucakṣūḥ	sucakṣus	NOUN	slot-conflict	m.nom.sg	2	sucakṣuḥ	3	dcs:455981
suvidatrebhiḥ	suvidatra	ADJ	slot-conflict	m.instr.pl	2	suvidatraiḥ	3	dcs:641668
svānāsaḥ	svāna	NOUN	slot-conflict	m.nom.pl	2	svānāḥ	3	dcs:599117
syando	syanda	NOUN	slot-conflict	m.nom.sg	1	syandaḥ	3	dcs:43190
syandrāsaḥ	syandra	ADJ	slot-conflict	m.nom.pl	2	syandrāḥ	3	dcs:599944
sālveya	śālveya	NOUN	compound-member		1		3	dcs:552975
sāmbhyaḥ	sāman	NOUN	slot-conflict	n.abl.pl	2	sāmabhyaḥ	3	dcs:472753
sāyantanām	sāyantana	ADJ	coverage-hole	f.acc.sg	3		3	dcs:91433
tanīyāḥ	tanīyas	ADJ	coverage-hole	m.nom.sg	2		3	dcs:462323
taruṇāyāḥ	taruṇa	ADJ	coverage-hole	f.gen.sg	2		3	dcs:5797
thāma	sthāman	NOUN	slot-conflict	n.acc.sg	1	sthāma	3	dcs:649958
turvaśo	turvasu	NOUN	slot-conflict	m.voc.sg	2	turvaso	3	dcs:166725
tvāyantaḥ	tvāyat	ADJ	slot-conflict	m.nom.pl	2	tvāyataḥ	3	dcs:602354
udarataḥ	udara	NOUN	slot-conflict	n.abl.sg	2	udarāt	3	dcs:499199
udayanataḥ	udayana	NOUN	slot-conflict	n.abl.sg	1	udayanāt	3	dcs:70229
unmīlanī	unmīlana	ADJ	coverage-hole	f.nom.sg	2		3	dcs:506252
upabhogataḥ	upabhoga	NOUN	slot-conflict	m.abl.sg	2	upabhogāt	3	dcs:539730
vahiṣṭhebhiḥ	vahiṣṭha	ADJ	slot-conflict	m.instr.pl	2	vahiṣṭhaiḥ	3	dcs:694516_1
vahnīr	vahni	NOUN	slot-conflict	m.nom.pl	1	vahnayaḥ	3	dcs:700078
varebhiḥ	vara	NOUN	slot-conflict	m.instr.pl	2	varaiḥ	3	dcs:436038
vasīyāḥ	vasīyas	ADJ	coverage-hole	m.nom.sg	2		3	dcs:565799_5
vaḍavānāṃ	vaḍabā	NOUN	slot-conflict	f.gen.pl	2	vaḍabānām	3	dcs:630025
vibhiṣ	vi	NOUN	slot-conflict	m.instr.pl	2	vibhiḥ	3	dcs:592851
vidvaḥsu	vidvas	ADJ	coverage-hole	m.loc.pl	3		3	dcs:357936
vidvobhyaḥ	vidvas	ADJ	coverage-hole	m.dat.pl	3		3	dcs:364441
virūpāsa	virūpa	NOUN	slot-conflict	m.nom.pl	1	virūpāḥ	3	dcs:610576
viśasanām	viśasana	ADJ	coverage-hole	f.acc.sg	3		3	dcs:234219
viśvadevebhiḥ	viśvadeva	NOUN	slot-conflict	m.instr.pl	2	viśvadevaiḥ	3	dcs:637152_1
vrātāsaḥ	vrāta	NOUN	slot-conflict	m.nom.pl	2	vrātāḥ	3	dcs:593578
vyatirekataḥ	vyatireka	NOUN	slot-conflict	m.abl.sg	2	vyatirekāt	3	dcs:92172
vyāghrapurāyām	vyāghrapura	NOUN	coverage-hole	f.loc.sg	2		3	dcs:110064
vākyān	vākya	NOUN	coverage-hole	m.acc.pl	1		3	dcs:521032
vārdhakaṃ	vārddhaka	NOUN	slot-conflict	n.nom.sg	1	vārddhakam	3	dcs:590575
vārdhuṣiḥ	vārddhuṣi	NOUN	slot-conflict	m.nom.sg	2	vārddhuṣiḥ	3	dcs:76827
vārdhuṣī	vārddhuṣin	NOUN	slot-conflict	m.nom.sg	1	vārddhuṣī	3	dcs:312767
vārāhām	vārāha	ADJ	coverage-hole	f.acc.sg	3		3	dcs:39415
vāyavayā	vāyava	ADJ	coverage-hole	f.instr.sg	2		3	dcs:540827
vṛkāsaḥ	vṛka	NOUN	slot-conflict	m.nom.pl	2	vṛkāḥ	3	dcs:435435
vṛṣṇiyāvataḥ	vṛṣṇyāvat	ADJ	slot-conflict	m.gen.sg	2	vṛṣṇyāvataḥ	3	dcs:672371
yajamānāsaḥ	yajamāna	NOUN	slot-conflict	m.nom.pl	3	yajamānāḥ	3	dcs:596165
yajñiyebhiḥ	yajñiya	ADJ	slot-conflict	m.instr.pl	2	yajñiyaiḥ	3	dcs:609517_1
yakṣmāsaḥ	yakṣma	NOUN	slot-conflict	m.nom.pl	2	yakṣmāḥ	3	dcs:649532
yogamātrī	yogamātṛ	NOUN	slot-conflict	f.nom.sg	3	yogamātā	3	dcs:451735
yāmāsaḥ	yāma	NOUN	slot-conflict	m.nom.pl	2	yāmāḥ	3	dcs:599145
ādarata	ādara	NOUN	slot-conflict	m.abl.sg	1	ādarāt	3	dcs:449071
āmayataḥ	āmaya	NOUN	slot-conflict	m.abl.sg	2	āmayāt	3	dcs:687119_1
āmitrām	āmitra	ADJ	coverage-hole	f.acc.sg	2		3	dcs:182943
ārambhaṇataḥ	ārambhaṇa	NOUN	slot-conflict	n.abl.sg	3	ārambhaṇāt	3	dcs:650879
ārtteḥ	ārti	NOUN	slot-conflict	f.abl.sg	2	ārteḥ ārtyāḥ	3	dcs:491380
āryakṛtī	āryakṛta	ADJ	coverage-hole	f.nom.sg	2		3	dcs:677807
āsthāpanā	āsthāpana	ADJ	coverage-hole	f.nom.sg	2		3	dcs:155052
āsthāpanī	āsthāpana	ADJ	coverage-hole	f.nom.sg	2		3	dcs:155052
āyasayā	āyasa	ADJ	coverage-hole	f.instr.sg	2		3	dcs:546807
āyasāsu	āyasa	ADJ	coverage-hole	f.loc.pl	2		3	dcs:67257
āśābhyas	āśā	NOUN	slot-conflict	f.abl.pl	2	āśābhyaḥ	3	dcs:638599
īdṛśābhiḥ	īdṛśa	ADJ	coverage-hole	f.instr.pl	3		3	dcs:90659
śaivāyām	śaiva	ADJ	coverage-hole	f.loc.sg	2		3	dcs:535366
śaṃnodevīyābhiḥ	śaṃnodevīya	ADJ	coverage-hole	f.instr.pl	3		3	dcs:741825
śleṣmataḥ	śleṣman	NOUN	slot-conflict	m.abl.sg	2	śleṣmaṇaḥ	3	dcs:645853
śrotrataḥ	śrotra	NOUN	slot-conflict	n.abl.sg	2	śrotrāt	3	dcs:645853
śrutataḥ	śrutatas	ADV	coverage-hole	n.abl.sg	1		3	dcs:103721
śrutaśravāyāṃ	śrutaśravas	NOUN	slot-conflict	f.loc.sg	1	śrutaśravasi	3	dcs:760477
śubhrebhiḥ	śubhra	ADJ	slot-conflict	m.instr.pl	2	śubhraiḥ	3	dcs:607379
śucidan	śucidat	ADJ	slot-conflict	m.nom.sg	2	śucidat	3	dcs:599224
śārīrām	śārīra	ADJ	coverage-hole	f.acc.sg	2		3	dcs:488433
śāṃkarām	śāṃkara	ADJ	coverage-hole	f.acc.sg	3		3	dcs:408657
śūrāsaḥ	śūra	NOUN	slot-conflict	m.nom.pl	3	śūrāḥ	3	dcs:641487
ūrdhvāsaḥ	ūrdhva	ADJ	slot-conflict	m.nom.pl	3	ūrdhvāḥ	3	dcs:602563
ṛtīṣāham	ṛtīṣah	ADJ	slot-conflict	m.acc.sg	2	ṛtīṣaham	3	dcs:566152
ṣaḍarcān	ṣaḍarca	ADJ	coverage-hole	m.acc.pl	2		3	dcs:688034
ṣaṣṭhāyām	ṣaṣṭha	ADJ	coverage-hole	f.loc.sg	3		3	dcs:523011
abdimāṁ	abdimat	ADJ	slot-conflict	m.nom.sg	1	abdimān	2	dcs:599757
abhidhānakāḥ	abhidhānaka	NOUN	coverage-hole	m.nom.pl	1		2	dcs:24422
abhidipsvaḥ	abhidipsu	ADJ	slot-conflict	f.acc.pl	1	abhidipsūḥ	2	dcs:596260_1
abhijanataḥ	abhijana	NOUN	slot-conflict	m.abl.sg	1	abhijanāt	2	dcs:768906
abhijanāni	abhijana	NOUN	coverage-hole	n.acc.pl	1		2	dcs:139736
abhikāṅkṣam	abhikāṅkṣā	NOUN	coverage-hole	m.acc.sg	1		2	dcs:11224
abhimarśanī	abhimarśana	ADJ	coverage-hole	f.nom.sg	1		2	dcs:742684
abhinayām	abhinaya	NOUN	coverage-hole	f.acc.sg	1		2	dcs:617080
abhinirvṛttitaḥ	abhinirvṛtti	NOUN	slot-conflict	f.abl.sg	1	abhinirvṛtteḥ abhinirvṛttyāḥ	2	dcs:643718
abhiprāyām	abhiprāya	NOUN	coverage-hole	f.acc.sg	1		2	dcs:449501
abhiroddhāra	abhiroddhṛ	ADJ	coverage-hole	m.nom.pl	1		2	dcs:680818
abhisaṃbodhanāya	abhisambodhana	NOUN	slot-conflict	n.dat.sg	1	abhisambodhanāya	2	dcs:723351
abhisaṃdham	abhisaṃdhā	NOUN	coverage-hole	m.acc.sg	1		2	dcs:63143
abhisaṃdhānāḥ	abhisaṃdhāna	NOUN	coverage-hole	m.nom.pl	1		2	dcs:283641
abhisaṃmukhaṃ	abhisammukha	ADJ	slot-conflict	n.acc.sg	1	abhisammukham	2	dcs:724665
abhisaṃparāyaḥ	abhisamparāya	NOUN	slot-conflict	m.nom.sg	2	abhisamparāyaḥ	2	dcs:667637
abhivandanau	abhivandana	NOUN	coverage-hole	m.nom.du	1		2	dcs:123222
abhivandanām	abhivandana	NOUN	coverage-hole	f.acc.sg	1		2	dcs:619449
abhivandanāḥ	abhivandana	NOUN	coverage-hole	m.nom.pl	1		2	dcs:325469
abhivardhanau	abhivardhana	NOUN	coverage-hole	m.nom.du	1		2	dcs:67781
abhivardhanāḥ	abhivardhana	NOUN	coverage-hole	m.nom.pl	1		2	dcs:61025
abhivardhanī	abhivardhana	ADJ	coverage-hole	f.nom.sg	1		2	dcs:766734
abhivādanā	abhivādana	NOUN	coverage-hole	f.nom.sg	1		2	dcs:179071
abhiyācanayā	abhiyācana	NOUN	coverage-hole	f.instr.sg	1		2	dcs:656063
abhiśaṅkam	abhiśaṅkā	NOUN	coverage-hole	n.acc.sg	1		2	dcs:534059
abhiśaṅkaḥ	abhiśaṅkā	NOUN	coverage-hole	m.nom.sg	1		2	dcs:488804
abhiṣavaṇīḥ	abhiṣavaṇa	ADJ	coverage-hole	f.nom.pl	1		2	dcs:638052
abhiṣeṇāṁ	abhiṣeṇa	NOUN	slot-conflict	m.acc.pl	1	abhiṣeṇān	2	dcs:601311
abhrām	abhra	NOUN	coverage-hole	f.acc.sg	1		2	dcs:114653
abhyanujñau	abhyanujñā	NOUN	coverage-hole	m.nom.du	1		2	dcs:478446
abhyanujñānā	abhyanujñāna	NOUN	coverage-hole	f.nom.sg	1		2	dcs:524010
abhyasūyaḥ	abhyasūyā	NOUN	coverage-hole	m.nom.sg	1		2	dcs:387017
abhyañjanā	abhyañjana	NOUN	coverage-hole	f.nom.sg	1		2	dcs:39903
abhyudgatinā	abhyudgati	NOUN	coverage-hole	m.instr.sg	1		2	dcs:487722
abhyāsām	abhyāsa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:441169
abhīśūṃr	abhīśu	NOUN	slot-conflict	m.acc.pl	1	abhīśūn	2	dcs:606187
abālām	abāla	ADJ	coverage-hole	f.acc.sg	1		2	dcs:102626
achidrāṃ	acchidra	ADJ	coverage-hole	f.acc.sg	1		2	dcs:757170
achā	acchā	ADP	indeclinable		1		2	dcs:646354_1
achāvākānām	acchāvāka	NOUN	slot-conflict	m.gen.pl	1	acchāvākānām	2	dcs:698721
achāvākīyā	acchāvākīyā	NOUN	slot-conflict	f.nom.sg	1	acchāvākīyā	2	dcs:650883
acoḥ	ac	NOUN	lexicon-gap	m.gen.du	1		2	dcs:551546
adanāḥ	adana	NOUN	coverage-hole	m.nom.pl	1		2	dcs:642750
adhamasmin	adhama	ADJ	slot-conflict	n.loc.sg	1	adhame	2	dcs:646654_1
adhasaḥ	adhas	NOUN	coverage-hole	m.gen.sg	1		2	dcs:555177
adhibhojanā	adhibhojana	NOUN	slot-conflict	n.acc.pl	1	adhibhojanāni	2	dcs:601464
adhicaraṇā	adhicaraṇa	NOUN	coverage-hole	f.nom.sg	1		2	dcs:741331
adhikāravatīṣu	adhikāravat	ADJ	coverage-hole	f.loc.pl	1		2	dcs:45583
adhikārāyām	adhikāra	NOUN	coverage-hole	f.loc.sg	1		2	dcs:45889
adhipatyā	adhipati	NOUN	slot-conflict	m.instr.sg	1	adhipatinā	2	dcs:661905
adhisthānam	adhiṣṭhāna	NOUN	slot-conflict	n.nom.sg	1	adhiṣṭhānam	2	dcs:666783
adhivāsām	adhivāsa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:436167
adhiṣṭhātri	adhiṣṭhātṛ	NOUN	slot-conflict	m.loc.sg	1	adhiṣṭhātari	2	dcs:84832
adhiṣṭhātrībhiḥ	adhiṣṭhātṛ	ADJ	slot-conflict	f.instr.pl	1	adhiṣṭhātṛbhiḥ	2	dcs:630190
adhvaryutaḥ	adhvaryu	NOUN	slot-conflict	m.abl.sg	1	adhvaryoḥ	2	dcs:672760
adhvarāsaḥ	adhvara	NOUN	slot-conflict	m.nom.pl	1	adhvarāḥ	2	dcs:598869_1
adhyayanāḥ	adhyayana	NOUN	coverage-hole	m.nom.pl	1		2	dcs:289137
adhīvāsām	adhīvāsa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:673631
adobhyaḥ	adas	PRON	coverage-hole	m.abl.pl	1		2	dcs:388716
adogdhā	adogdhṛ	ADJ	coverage-hole	m.nom.sg	1		2	dcs:92354
adriyoḥ	adri	NOUN	slot-conflict	m.gen.du	1	adryoḥ	2	dcs:573381
adriṣutāsa	adriṣuta	ADJ	slot-conflict	m.nom.pl	1	adriṣutāḥ	2	dcs:594825
adruhvāṇā	adruhvan	ADJ	slot-conflict	m.voc.du	1	adruhvāṇau	2	dcs:600276
advayantam	advayat	ADJ	slot-conflict	m.acc.sg	1	advayatam	2	dcs:597155
adṛṣṭataḥ	adṛṣṭa	NOUN	slot-conflict	n.abl.sg	1	adṛṣṭāt	2	dcs:95806
aghniyām	aghnyā	NOUN	slot-conflict	f.acc.sg	1	aghnyām	2	dcs:692656
agnicityeṣu	agnicityā	NOUN	coverage-hole	m.loc.pl	1		2	dcs:696685
agnimāṁ	agnimat	ADJ	slot-conflict	m.nom.sg	1	agnimān	2	dcs:637379
agnivāṁ	agnivat	ADJ	slot-conflict	m.nom.sg	1	agnivān	2	dcs:603642_1
agniśarma	agniśarman	NOUN	compound-member		1		2	dcs:623666
agnyā	agni	NOUN	slot-conflict	m.instr.sg	1	agninā	2	dcs:695861
agruvāḥ	agrū	NOUN	slot-conflict	f.gen.sg	1	agrvāḥ	2	dcs:649887
agrādvānā	agrādvan	ADJ	slot-conflict	m.nom.du	1	agrādvānau	2	dcs:601956
agvi	agu	NOUN	slot-conflict	f.voc.sg	1	ago	2	dcs:94642
ahaitukām	ahaituka	ADJ	coverage-hole	f.acc.sg	1		2	dcs:87676
ahastāsaḥ	ahasta	ADJ	slot-conflict	m.nom.pl	1	ahastāḥ	2	dcs:609992_3
ahaṃkārāṇi	ahaṃkāra	NOUN	coverage-hole	n.nom.pl	1		2	dcs:480472
ahaṃprathamikā	ahamprathamikā	NOUN	compound-member		1		2	dcs:616212
ahetutaḥ	ahetu	NOUN	slot-conflict	m.abl.sg	1	ahetoḥ	2	dcs:632141
ahām	aha	NOUN	coverage-hole	f.acc.sg	1		2	dcs:81227
aidhā	aidha	NOUN	slot-conflict	n.instr.sg	1	aidhena	2	dcs:595357
aindrajālāḥ	aindrajāla	ADJ	coverage-hole	m.nom.pl	1		2	dcs:447920
aindrāvaruṇīm	aindrāvaruṇa	ADJ	coverage-hole	f.acc.sg	1		2	dcs:696045
aiṅgudābhiḥ	aiṅguda	ADJ	coverage-hole	f.instr.pl	2		2	dcs:62261
aiṣīkīm	aiṣīka	ADJ	coverage-hole	f.acc.sg	1		2	dcs:698625
ajagallikān	ajagallikā	NOUN	coverage-hole	m.acc.pl	1		2	dcs:40302
ajagarāṇi	ajagara	NOUN	coverage-hole	n.nom.pl	1		2	dcs:283057
ajamodebhiḥ	ajamodā	NOUN	coverage-hole	n.instr.pl	1		2	dcs:15735
ajanāsaḥ	ajana	ADJ	slot-conflict	m.nom.pl	1	ajanāḥ	2	dcs:602634_1
ajinām	ajina	NOUN	coverage-hole	f.acc.sg	1		2	dcs:620079
ajyānīṃ	ajyāni	NOUN	slot-conflict	f.acc.sg	1	ajyānim	2	dcs:755692
ajāvikāyai	ajāvika	NOUN	coverage-hole	f.dat.sg	1		2	dcs:696172
akaraṇā	akaraṇa	ADJ	coverage-hole	f.nom.sg	1		2	dcs:44224
akarmiṇaḥ	akarman	ADJ	slot-conflict	m.acc.pl	1	akarmaṇaḥ	2	dcs:519373
akau	aka	NOUN	coverage-hole	m.nom.du	1		2	dcs:554733
akhilātma	akhilātman	NOUN	compound-member		1		2	dcs:452905
akudhryak	akudhryañc	ADJ	coverage-hole	n.acc.sg	1		2	dcs:609726_1
akṣamālam	akṣamālā	NOUN	coverage-hole	n.nom.sg	1		2	dcs:560863
akṣamālaḥ	akṣamālā	NOUN	coverage-hole	m.nom.sg	1		2	dcs:629848
akṣasūtrāḥ	akṣasūtra	NOUN	coverage-hole	m.nom.pl	1		2	dcs:485784
akṣim	akṣi	NOUN	coverage-hole	m.acc.sg	1		2	dcs:513931
akṣāvapasya	akṣāvāpa	NOUN	slot-conflict	m.gen.sg	1	akṣāvāpasya	2	dcs:736116
akṣāyām	akṣa	ADJ	coverage-hole	f.loc.sg	1		2	dcs:573700
akṣṇau	akṣṇa	ADJ	coverage-hole	m.acc.du	1		2	dcs:468887_1
alaukikayā	alaukika	ADJ	coverage-hole	f.instr.sg	1		2	dcs:439423
alināsaḥ	alina	NOUN	slot-conflict	m.nom.pl	1	alināḥ	2	dcs:602343
alpīyān	alpīyas	ADJ	coverage-hole	m.nom.sg	1		2	dcs:629661
alyā	ali	NOUN	coverage-hole	f.instr.sg	1		2	dcs:564164
amanuṣyataḥ	amanuṣya	NOUN	slot-conflict	m.abl.sg	2	amanuṣyāt	2	dcs:645853
amaraṇām	amaraṇa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:153303
amarṣām	amarṣa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:163262
amburāśiṇi	amburāśi	NOUN	coverage-hole	n.loc.sg	1		2	dcs:405500
ambātaḥ	ambā	NOUN	slot-conflict	f.abl.sg	1	ambāyāḥ	2	dcs:623032
amebhiḥ	ama	NOUN	slot-conflict	m.instr.pl	1	amaiḥ	2	dcs:602670_1
amlikaiḥ	amlikā	NOUN	coverage-hole	m.voc.sg	1		2	dcs:360232
amājūr	amājur	NOUN	slot-conflict	f.nom.sg	1	amājūḥ	2	dcs:596154_1
amībhyaḥ	adas	PRON	coverage-hole	m.dat.pl	1		2	dcs:637633
amīṣu	adas	PRON	coverage-hole	m.loc.pl	1		2	dcs:629703
amūṣu	adas	PRON	coverage-hole	f.loc.pl	1		2	dcs:89178
anakṣāsaḥ	anakṣa	ADJ	slot-conflict	m.nom.pl	1	anakṣāḥ	2	dcs:608433
analāni	anala	NOUN	coverage-hole	n.nom.pl	1		2	dcs:359459
anantarajātāsu	anantarajāta	ADJ	coverage-hole	f.loc.pl	1		2	dcs:82267
anantāsa	ananta	ADJ	slot-conflict	m.nom.pl	1	anantāḥ	2	dcs:599869
anasvantā	anasvat	ADJ	slot-conflict	m.acc.du	1	anasvantau	2	dcs:599443_1
anavadyataḥ	anavadya	ADJ	slot-conflict	n.abl.sg	1	anavadyāt	2	dcs:632381
anavanāmitavaijayantī	anavanāmitavaijayanta	NOUN	coverage-hole	f.nom.sg	1		2	dcs:723714
anavi	anu	NOUN	slot-conflict	m.loc.sg	1	anau	2	dcs:604275
anaśitāḥ	anaśita	ADJ	coverage-hole	m.nom.pl	1		2	dcs:556765
andhakārayā	andhakāra	NOUN	coverage-hole	f.instr.sg	1		2	dcs:630258
andhakārāyām	andhakāra	NOUN	coverage-hole	f.loc.sg	1		2	dcs:520795
andhatamasā	andhatamasa	NOUN	coverage-hole	f.nom.sg	1		2	dcs:516642
anekāntavādi	anekāntavādin	NOUN	compound-member		1		2	dcs:45142
anilām	anila	NOUN	coverage-hole	f.acc.sg	1		2	dcs:763613
anityataḥ	anitya	ADJ	slot-conflict	m.abl.sg	1	anityāt	2	dcs:632942
antarālayā	antarāla	NOUN	coverage-hole	f.instr.sg	1		2	dcs:489227
antarālāṃ	antarāla	ADJ	coverage-hole	f.acc.sg	1		2	dcs:517751
antarāpaṇām	antarāpaṇa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:112487
antarātmnaḥ	antarātman	NOUN	slot-conflict	m.acc.pl	1	antarātmanaḥ	2	dcs:80224
antassthāyām	antaḥsthā	NOUN	slot-conflict	f.loc.sg	1	antaḥsthāyām	2	dcs:663828
antassthāṃ	antaḥsthā	NOUN	slot-conflict	f.acc.sg	1	antaḥsthām	2	dcs:663828
antikī	antika	ADJ	coverage-hole	f.nom.sg	1		2	dcs:749566
antāsaḥ	anta	NOUN	slot-conflict	m.nom.pl	1	antāḥ	2	dcs:610170
anubandhayā	anubandha	NOUN	coverage-hole	f.instr.sg	1		2	dcs:139617
anubandhām	anubandha	NOUN	coverage-hole	f.acc.sg	1		2	dcs:121131
anubandhāni	anubandha	NOUN	coverage-hole	n.acc.pl	1		2	dcs:60437
anubandhāsu	anubandha	NOUN	coverage-hole	f.loc.pl	1		2	dcs:522637
anubhāvataḥ	anubhāva	NOUN	slot-conflict	m.abl.sg	1	anubhāvāt	2	dcs:94587
anubhāvām	anubhāva	NOUN	coverage-hole	f.acc.sg	1		2	dcs:407913
anubhāvāni	anubhāva	NOUN	coverage-hole	n.nom.pl	1		2	dcs:723306
anuchādaḥ	anucchāda	NOUN	slot-conflict	m.nom.sg	1	anucchādaḥ	2	dcs:493154
anuditāsa	anudita	ADJ	slot-conflict	m.nom.pl	1	anuditāḥ	2	dcs:611451
anugrahataḥ	anugraha	NOUN	slot-conflict	m.abl.sg	1	anugrahāt	2	dcs:89653
anugrāsaḥ	anugra	ADJ	slot-conflict	m.nom.pl	1	anugrāḥ	2	dcs:603716_1
anujanma	anujanman	NOUN	compound-member		1		2	dcs:90826
anujñaiḥ	anujñā	NOUN	coverage-hole	m.instr.pl	1		2	dcs:643007
anujñam	anujñā	NOUN	coverage-hole	m.acc.sg	1		2	dcs:625404
anukrośām	anukrośa	NOUN	coverage-hole	f.acc.sg	1		2	dcs:120160
anukṛtīni	anukṛti	NOUN	coverage-hole	n.nom.pl	1		2	dcs:437300
anulomanān	anulomana	ADJ	coverage-hole	m.acc.pl	1		2	dcs:34169
anulomanī	anulomana	ADJ	coverage-hole	f.nom.sg	1		2	dcs:27217
anumitiyoḥ	anumiti	NOUN	coverage-hole	m.gen.du	1		2	dcs:538165
anuplavāsu	anuplava	NOUN	coverage-hole	f.loc.pl	1		2	dcs:629921
anuprasaktitaḥ	anuprasakti	NOUN	slot-conflict	f.abl.sg	1	anuprasakteḥ anuprasaktyāḥ	2	dcs:618301
anupānau	anupāna	NOUN	coverage-hole	m.acc.du	1		2	dcs:1792
anurasāṇi	anurasa	NOUN	coverage-hole	n.nom.pl	1		2	dcs:3673
anurañjanāḥ	anurañjana	NOUN	coverage-hole	m.nom.pl	1		2	dcs:93829
anurāgayā	anurāga	NOUN	coverage-hole	f.instr.sg	1		2	dcs:617101
anurāgām	anurāga	NOUN	coverage-hole	f.acc.sg	1		2	dcs:556015
anurāgāsu	anurāga	NOUN	coverage-hole	f.loc.pl	1		2	dcs:619259
anurāgāyām	anurāga	NOUN	coverage-hole	f.loc.sg	1		2	dcs:448618
