k1	status	pw_entries	pwg_entries	pw_blocks	pwg_blocks	matched_blocks	cut_blocks	pwg_extra_blocks	cut_gloss_sample
mantri	shared	1	1	1	1	1	0	0	
mantripati	shared	1	1	1	1	1	0	0	
mantritA	shared	1	1	1	1	1	0	0	
mantrodaka	shared	1	1	1	2	1	0	1	
mantumant	shared	1	1	1	1	1	0	0	
manuBU	shared	1	1	1	1	1	0	0	
manujADipa	shared	1	1	1	1	1	0	0	
manujaloka	shared	1	1	1	1	1	0	0	
manujendra	shared	1	1	1	1	1	0	0	
manuprIta	shared	1	1	1	1	1	0	0	
manurhita	shared	1	1	1	1	1	0	0	
manusaMhitA	shared	1	1	1	1	1	0	0	
manutva	shared	1	1	1	1	1	0	0	
manuvfta	shared	1	1	1	1	1	0	0	
manuyuga	shared	1	1	1	1	1	0	0	
manuzyacCandasa	shared	1	1	1	1	1	0	0	
manuzyacara	shared	1	1	1	1	1	0	0	
manuzyadeva	shared	1	1	3	3	3	0	0	
manuzyajA	shared	1	2	1	2	1	0	1	
manuzyakAra	shared	1	1	1	2	1	0	1	
manuzyakfta	shared	1	1	1	1	1	0	0	
manuzyakilbiza	shared	1	1	1	1	1	0	0	
manuzyaloka	shared	1	1	1	1	1	0	0	
manuzyarAja	shared	1	1	1	1	1	0	0	
manuzyaraTa	shared	1	1	1	1	1	0	0	
manuzyasaBA	shared	1	1	1	1	1	0	0	
manuzyasava	shared	1	1	1	1	1	0	0	
manuzyatrA	shared	1	1	1	1	1	0	0	
manuzyatva	shared	1	1	1	1	1	0	0	
manuzyaviS	shared	1	1	1	1	1	0	0	
manuzyayajYa	shared	1	1	1	2	1	0	1	
manuzyeSvara	shared	1	1	1	1	1	0	0	
manuzyendra	shared	1	1	1	1	1	0	0	
manvISa	shared	1	1	1	1	1	0	0	
manvidDa	shared	1	1	1	1	1	0	0	
manyA	shared	1	1	1	1	1	0	0	
manyAstamBa	shared	1	1	1	1	1	0	0	
manyumaya	shared	1	1	1	1	1	0	0	
manyusUkta	shared	1	1	1	1	1	0	0	
manyuzAvin	shared	1	1	1	1	1	0	0	
mapazwa	shared	1	1	1	1	1	0	0	
maqqu	shared	1	1	1	2	1	0	1	
marAra	shared	1	1	1	1	1	0	0	
marAyu	shared	1	1	1	1	1	0	0	
marIcin	shared	1	1	1	1	1	0	0	
marIcipattana	shared	1	2	1	3	1	0	2	
marIcitoya	shared	1	1	1	1	1	0	0	
marImfSa	shared	1	1	1	1	1	0	0	
maraRAnta	shared	1	1	1	2	1	0	1	
maraRAtmaka	shared	1	1	1	1	1	0	0	
marakata	shared	1	1	1	2	1	0	1	
marakatamaya	shared	1	1	1	1	1	0	0	
marakatapattrI	shared	1	1	1	1	1	0	0	
marandOkas	shared	1	1	1	1	1	0	0	
maranda	shared	1	2	1	2	1	0	1	
marata	shared	1	1	1	1	1	0	0	
mardaka	shared	1	1	1	2	1	0	1	
mardala	shared	1	1	1	2	1	0	1	
mardanIya	shared	1	1	1	1	1	0	0	
mariman	shared	1	1	1	1	1	0	0	
marjya	shared	1	1	1	1	1	0	0	
markawAsya	shared	1	1	1	1	1	0	0	
markawaSIrza	shared	1	1	1	1	1	0	0	
markawapippalI	shared	1	1	1	1	1	0	0	
markawatinduka	shared	1	1	1	1	1	0	0	
markawavAsa	shared	1	1	1	1	1	0	0	
marmAtiga	shared	1	1	1	1	1	0	0	
marmAvaraRa	shared	1	1	1	2	1	0	1	
marmaBedana	shared	1	1	1	1	1	0	0	
marmacCeda	shared	1	1	1	1	1	0	0	
marmacCid	shared	1	1	1	1	1	0	0	
marmaga	shared	1	2	1	2	1	0	1	
marmakIla	shared	1	1	1	1	1	0	0	
marmamaya	shared	1	1	1	1	1	0	0	
marman	shared	1	2	1	3	1	0	2	
marmapAraga	shared	1	1	1	1	1	0	0	
marmarAy	shared	1	1	1	1	1	0	0	
marmaspfS	shared	1	1	1	1	1	0	0	
marmaveDin	shared	1	1	1	1	1	0	0	
marmavegitA	shared	1	1	1	1	1	0	0	
marmavid	shared	1	1	1	1	1	0	0	
marmavidAraRa	shared	1	1	1	1	1	0	0	
marmfjenya	shared	1	2	1	2	1	0	1	
maroli	shared	1	1	1	1	1	0	0	
marqitar	shared	1	2	1	2	1	0	1	
martaBojana	shared	1	1	1	1	1	0	0	
martyaBAva	shared	1	1	1	1	1	0	0	
martyaBuvana	shared	1	1	1	1	1	0	0	
martyaDarman	shared	1	1	1	1	1	0	0	
martyakfta	shared	1	1	1	1	1	0	0	
martyaloka	shared	1	1	1	1	1	0	0	
martyamuKa	shared	1	1	1	1	1	0	0	
martyatrA	shared	1	1	1	1	1	0	0	
martyatva	shared	1	1	1	1	1	0	0	
martyatvana	shared	1	1	1	1	1	0	0	
martyezita	shared	1	1	1	1	1	0	0	
marucIpawwana	shared	1	2	1	3	1	0	2	
marudAndola	shared	1	1	1	1	1	0	0	
marudDvaja	shared	1	1	1	1	1	0	0	
marudizwa	shared	1	1	1	1	1	0	0	
marudvartman	shared	1	1	1	1	1	0	0	
maruka	shared	1	1	1	2	1	0	1	
marula	shared	1	1	1	2	1	0	1	
marumahI	shared	1	1	1	1	1	0	0	
marunnAma	shared	1	1	1	1	1	0	0	
marupaTa	shared	1	1	1	1	1	0	0	
marusTA	shared	1	1	1	2	1	0	1	
marusTala	shared	1	1	1	1	1	0	0	
marutkarman	shared	1	1	1	1	1	0	0	
marutpaTa	shared	1	1	1	1	1	0	0	
marutpawa	shared	1	1	1	2	1	0	1	
marutsaKi	shared	1	1	1	1	1	0	0	
marutsahAya	shared	1	1	1	1	1	0	0	
marutstoma	shared	1	1	1	1	1	0	0	
maruttaka	shared	1	1	1	1	1	0	0	
maruva	shared	1	1	1	1	1	0	0	
maryADIra	shared	1	1	1	1	1	0	0	
maryAdAgiri	shared	1	1	1	1	1	0	0	
maryaSrI	shared	1	1	1	1	1	0	0	
maryatas	shared	1	1	1	1	1	0	0	
marzIkA	shared	1	1	1	1	1	0	0	
marza	shared	1	1	1	2	1	0	1	
marzin	shared	1	1	1	1	1	0	0	
masAra	shared	1	2	1	3	1	0	2	
masIra	shared	1	1	1	1	1	0	0	
masUrakarRa	shared	1	1	1	2	1	0	1	
masina	shared	1	1	1	1	1	0	0	
maskara	shared	1	1	1	1	1	0	0	
masta	shared	1	1	1	1	1	0	0	
mastadAru	shared	1	1	1	1	1	0	0	
mastakaSUla	shared	1	1	1	1	1	0	0	
mastakajvara	shared	1	1	1	1	1	0	0	
mastakaluNga	shared	1	1	1	2	1	0	1	
mastakasneha	shared	1	1	1	1	1	0	0	
mastamUlaka	shared	1	1	1	1	1	0	0	
masti	shared	1	1	1	1	1	0	0	
mastika	shared	1	1	1	1	1	0	0	
mastuluNga	shared	1	1	1	2	1	0	1	
matAkza	shared	1	1	1	1	1	0	0	
mataNgapura	shared	1	1	1	1	1	0	0	
matasna	shared	1	1	1	1	1	0	0	
matavacas	shared	1	1	1	2	1	0	1	
matavant	shared	1	1	1	1	1	0	0	
matiBeda	shared	1	1	1	1	1	0	0	
matiBrama	shared	1	1	1	1	1	0	0	
matiSAlin	shared	1	1	1	1	1	0	0	
matidarSana	shared	1	1	1	1	1	0	0	
matigati	shared	1	1	1	1	1	0	0	
matikarman	shared	1	1	1	1	1	0	0	
matiniScaya	shared	1	1	1	1	1	0	0	
matipUrva	shared	1	1	1	1	1	0	0	
mativiBraMSa	shared	1	1	1	1	1	0	0	
mativiBrama	shared	1	1	1	1	1	0	0	
mativid	shared	1	1	1	1	1	0	0	
matka	shared	2	2	2	2	2	0	0	
matkfta	shared	1	1	1	1	1	0	0	
matkuRAri	shared	1	1	1	1	1	0	0	
matkuRikA	shared	1	1	1	1	1	0	0	
matsaKi	shared	1	1	1	1	1	0	0	
matsagaRwa	shared	1	1	1	2	1	0	1	
matsyASana	shared	1	1	1	1	1	0	0	
matsyAd	shared	1	1	1	1	1	0	0	
matsyAdanI	shared	1	1	1	1	1	0	0	
matsyaDAnI	shared	1	1	1	1	1	0	0	
matsyaGaRwa	shared	1	1	1	2	1	0	1	
matsyaRqikA	shared	1	1	1	1	1	0	0	
matsyabanDa	shared	1	1	1	1	1	0	0	
matsyahan	shared	1	1	1	1	1	0	0	
matsyajAla	shared	1	1	1	1	1	0	0	
matsyanASaka	shared	1	1	1	1	1	0	0	
matsyanArI	shared	1	1	1	1	1	0	0	
matsyaraNka	shared	1	1	1	1	1	0	0	
matsyasaMGAta	shared	1	1	1	1	1	0	0	
matsyasaMtAnika	shared	1	1	1	1	1	0	0	
matsyasaganDin	shared	1	1	1	1	1	0	0	
matsyavid	shared	1	1	1	1	1	0	0	
matsyavinnA	shared	1	1	1	2	1	0	1	
matsyopajIvin	shared	1	1	1	2	1	0	1	
mattAkrIqA	shared	1	1	1	1	1	0	0	
mattagAminI	shared	1	1	1	1	1	0	0	
mattakISa	shared	1	1	1	1	1	0	0	
mattamAtaNgalIlAkara	shared	1	1	1	1	1	0	0	
mattas	shared	1	1	1	1	1	0	0	
mattavilAsinI	shared	1	1	1	1	1	0	0	
matteBagamanA	shared	1	1	1	1	1	0	0	
matteBavikrIqita	shared	1	1	1	1	1	0	0	
matula	shared	1	1	1	1	1	0	0	
mavara	shared	1	1	1	1	1	0	0	
mavy	shared	1	1	1	1	1	0	0	
mawaka	shared	1	1	1	1	1	0	0	
mawatI	shared	1	1	1	1	1	0	0	
mawmawa	shared	1	1	1	1	1	0	0	
mawusPawi	shared	1	1	1	1	1	0	0	
mayUKAditya	shared	1	1	1	1	1	0	0	
mayUKavant	shared	1	1	1	1	1	0	0	
mayUKin	shared	1	1	1	1	1	0	0	
mayUrAri	shared	1	1	1	1	1	0	0	
mayUraSepya	shared	1	1	1	1	1	0	0	
mayUraSiKA	shared	1	1	1	1	1	0	0	
mayUracawaka	shared	1	1	1	1	1	0	0	
mayUrajaNGa	shared	1	1	1	1	1	0	0	
mayUrakarRa	shared	1	1	1	2	1	0	1	
mayUrapadaka	shared	1	1	1	1	1	0	0	
mayUraroman	shared	1	1	1	1	1	0	0	
mayUratutTa	shared	1	1	1	1	1	0	0	
mayagrAma	shared	1	1	1	1	1	0	0	
mayaskara	shared	1	1	1	1	1	0	0	
mayivasu	shared	1	1	1	1	1	0	0	
mayuzwaka	shared	1	1	1	1	1	0	0	
mazmazA	shared	1	1	1	1	1	0	0	
meDAkAra	shared	1	1	1	1	1	0	0	
meDAkft	shared	1	1	1	1	1	0	0	
meDAvitA	shared	1	1	1	1	1	0	0	
meDAy	shared	1	1	1	1	1	0	0	
meDaja	shared	1	1	1	1	1	0	0	
meDapati	shared	1	1	1	1	1	0	0	
meDyamaya	shared	1	1	1	1	1	0	0	
meDyatA	shared	1	1	1	1	1	0	0	
meGAgama	shared	1	1	1	1	1	0	0	
meGAnandA	shared	1	1	1	1	1	0	0	
meGAnandin	shared	1	1	1	1	1	0	0	
meGAnta	shared	1	1	1	1	1	0	0	
meGAqambara	shared	1	1	1	2	1	0	1	
meGAri	shared	1	1	1	1	1	0	0	
meGAsTi	shared	1	1	1	1	1	0	0	
meGAspada	shared	1	1	1	1	1	0	0	
meGAwopa	shared	1	1	1	1	1	0	0	
meGaBUti	shared	1	1	1	1	1	0	0	
meGaMkara	shared	1	1	1	1	1	0	0	
meGadIpa	shared	1	1	1	1	1	0	0	
meGadvAra	shared	1	1	1	1	1	0	0	
meGagarjana	shared	1	1	1	1	1	0	0	
meGahft	shared	1	1	1	1	1	0	0	
meGahrAda	shared	1	1	1	1	1	0	0	
meGajIvaka	shared	1	1	1	1	1	0	0	
meGaja	shared	1	1	1	1	1	0	0	
meGajyotis	shared	1	1	1	1	1	0	0	
meGakAla	shared	1	1	1	1	1	0	0	
meGakaPa	shared	1	1	1	2	1	0	1	
meGakarRA	shared	1	1	1	1	1	0	0	
meGamaWa	shared	1	1	1	1	1	0	0	
meGanAdAnulAsaka	shared	1	1	1	1	1	0	0	
meGaparvata	shared	1	1	1	2	1	0	1	
meGaqambara	shared	1	1	1	2	1	0	1	
meGarAjI	shared	1	1	1	1	1	0	0	
meGarAva	shared	1	1	1	1	1	0	0	
meGarava	shared	1	2	1	2	1	0	1	
meGareKA	shared	1	1	1	1	1	0	0	
meGasAra	shared	1	1	1	1	1	0	0	
meGastanita	shared	1	1	1	1	1	0	0	
meGastanitodBava	shared	1	1	1	1	1	0	0	
meGasuhfd	shared	1	1	1	1	1	0	0	
meGatimira	shared	1	1	1	1	1	0	0	
meGavahni	shared	1	1	1	1	1	0	0	
meGavapus	shared	1	1	1	1	1	0	0	
meGavartman	shared	1	1	1	1	1	0	0	
meGaveSman	shared	1	1	1	1	1	0	0	
meGavega	shared	1	1	1	1	1	0	0	
meGodaka	shared	1	1	1	1	1	0	0	
meGodaya	shared	1	1	1	1	1	0	0	
meKalApada	shared	1	1	1	1	1	0	0	
meKalAvant	shared	1	1	1	1	1	0	0	
meRQa	shared	1	1	1	1	1	0	0	
meTikA	shared	1	1	1	1	1	0	0	
mecakABiDA	shared	1	1	1	1	1	0	0	
medaHpucCa	shared	1	1	1	1	1	0	0	
medaja	shared	1	1	1	1	1	0	0	
medana	shared	1	1	1	1	1	0	0	
medaskft	shared	1	1	1	1	1	0	0	
medaspiRqa	shared	1	1	1	1	1	0	0	
medastejas	shared	1	1	1	1	1	0	0	
medasvant	shared	1	1	1	1	1	0	0	
medasvin	shared	1	1	1	1	1	0	0	
medinIdrava	shared	1	1	1	1	1	0	0	
medogaRqa	shared	1	1	1	1	1	0	0	
medogranTi	shared	1	1	1	1	1	0	0	
medoja	shared	1	1	1	1	1	0	0	
medurita	shared	1	1	1	1	1	0	0	
mehaGnI	shared	1	1	1	1	1	0	0	
mehanA	shared	1	1	1	1	1	0	0	
mehanAvant	shared	1	1	1	1	1	0	0	
meka	shared	1	1	1	2	1	0	1	
mekzaRa	shared	1	1	1	2	1	0	1	
melAmandA	shared	1	1	1	1	1	0	0	
melAnDu	shared	1	1	1	1	1	0	0	
melAnandAy	shared	1	1	1	1	1	0	0	
melAnanda	shared	1	1	1	1	1	0	0	
melAyana	shared	1	1	1	1	1	0	0	
melakalavaRa	shared	1	1	1	2	1	0	1	
meqi	shared	1	1	1	1	1	0	0	
merudfSvan	shared	1	1	1	1	1	0	0	
merudu	shared	1	1	1	1	1	0	0	
meruprastAra	shared	1	1	1	1	1	0	0	
meruputrI	shared	1	1	1	1	1	0	0	
merusAvarRa	shared	1	1	1	1	1	0	0	
meruwU	shared	1	1	1	1	1	0	0	
meruyantra	shared	1	1	1	1	1	0	0	
mewulA	shared	1	1	1	1	1	0	0	
mezAhvaya	shared	1	1	1	1	1	0	0	
mezAlu	shared	1	1	1	1	1	0	0	
mezAntrI	shared	1	1	1	1	1	0	0	
mezAy	shared	1	1	1	1	1	0	0	
mezahft	shared	1	1	1	1	1	0	0	
mezakambala	shared	1	1	1	1	1	0	0	
mezapuzpA	shared	1	1	1	1	1	0	0	
mezasaMDi	shared	1	1	1	1	1	0	0	
mfDa	shared	1	1	1	1	1	0	0	
mfDravAc	shared	1	1	1	1	1	0	0	
mfLayAku	shared	1	1	1	1	1	0	0	
mfLayattama	shared	1	1	1	1	1	0	0	
mfRAlakaRWa	shared	1	1	1	1	1	0	0	
mfRAlalatikA	shared	1	1	1	1	1	0	0	
mfRAlavant	shared	1	1	1	1	1	0	0	
mfc	shared	1	1	1	1	1	0	0	
mfcCilAmaya	shared	1	2	1	2	1	0	1	
mfcaya	shared	1	1	1	1	1	0	0	
mfdAhvayA	shared	1	1	1	1	1	0	0	
mfdGawa	shared	1	1	1	1	1	0	0	
mfdU	shared	1	1	1	2	1	0	1	
mfdaNgaPalinI	shared	1	1	1	1	1	0	0	
mfdaNgaka	shared	1	1	1	1	1	0	0	
mfdava	shared	1	2	1	2	1	0	1	
mfdga	shared	1	1	1	3	1	0	2	
mfdinI	shared	1	1	1	1	1	0	0	
mfduBAva	shared	1	1	1	1	1	0	0	
mfduganDika	shared	1	1	1	1	1	0	0	
mfdujAtIya	shared	1	1	1	1	1	0	0	
mfdukfzRAyasa	shared	1	1	1	1	1	0	0	
mfdukozWa	shared	1	2	1	2	1	0	1	
mfdukriyA	shared	1	1	1	1	1	0	0	
mfdulomaka	shared	1	1	1	2	1	0	1	
mfdunnaka	shared	1	1	1	1	1	0	0	
mfdupIWaka	shared	1	1	1	1	1	0	0	
mfdupUrva	shared	1	1	1	1	1	0	0	
mfdusparSa	shared	1	1	1	1	1	0	0	
mfdutA	shared	1	1	1	1	1	0	0	
mfdutAla	shared	1	1	1	1	1	0	0	
mfdutva	shared	1	1	1	1	1	0	0	
mfduvarga	shared	1	1	1	1	1	0	0	
mfdvIkA	shared	1	1	1	3	1	0	2	
mfgADipatya	shared	1	1	1	1	1	0	0	
mfgAKara	shared	1	1	1	1	1	0	0	
mfgANganA	shared	1	1	1	1	1	0	0	
mfgAd	shared	1	1	1	1	1	0	0	
mfgAntaka	shared	1	1	1	1	1	0	0	
mfgArasUkta	shared	1	1	1	1	1	0	0	
mfgArezwi	shared	1	1	1	1	1	0	0	
mfgAviD	shared	1	1	1	1	1	0	0	
mfgIdfS	shared	1	1	1	1	1	0	0	
mfgIpati	shared	1	1	1	1	1	0	0	
mfgItva	shared	1	1	1	1	1	0	0	
mfgaBakzA	shared	1	1	1	1	1	0	0	
mfgaBojanI	shared	1	1	1	1	1	0	0	
mfgaDUrta	shared	1	1	1	1	1	0	0	
mfgaRA	shared	1	1	1	1	1	0	0	
mfgaRyu	shared	1	1	1	1	1	0	0	
mfgaSAva	shared	1	1	1	1	1	0	0	
mfgaSAyikA	shared	1	1	1	1	1	0	0	
mfgaSira	shared	1	1	1	1	1	0	0	
mfgabanDinI	shared	1	1	1	1	1	0	0	
mfgacArin	shared	1	1	1	1	1	0	0	
mfgacEwaka	shared	1	1	1	1	1	0	0	
mfgacaryA	shared	1	1	1	1	1	0	0	
mfgadAva	shared	1	1	1	1	1	0	0	
mfgadaMSa	shared	1	1	1	1	1	0	0	
mfgahan	shared	1	1	1	1	1	0	0	
mfgajAlikA	shared	1	1	1	1	1	0	0	
mfgajIvana	shared	1	1	1	1	1	0	0	
mfgakAnana	shared	1	1	1	2	1	0	1	
mfgakzIra	shared	1	1	1	1	1	0	0	
mfgalakzman	shared	1	1	1	1	1	0	0	
mfgaleKA	shared	1	1	1	1	1	0	0	
mfgalocanA	shared	1	1	1	1	1	0	0	
mfgamAsa	shared	1	1	1	1	1	0	0	
mfgamada	shared	1	1	1	1	1	0	0	
mfgamadavAsA	shared	1	1	1	1	1	0	0	
mfgamaya	shared	1	1	1	1	1	0	0	
mfgamuKa	shared	1	1	1	2	1	0	1	
mfganABimaya	shared	1	1	1	1	1	0	0	
mfgapAlikA	shared	1	1	1	1	1	0	0	
mfgapiplu	shared	1	1	1	1	1	0	0	
mfgapraBu	shared	1	1	1	1	1	0	0	
mfgarAjalakzman	shared	1	1	1	2	1	0	1	
mfgarasA	shared	1	1	1	1	1	0	0	
mfgaromaja	shared	1	1	1	1	1	0	0	
mfgatfz	shared	1	1	1	1	1	0	0	
mfgatoya	shared	1	1	1	1	1	0	0	
mfgatva	shared	1	1	1	1	1	0	0	
mfgavAhana	shared	1	1	1	1	1	0	0	
mfgavERika	shared	1	1	1	1	1	0	0	
mfgava	shared	1	1	1	1	1	0	0	
mfgavallaBa	shared	1	1	1	1	1	0	0	
mfgavana	shared	1	1	1	1	1	0	0	
mfgavatI	shared	1	1	1	2	1	0	1	
mfgavya	shared	1	1	1	1	1	0	0	
mfgayAraRya	shared	1	1	1	2	1	0	1	
mfgayas	shared	1	1	1	1	1	0	0	
mfgekzaRa	shared	1	2	1	4	1	0	3	
mfgendrAsana	shared	1	1	1	2	1	0	1	
mfgendrAsya	shared	1	1	1	1	1	0	0	
mfgendracawaka	shared	1	1	1	1	1	0	0	
mfgendramuKa	shared	1	1	1	1	1	0	0	
mfgendratA	shared	1	1	1	1	1	0	0	
mfgezwa	shared	1	1	1	1	1	0	0	
mfgottamANga	shared	1	1	1	1	1	0	0	
mfjAnagara	shared	1	1	1	1	1	0	0	
mfjAvant	shared	1	1	1	1	1	0	0	
mfjya	shared	1	1	1	1	1	0	0	
mfllozwa	shared	1	1	1	1	1	0	0	
mfnmaru	shared	1	1	1	1	1	0	0	
mfqAnI	shared	1	1	1	1	1	0	0	
mfqaNkaRa	shared	1	1	1	1	1	0	0	
mfqana	shared	1	1	1	1	1	0	0	
mftANga	shared	1	1	1	1	1	0	0	
mftAmada	shared	1	1	1	1	1	0	0	
mftKalinI	shared	1	1	1	1	1	0	0	
mftaBraj	shared	1	1	1	1	1	0	0	
mftaDavA	shared	1	1	1	1	1	0	0	
mftaSabda	shared	1	1	1	1	1	0	0	
mftagfha	shared	1	1	1	1	1	0	0	
mftahAra	shared	1	1	1	1	1	0	0	
mftajIvana	shared	1	1	1	1	1	0	0	
mftakAntaka	shared	1	1	1	1	1	0	0	
mftamanas	shared	1	1	1	1	1	0	0	
mftamatta	shared	1	1	1	1	1	0	0	
mftapa	shared	1	1	1	1	1	0	0	
mftapriyA	shared	1	1	1	1	1	0	0	
mftasaMskAra	shared	1	1	1	1	1	0	0	
mftasnAna	shared	1	1	1	1	1	0	0	
mftasnAta	shared	1	1	1	1	1	0	0	
mftavArzika	shared	1	1	1	1	1	0	0	
mftavatsA	shared	1	1	1	2	1	0	1	
mfti	shared	1	1	1	1	1	0	0	
mftiman	shared	1	1	1	1	1	0	0	
mftkAMsya	shared	1	1	1	1	1	0	0	
mftkaRa	shared	1	1	1	1	1	0	0	
mftkara	shared	1	1	1	1	1	0	0	
mftkarman	shared	1	1	1	1	1	0	0	
mftkirA	shared	1	1	1	1	1	0	0	
mftpAtra	shared	1	1	1	1	1	0	0	
mftpiRqa	shared	1	1	1	1	1	0	0	
mftsnABARqaka	shared	1	1	1	1	1	0	0	
mftyava	shared	1	1	1	1	1	0	0	
mftyuBaNguraka	shared	1	1	1	1	1	0	0	
mftyuBftya	shared	1	1	1	1	1	0	0	
mftyubIja	shared	1	1	1	1	1	0	0	
mftyubanDu	shared	1	1	1	1	1	0	0	
mftyudUta	shared	1	1	1	1	1	0	0	
mftyudvAra	shared	1	1	1	1	1	0	0	
mftyukanyA	shared	1	1	1	1	1	0	0	
mftyumAra	shared	1	1	1	1	1	0	0	
mftyumftyu	shared	1	1	1	1	1	0	0	
mftyunASaka	shared	1	1	1	1	1	0	0	
mftyunASana	shared	1	1	1	1	1	0	0	
mftyupA	shared	1	1	1	1	1	0	0	
mftyupASa	shared	1	1	1	1	1	0	0	
mftyupaTa	shared	1	1	1	1	1	0	0	
mftyurAj	shared	1	1	1	1	1	0	0	
mftyusAt	shared	1	1	1	1	1	0	0	
mftyusenA	shared	1	1	1	1	1	0	0	
mfzABAzin	shared	1	1	1	1	1	0	0	
mfzAdAna	shared	1	1	1	1	1	0	0	
mfzAdfzwi	shared	1	1	1	1	1	0	0	
mfzAjYAna	shared	1	1	1	1	1	0	0	
mfzAlaka	shared	1	1	1	1	1	0	0	
mfzAnuSAsin	shared	1	1	1	1	1	0	0	
mfzAtva	shared	1	1	1	1	1	0	0	
mfzAy	shared	1	1	1	1	1	0	0	
mfzwavant	shared	1	1	1	1	1	0	0	
miNgila	shared	1	1	1	1	1	0	0	
miRmiRa	shared	1	1	1	1	1	0	0	
miSrIBAva	shared	1	1	1	1	1	0	0	
miSrIkaraRa	shared	1	1	1	1	1	0	0	
miSraDAnya	shared	2	2	2	3	2	0	1	
miSraSabda	shared	1	1	1	2	1	0	1	
miSrajAti	shared	1	1	1	1	1	0	0	
miSraja	shared	1	1	1	1	1	0	0	
miSratA	shared	1	1	1	1	1	0	0	
miSravyavahAra	shared	1	1	1	1	1	0	0	
miTUdfS	shared	1	1	1	1	1	0	0	
miTaspfDya	shared	1	1	1	1	1	0	0	
miTastur	shared	1	1	1	1	1	0	0	
miTatyA	shared	1	1	1	1	1	0	0	
miToavadyapa	shared	1	1	1	1	1	0	0	
miToyoDa	shared	1	1	1	1	1	0	0	
miTunAy	shared	1	1	1	1	1	0	0	
miTunIBAva	shared	1	1	1	1	1	0	0	
miTunIcArin	shared	1	1	1	1	1	0	0	
miTunatva	shared	1	1	1	1	1	0	0	
miTunecara	shared	1	1	1	1	1	0	0	
miTuyA	shared	1	1	1	2	1	0	1	
miTyABiDA	shared	1	1	1	1	1	0	0	
miTyABiDAna	shared	1	1	1	1	1	0	0	
miTyABiSaMsana	shared	1	1	1	1	1	0	0	
miTyADyavasiti	shared	1	1	1	1	1	0	0	
miTyAPala	shared	1	1	1	1	1	0	0	
miTyAcaryA	shared	1	1	1	1	1	0	0	
miTyAdfzwi	shared	1	2	1	2	1	0	1	
miTyAgraha	shared	1	1	1	1	1	0	0	
miTyAhAra	shared	1	1	1	1	1	0	0	
miTyAjYAna	shared	1	1	1	1	1	0	0	
miTyAjalpita	shared	1	1	1	1	1	0	0	
miTyAkopa	shared	1	1	1	1	1	0	0	
miTyAkraya	shared	1	1	1	1	1	0	0	
miTyAmAna	shared	1	1	1	1	1	0	0	
miTyAmati	shared	1	1	1	1	1	0	0	
miTyApaRqita	shared	1	1	1	1	1	0	0	
miTyApratijYa	shared	1	1	1	1	1	0	0	
miTyApravAdin	shared	1	1	1	1	1	0	0	
miTyApravftti	shared	1	1	1	1	1	0	0	
miTyApuruza	shared	1	1	1	1	1	0	0	
miTyAsAkzin	shared	1	1	1	1	1	0	0	
miTyAtvin	shared	1	1	1	1	1	0	0	
miTyAvAda	shared	2	3	2	3	2	0	1	
miTyAvAkya	shared	1	1	1	1	1	0	0	
miTyAvyApAra	shared	1	1	1	1	1	0	0	
miTyAyoga	shared	1	1	1	1	1	0	0	
miTyottara	shared	1	1	1	1	1	0	0	
mihirapura	shared	1	1	1	1	1	0	0	
milana	shared	1	1	1	1	1	0	0	
milindaka	shared	1	1	1	1	1	0	0	
mimaNkzA	shared	1	1	1	1	1	0	0	
mimaNkzu	shared	1	1	1	1	1	0	0	
mimanTizA	shared	1	1	1	1	1	0	0	
mimardayizu	shared	1	1	1	1	1	0	0	
mimikza	shared	1	1	1	1	1	0	0	
mimikzu	shared	1	1	1	1	1	0	0	
miraPa	shared	1	1	1	1	1	0	0	
mirikA	shared	1	1	1	1	1	0	0	
mirmira	shared	1	1	1	1	1	0	0	
mitASana	shared	1	1	1	1	1	0	0	
mitAhAra	shared	2	2	2	2	2	0	0	
mitArTa	shared	2	2	2	2	2	0	0	
mitaBAzitar	shared	1	1	1	1	1	0	0	
mitavAc	shared	1	1	1	1	1	0	0	
mitokti	shared	1	1	1	1	1	0	0	
mitr	shared	1	1	1	1	1	0	0	
mitrAKya	shared	1	1	1	1	1	0	0	
mitrAcAra	shared	1	1	1	1	1	0	0	
mitrAnugrahaRa	shared	1	1	1	1	1	0	0	
mitrAtiTi	shared	1	1	1	1	1	0	0	
mitrAvaruRavant	shared	1	1	1	1	1	0	0	
mitraBAva	shared	1	1	1	1	1	0	0	
mitraBeda	shared	1	1	1	1	1	0	0	
mitraBft	shared	1	1	1	1	1	0	0	
mitraDA	shared	1	1	1	1	1	0	0	
mitraDita	shared	1	1	1	1	1	0	0	
mitradroha	shared	1	2	1	2	1	0	1	
mitradviz	shared	1	1	1	1	1	0	0	
mitrahan	shared	1	1	1	1	1	0	0	
mitrakAma	shared	1	1	1	1	1	0	0	
mitrakArya	shared	1	1	1	1	1	0	0	
mitrakaraRa	shared	1	1	1	1	1	0	0	
mitrakfti	shared	1	1	1	1	1	0	0	
mitrakftya	shared	1	1	1	1	1	0	0	
mitrakru	shared	1	1	1	1	1	0	0	
mitralABa	shared	1	1	1	1	1	0	0	
mitrapati	shared	1	1	1	1	1	0	0	
mitrasAha	shared	1	1	1	1	1	0	0	
mitrasaMprApti	shared	1	1	1	1	1	0	0	
