k1	pw_L	hom	sense_ord	div_n	marker	gloss	witnesses	pw_entry_blocks	pwg_entry_blocks
kaRera	23616		2	1	1〉	Pterospermum acerifolium		5	5
kaRera	23616		3	1	2〉			5	5
kaReru	23617		1					1	2
kaRiSa	23610		1			Aehre; Granne des Getraides	gal,kad.ii	1	2
kaRika	23608		1					16	13
kaRika	23608		2	1	1〉			16	13
kaRika	23608		3	2	a〉	Körnchen, Samenkorn		16	13
kaRika	23608		8	1	2〉			16	13
kaRika	23608		9	2	a〉	Körnchen	comm.zubhag.p.ed.bomb	16	13
kaRika	23608		10	2	b〉	Tröpfchen		16	13
kaRika	23608		12	2	d〉		ind.st	16	13
kaRika	23608		13	2	e〉	Premna spinosa; {{Premna langifolia->Premna longifolia||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		16	13
kaRika	215656		16					16	13
kaRikvika	206990		1				j.a.o.s.procc	2	0
kaRikvika	215657		2					2	0
kaRq	23722		1					1	3
kaRqAnaka	23728		1					1	1
kaRqI	23730		1			fein stampfen	caraka	1	0
kaRqIrapuzpI	202902		1			eine best. Pflanze	caraka	2	0
kaRqIrapuzpI	215667		2					2	0
kaRqU	23736		1					1	1
kaRqUGna	23739		1					3	3
kaRqUGna	23739		2	1	1〉	Cathartocarpus fistula		3	3
kaRqUjuz	23740		1			Jucken empfindend	harsac	1	0
kaRqUka	23737		1		1〉			1	0
kaRqUkarI	23738		1			{{Mucuna pruritus->Mucuna pruriens||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		1	1
kaRqUla	23751		1					3	5
kaRqUlaBAva	23752		1			ein Jucken —, Verlangen nach	nais	1	0
kaRqUna	23742		1			Jucken empfindend,; verlangend nach		1	1
kaRqUra	23750		1					3	0
kaRqUra	23750		2	1	1〉	Amorphophallus campanulatus	caraka,gal	3	0
kaRqUra	23750		3	1	2〉	{{Mucuna praritus->Mucuna pruriens||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		3	0
kaRqUti	23741		1					6	2
kaRqUti	23741		2	1	1〉			6	2
kaRqUti	23741		4	2	b〉	das Kratzen		6	2
kaRqUti	23741		5	2	c〉			6	2
kaRqUti	23741		6	1	2〉		gal	6	2
kaRqUy	23745		1					4	2
kaRqUy	23745		2	1	1〉	kratzen		4	2
kaRqUy	23745		3	1	2〉	jucken		4	2
kaRqUy	23745		4	1	3〉	gekratzt werden		4	2
kaRqUyA	23748		1			das Kratzen		1	1
kaRqUyana	23746		1					5	4
kaRqUyana	23746		2	1	1〉			5	4
kaRqUyitar	23749		1			der da kratzt		1	1
kaRqagolika	23723		1			saurer Reisschleim	gal	1	0
kaRqana	23724		1					5	5
kaRqana	23724		2	1	1〉			5	5
kaRqana	23724		3	2	a〉	das Enthülsen	hemadri	5	5
kaRqarIka	23727		1					1	2
kaRqelagacCa	202903		1			Geschlechts		2	0
kaRqelagacCa	215670		2					2	0
kaRqellagacCa	23753		1				ind.st	1	0
kaRqola	23754		1					5	6
kaRqola	23754		2	1	1〉			5	6
kaRqola	23754		4	2	b〉	Kamel		5	6
kaRqola	23754		5	1	2〉	die Laute der		5	6
kaRqolakapAda	23756		1					1	2
kaRqoza	23758		1			Scorpion, Tarantel		1	1
kaRqu	23732		1					7	3
kaRqu	23732		2	1	1〉			7	3
kaRqu	23732		4	2	b〉	das Kratzen	spr	7	3
kaRqu	23732		5	1	2〉			7	3
kaRqu	206991		6		1〉	heftiges Verlangen nach	sis	7	3
kaRqu	215668		7			Krätze	mahavy	7	3
kaRquka	23733		1					1	1
kaRqula	23735		1			juckend	caraka	3	0
kaRqula	206992		2			juckend,; heftig verlangend nach	comm.zusis,sis	3	0
kaRqula	215669		3					3	0
kaRqura	23734		1					8	5
kaRqura	23734		3	1	2〉			8	5
kaRqura	23734		4	2	a〉	Momordica charantia		8	5
kaRqura	23734		5	2	b〉	eine best. Grasart		8	5
kaRqura	23734		6	1	3〉			8	5
kaRqura	23734		7	2	a〉	{{Mucuna pruritus->Mucuna pruriens||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		8	5
kaRqura	23734		8	2	b〉	eine best. Schlingpflanze		8	5
kaRvASrama	23773		1				visnus	1	0
kaRvAy	23771		1			Böses thun		1	1
kaRvAyana	23772		1				vp	1	0
kaRvIyasaMhitAhoma	23774		1					1	0
kaRva	23759		1					6	6
kaRva	23759		2	1	1〉			6	6
kaRva	23759		6	1	3〉	Böses		6	6
kaRvabfhat	23763		1					1	1
kaRvakaSyapa	23760		1			taub oder schwarzzähnig oder ein Nachkomme; oder		1	0
kaRvamant	23764		1			von den; bereitet		1	1
kaRvaraTaMtara	23765		1					1	1
kaRvasUtra	23769		1					1	0
kaRvatama	23762		1			ein ächter		1	0
kaRvavat	23766		1			nach; Art		1	0
kaRvaveda	23767		1					1	0
kaRvopanizad	23775		1					1	0
kaRw	23618		1					1	1
kaRwAPala	23664		1		1〉			1	1
kaRwAlikA	23667		1			{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}	rajan	1	0
kaRwAlu	23668		1					4	1
kaRwAlu	23668		2	1	1〉	{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}} und eine andere Species von 		4	1
kaRwAlu	23668		3	1	2〉	Bambusrohr		4	1
kaRwAlu	23668		4	1	3〉	die Pflanze		4	1
kaRwArikA	23665		1			eine best. Pflanze	gal	1	0
kaRwArtagalA	23666		1			Barleria caerulea		1	1
kaRwa	23619		1					3	3
kaRwa	23619		3	1	2〉	Dorfgrenze	gal	3	3
kaRwaPala	23660		1					9	9
kaRwaPala	23660		2	1	1〉			9	9
kaRwaPala	23660		3	2	a〉	eine Varietät von Asteracantha longifolia		9	9
kaRwaPala	23660		5	2	c〉	Datura fastuosa		9	9
kaRwaPala	23660		6	2	d〉	Guilandina bonduc		9	9
kaRwaPala	23660		7	2	e〉	Ricinus communis		9	9
kaRwaPala	23660		8	2	f〉			9	9
kaRwaPala	23660		9	1	2〉	eine best. Cucurbitacee		9	9
kaRwakAKya	23632		1			Trapa bispinosa		1	1
kaRwakAQya	23634		1			dornig		1	1
kaRwakASana	23640		1			Kamel		1	2
kaRwakAgAra	23633		1			eine Eidechsenart		1	1
kaRwakAla	23638		1					1	1
kaRwakArItraya	23637		1					1	1
kaRwakAra	23635		1					6	5
kaRwakAra	23635		2	1	1〉	eine best. Pflanze		6	5
kaRwakAra	23635		3	1	2〉			6	5
kaRwakAra	23635		4	2	a〉	{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		6	5
kaRwakAra	23635		5	2	b〉	Bombax heptaphyllum		6	5
kaRwakAra	23635		6	2	c〉	{{Flacourtia sopida->Flacourtia sapida||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		6	5
kaRwakAraka	23636		1					3	1
kaRwakAraka	23636		3	1	2〉	{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		3	1
kaRwakIPala	23649		1					1	1
kaRwakIdruma	23648		1			Acacia catechu		1	2
kaRwakOtsa	23652		1				rajat	1	0
kaRwaka	23620		1					27	27
kaRwaka	23620		2	1	1〉			27	27
kaRwaka	23620		8	2	f〉	stachelartige kleine Unebenheiten	caraka	27	27
kaRwaka	23620		16	2	o〉	Dorfgrenze	gal	27	27
kaRwaka	23620		19	2	r〉			27	27
kaRwaka	23620		20	2	s〉			27	27
kaRwaka	23620		21	3				27	27
kaRwaka	23620		23	3				27	27
kaRwaka	23620		24	1	2〉			27	27
kaRwaka	23620		25	2	a〉	eine dornige Pflanze		27	27
kaRwaka	222312		27				damayantik	27	27
kaRwakaBuj	23626		1			Kamel		1	3
kaRwakaPala	23625		1					3	2
kaRwakaPala	23625		2	1	1〉	{{Artocarpus integrifolia->Artocarpus integrifolius||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		3	2
kaRwakaPala	23625		3	1	2〉	Ruellia longifolia		3	2
kaRwakaSreRI	23630		1					1	1
kaRwakadalA	23622		1			Pandanus odoratissimus	gal	1	0
kaRwakadruma	23623		1					3	3
kaRwakadruma	23623		3	1	2〉	Bombax heptaphyllum		3	3
kaRwakalatA	23627		1			{{Capparis ceylanica->Capparis zeylanica||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}	nigh.pr	1	0
kaRwakaprAvftA	23624		1			Aloe perfoliata		1	1
kaRwakasTala	23631		1				varah.brh.s	1	0
kaRwakatraya	23621		1			drei Arten von Solanum		1	1
kaRwakavant	23628		1			mit emporgerichteten Härchen		1	1
kaRwakavfntAkI	23629		1			{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		1	1
kaRwakiPala	23643		1					1	1
kaRwakidruma	215659		1			ein Baum mit Dornen	spr	1	0
kaRwakija	204367		1			auf einem dornigen Gewächs gewachsen	visnus	2	0
kaRwakija	215658		2					2	0
kaRwakila	23644		1			Bambusa spinosa		1	1
kaRwakin	23642		1					14	8
kaRwakin	23642		3	1	2〉			14	8
kaRwakin	23642		4	2	a〉	Acacia catechu		14	8
kaRwakin	23642		5	2	b〉	{{Vanguiera spinosa->Vangueria spinosa||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		14	8
kaRwakin	23642		6	2	c〉	Ruellia longifolia		14	8
kaRwakin	23642		7	2	d〉	{{Zizyphus jujuba->Ziziphus jujuba||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		14	8
kaRwakin	23642		10	1	3〉			14	8
kaRwakin	23642		11	2	a〉	{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		14	8
kaRwakin	23642		13	2	c〉	eine Dattelart		14	8
kaRwakin	23642		14	2	d〉			14	8
kaRwakita	23641		1					3	5
kaRwakita	23641		3	1	2〉	mit emporgerichteten Härchen	kad	3	5
kaRwakivfkza	23646		1			eine best. Baum	susr	1	0
kaRwakodDAra	23651		1					1	1
kaRwakuraRwa	23650		1			Barleria cristata		1	1
kaRwala	23661		1			Mimosa arabica		1	1
kaRwapAda	23658		1			Flacourtia sapida		1	1
kaRwapattra	23655		1			Flacourtia sapida		1	0
kaRwapattraPalA	23656		1			eine best. Pflanze	rajan	1	0
kaRwapattrikA	23657		1			Solanum melongena	gal	1	0
kaRwapuNKikA	23659		1			{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}	gal	1	0
kaRwin	23670		1					5	1
kaRwin	23670		2	1	1〉	Achyranthes aspera		5	1
kaRwin	23670		3	1	2〉	Acacia catechu		5	1
kaRwin	23670		4	1	3〉	Ruellia longifolia		5	1
kaRwin	23670		5	1	4〉	eine Erbsenart		5	1
kaS	25840		1					1	3
kaSAGAta	25847		1			Peitschenschlag		1	0
kaSArha	25850		1			die Peitsche verdienend		1	0
kaSAri	25849		1					1	1
kaSAya	25848		1				kas.zup	1	0
kaSa	25841		1					12	8
kaSa	25841		2	1	1〉			12	8
kaSa	25841		3	2	a〉	ein best. Nagethier		12	8
kaSa	25841		5	1	2〉			12	8
kaSa	25841		6	2	a〉	Peitsche		12	8
kaSa	25841		7	2	b〉	Zügel	sis	12	8
kaSa	25841		9	2	d〉	Gesicht oder Mund		12	8
kaSa	215920		12					12	8
kaSakftsna	25843		1					1	1
kaSaku	25842		1			Coix barbata		1	1
kaSambUka	25845		1			ein best. mythisches Wesen	suparn	1	0
kaSambakajAta	215921		1			besudelt, unrein	mahavy	1	0
kaSaplaka	25844		1			die Schamlefzen	rv	1	0
kaSas	25846		1					3	2
kaSeraka	25857		1					1	1
kaSika	25852		1					1	1
kaSipu	25853		1					4	3
kaSipu	25853		2	1	1〉	Matte, Kissen, Matratze	vaitan	4	3
kaSipu	222326		4		2〉		ebend	4	3
kaSmIra	25863		1				chr	1	3
kaSmala	25860		1					6	9
kaSmala	25860		2	1	1〉			6	9
kaSmalamaya	25861		1			Nichts als Verzweiflung bringend	comm.zur.ed.bomb	1	0
kaSojU	25859		1					1	1
kaSoka	25858		1			bestimmter Dämonen		1	1
kaSu	25856		1					1	1
kaSya	25865	1	1					4	5
kaSyapApatya	25874		1					3	0
kaSyapApatya	25874		2	1	1〉	ein Nachkomme	ind.st	3	0
kaSyapApatya	25874		3	1	2〉	ein	gal	3	0
kaSyapa	25867		1					10	8
kaSyapa	25867		3	1	2〉			10	8
kaSyapa	25867		4	2	a〉	Schildkröte		10	8
kaSyapa	25867		6	2	c〉	eine Antilopenart		10	8
kaSyapa	25867		8	2	e〉		ars.br	10	8
kaSyapa	25867		10	1	3〉			10	8
kaSyapadvIpa	25870		1					1	1
kaSyapagrIva	25868		1				ars.br	1	0
kaSyapanandana	25871		1					1	1
kaSyapapucCa	25872		1					1	1
kaSyapasUnujyezWa	25873		1				gal	1	0
kaSyapatuNga	25869		1					1	1
kaSyapeSvara	25875		1					1	1
kaSyapottarasaMhitA	202968		1				opp.cat	2	0
kaSyapottarasaMhitA	215922		2					2	0
kaTA	23829	1	1					11	3
kaTA	23829	1	2	1	1〉	wie? auf welche Weise? woher? warum?; auf welche Weise es auch sei		11	3
kaTA	23829	1	3	1	2〉	num; utrum — an		11	3
kaTA	23830	2	4				kathas	11	3
kaTA	23830	2	5	1	1〉	Unterhaltung, Gespräch, Unterredung über		11	3
kaTA	23830	2	6	1	2〉	Erzählung, — von; Mittheilung, Rede, Erwähnung, Angabe	chr	11	3
kaTA	23830	2	8	1	4〉	Discussion, Dialog		11	3
kaTA	23830	2	9	1	5〉	wie könnte die Rede sein von?; geschweige; nicht nur nicht mit — sondern auch nicht einmal mit oder in umgekehrter Ordnung nicht einmal mit — geschweige denn mi	chr,spr	11	3
kaTA	208751	1	10					11	3
kaTA	215676	1	11					11	3
kaTASeza	23855		1				rajat,spr,vas	1	1
kaTAbanDa	205511		1			Knüpfung der Erzählung,; Einleitung	mbh	1	0
kaTAkOtuka	23832		1				buhlerrep.no	1	0
kaTAkoSa	23831		1					1	1
kaTAkrama	215677		2			Disputation	jatakam	2	2
kaTAlakzaRa	23849		1					1	0
kaTAmAtra	23844	2	2					2	3
kaTAmftaniDi	23846		1					1	1
kaTAmuKa	23845		1					3	1
kaTAmuKa	23845		3	1	2〉		kathas	3	1
kaTApay	23838		1			hersagen	ind.st	1	1
kaTAprARa	23842		1		1〉			1	1
kaTAprabanDa	205509		1			Legende	uttarar	2	0
kaTAprabanDa	215678		2					2	0
kaTAprasaNga	23840	1	1			eine sich darbietende Gelegenheit sich zu unterhalten, — von Etwas zu reden; bei Gelegenheit einer Unterhaltung, im Verlauf des Gesprächs, gelegentlich	comm.zukavyad,nais	6	6
kaTAprasaNga	23841	2	2					6	6
kaTAprasaNga	23841	2	3	1	1〉	schwatzhaft, grosssprecherisch, prahlerisch		6	6
kaTAprasaNga	23841	2	4	1	2〉	mit der Behandlung von Vergiftungen sich abgebend (Charlatan)		6	6
kaTAprasaNga	206994	2	5		2〉		kir,zach.beitr	6	6
kaTAprasaNga	215679	2	6					6	6
kaTAprastAva	205510		1			eine sich darbietende Gelegenheit sich zu unterhalten; im Laufe des Gespräches	kathas	2	0
kaTAprastAva	215680		2					2	0
kaTArRava	23848		1					1	1
kaTAsAra	202904		1				opp.cat	2	0
kaTAsAra	215682		2					2	0
kaTAsaMDi	208752		1			eine Fuge in der Erzählung	kathas	2	0
kaTAsaMDi	215681		2					2	0
kaTAsaritsAgara	23856		1			Erzählungen		1	1
kaTAvaSezI	23854		1			mit Tode abgehen	kad.ii	1	0
kaTAvaSeza	23852	1	1			die Erzählung als einziger Ueberrest; sterben	nais	2	5
kaTAvaSeza	23853	2	2			nur noch in der Erzählung lebend,; verstorben		2	5
kaTI	23859		1			in eine Erzählung umwandeln; verstorben		1	0
kaTaMBAva	23825		1			das Wie	comm.zukaty.sr	1	0
kaTaMkaTA	206993		1			Zweifel	saddh.p	2	0
kaTaMkaTA	215675		2				divyavad	2	0
kaTaMkaTika	23815		1			der da beständig fragt		1	1
kaTaMpramARa	23824		1			von welchem Umfange?	r	1	0
kaTaMrUpa	23812		1			wie aussehend?	r	1	0
kaTaMruru	204369		1				say.zurv	2	0
kaTaMruru	215674		2					2	0
kaTaMvIrya	23813		1			von welcher Macht?	r	1	0
kaTaka	23814		1					5	5
kaTaka	23814		3	1	2〉			5	5
kaTaka	23814		4	2	a〉			5	5
kaTaka	23814		5	2	b〉			5	5
kaTam	23823		1					22	23
kaTam	23823		2	1	1〉	wie? auf welche Weise? woher? wie kommt es, dass —?; wie könnte —? wie sollte —?; wie sollte nicht —?	chr	22	23
kaTam	23823		3	1	2〉	nonne, num; utrum — an	chr	22	23
kaTam	23823		4	1	3〉	wie als Ausruf der Verwunderung	chr,sak	22	23
kaTam	23823		5	1	4〉			22	23
kaTam	23823		6	2	a〉	wie wird es mir wohl ergehen?	r	22	23
kaTam	23823		7	2	b〉	wie viel mehr,; wie viel weniger		22	23
kaTam	23823		10	1	7〉			22	23
kaTam	23823		11	1	8〉			22	23
kaTam	23823		15	1	9〉			22	23
kaTam	23823		17	2	b〉	mit einiger Anstrengung, — Mühe, — genauer Noth, kaum; es fehlte nicht viel, so wären wir verbrannt, aber das Schicksal rettete uns; so eben mit dem Leben davon	mbh,nais	22	23
kaTam	23823		19	1	10〉		kalidasa	22	23
kaTam	23823		21	2	b〉	mit einiger Anstrengung, — Mühe, — genauer Noth, endlich, kaum; beinahe umʼs Leben gekommen		22	23
kaTam	23823		22	2	c〉	ein wenig, nur obenhin, etwas; ganz und gar nicht		22	23
kaTanIya	23820		1					3	4
kaTanika	23819		1			Erzähler	harsac	1	0
kaTantarAm	23821		1			wie — doch?		1	0
kaTay	23827		1					13	17
kaTay	23827		4	1	3〉	angeben, ankündigen, verrathen	chr	13	17
kaTay	23827		7	1	6〉	genannt werden, heissen, gelten für		13	17
kaTay	23827		8			hinterher erwähnen		13	17
kaTay	23827		9					13	17
kaTay	23827		12			unnütze Reden führen	malav	13	17
kaTay	23827		13			erzählen, berichten, reden von, auseinandersetzen		13	17
kaTika	23857		1		1〉			1	1
kaTita	23858		1			Gespräch, Unterhaltung		3	0
kaTita	208753		2			Erzählung	ragh	3	0
kaTita	215683		3					3	0
kaTodGAta	23861		1					3	1
kaTodGAta	23861		2	1	1〉	Beginn einer Erzählung	ragh	3	1
kaTodaya	23860		1					3	1
kaTodaya	23860		3	1	2〉	Angabe, Anführung	sak	3	1
kaTya	23862		1			zu erzählen; von dem man reden darf, zu erwähnen	dasak	1	1
kaW	23531		1					1	2
kaWAhaka	215634		2			Pfanne	divyavad	2	1
kaWIy	23556		1					1	1
kaWa	23532		1					8	3
kaWa	23532		2	1	1〉			8	3
kaWa	23532		3	2	a〉			8	3
kaWa	23532		4	2	b〉	ein Schüler —, Anhänger des		8	3
kaWa	23532		5	2	c〉	ein Brahman		8	3
kaWa	23532		6	1	2〉			8	3
kaWa	23532		7	2	a〉	eine Schülerin —, Anhängerin des		8	3
kaWa	23532		8	2	b〉	eine Brahmanenfrau		8	3
kaWaSAWa	23539		1					4	3
kaWaSAWa	202895		2				kas.zup	4	3
kaWaSAWa	208747		3				kas.zup	4	3
kaWaSAWa	215646		4					4	3
kaWaSruti	23540		1					1	0
kaWakAlApa	23533		1			die Schule des; und		1	0
kaWakOTuma	23534		1			die Schule des; und		1	0
kaWalya	23537		1			Gries, Kies	chr,lalit	1	1
kaWamarda	23535		1					1	1
kaWavallI	23538		1					1	0
kaWera	23558		1			ein Armer		1	2
kaWeraRi	23559		1			sein Geschlecht		1	2
kaWiYjara	23544		1			Ocimum sanctum		1	3
kaWikA	23543		1					3	3
kaWikA	23543		3	1	2〉	Ocimum sanctum		3	3
kaWilla	23554		1					3	4
kaWilla	23554		2	1	1〉	Momordica charantia		3	4
kaWilla	23554		3	1	2〉	Gries;		3	4
kaWillaka	23555		1					4	0
kaWillaka	23555		2	1	1〉	Momordica charantia		4	0
kaWillaka	23555		3	1	2〉	Ocimum sanctum		4	0
kaWillaka	23555		4	1	3〉	Boerhavia diffusa		4	0
kaWinAvadAna	23551		1					1	0
kaWinI	23552		1				caraka	3	0
kaWinI	208748		2					3	0
kaWinI	215649		3					3	0
kaWina	23545		1					11	10
kaWina	23545		2	1	1〉	hart; heftig		11	10
kaWina	23545		3	1	2〉			11	10
kaWina	23545		5	2	b〉	eine Art Betelpalme	gal	11	10
kaWina	23545		7	1	4〉			11	10
kaWina	23545		10	2	c〉	Schaufel		11	10
kaWina	215647		11			ein in einem Tage verfertigtes Kleid, das einem Mönch geschenkt wird,	ebend,mahavy	11	10
kaWinaPala	23549		1			Feronia elephantum	rajan	1	0
kaWinaka	23546		1					3	0
kaWinaka	23546		2	1	1〉	Schaufel		3	0
kaWinaka	23546		3	1	2〉	Kreide		3	0
kaWinatArakanATa	215648		1			Vollmond	rudratasrngarat	1	0
kaWinay	23550		1			hart machen	viddh	1	0
kaWinekzu	23553		1			eine Art Zuckerrohr	gal	1	0
kaWola	23568		1			hart		1	1
kaWopanizad	23560		1					1	0
kaWorI	23567		1			stärker —, intensiver werden	harsac	1	0
kaWora	23561		1					6	3
kaWora	23561		2	1	1〉	hart, steif, fest		6	3
kaWora	23561		3	1	2〉	scharf		6	3
kaWora	23561		4	1	3〉	scharf, durchdringend		6	3
kaWora	23561		5	1	4〉	hart, hartherzig		6	3
kaWoracitta	23563		1			hartherzig	chr,ind.st	1	0
kaWoratArADipa	23565		1			Vollmond	sis	1	0
kaWoray	23566		1			üppig machen; kräftig geworden, zur vollen Entwickelung gelangt	harsac	1	1
kaYc	23346		1					1	2
kaYcaqa	23348		1			{{Commelina bengalensis->Commelina benghalensis||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}	bhavapr	1	0
kaYcawa	23347		1			commelina salicifolia und bengalensis		1	1
kaYcideka	23351		1					1	1
kaYcikA	23350		1					3	3
kaYcuka	23352		1					8	9
kaYcuka	23352		2	1	1〉	eine eng anschliessende Bekleidung des Oberkörpers: Panzer, Wamms, Mieder, Jacke	spr	8	9
kaYcuka	23352		5	1	4〉	Einhüllung eines Stoffes in andere	bhavapr	8	9
kaYcuka	23352		6	1	5〉	äussere, leicht wieder abzustreifende Hülle	hemadri	8	9
kaYcuka	23352		7	1	6〉			8	9
kaYcuka	23352		8	1	7〉	Lepeocercis serrata Trin.		8	9
kaYcukin	23355		1					10	9
kaYcukin	23355		3	1	2〉			10	9
kaYcukin	23355		4	2	a〉	Kämmerer, Kämmerling		10	9
kaYcukin	23355		6	2	c〉	Wüstling, leichtsinniger Geselle		10	9
kaYcukin	23355		7	2	d〉	Agallochum		10	9
kaYcukin	23355		9	2	f〉	Cicer arietinum	rajan	10	9
kaYcukin	23355		10	2	g〉	Lepeocercis serrata Trin.		10	9
kaYcukita	23354		1			gepanzert; dessen Härchen sich sträuben	ind.st	1	2
kaYcukopAnahin	202887		1			ein Wamms und Schuhe tragend	apast	2	0
kaYcukopAnahin	215623		2					2	0
kaYcukozRIzin	23357		1			mit einem Panzer und einem Turban versehen	r	1	0
kaYcula	23359		1					3	0
kaYcula	23359		2	1	1〉	Rebhuhn	gal	3	0
kaYcula	23359		3	1	2〉	Panzer	gal	3	0
kaYcumAlinI	23358		1			Andropogon aciculatus	gal	1	0
kaYjAra	23370		1					8	9
kaYjAra	23370		7	1	6〉			8	9
kaYjAra	23370		8	1	7〉			8	9
kaYjaka	23362		1			Predigerkrähe		1	2
kaYjala	23368		1			Predigerkrähe		1	2
kaYjana	23364		1					3	3
kaYjana	23364		2	1	1〉	Predigerkrähe		3	3
kaYjara	23367		1					5	6
kaYjara	23367		5	1	4〉			5	6
kaYjasU	23369		1			der Liebesgott	gal	1	0
kaYjikA	23371		1			{{Siphonanthus indica->Siphonanthus indicus||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		1	1
kaYjinI	23372		1			Hetäre	gal	1	0
kab	24382		1					1	2
kabanDa	24383		1					1	9
kabarAkza	24386		1			eine Art Schleier	gal	1	0
kabara	24384		1					12	1
kabara	24384		2	1	1〉	gesprenkelt, bunt		12	1
kabara	24384		3	1	2〉	Haarflechte	chr,spr	12	1
kabara	24384		4	1	3〉	der Etwas hersagt		12	1
kabara	24384		5	1	4〉	Ocimum gratissimum		12	1
kabara	24384		6	1	5〉			12	1
kabara	24384		7	2	a〉	Acacia arabica; rother Oleander	nigh.pr	12	1
kabara	24384		8	2	b〉		ind.st	12	1
kabara	24384		9	1	6〉			12	1
kabara	24384		10	2	a〉	Salz		12	1
kabara	24384		11	2	b〉	Säure		12	1
kabara	24384		12	2	c〉	eine Art Sandelholz	gal	12	1
kabarapucCI	24385		1			einen flechtenähnlichen Schweif habend		1	0
kabila	24388		1					1	1
kabitTa	24387		1					1	1
kac	23285		1					4	5
kac	23285		3					4	5
kac	23285		4					4	5
kacAku	23297		1					5	4
kacAku	23297		2	1	1〉			5	4
kacAku	23297		3	2	a〉	schlechten Charakters		5	4
kacAmoda	23299		1			Pavonia odorata		1	1
kacAra	206984		1			Teich	bhadrab	1	0
kacAwura	23298		1			eine best. Hühnerart		1	1
kacCAlaMkAra	23321		1			das Schreibrohr	nigh.pr	1	0
kacCAntaruhA	23319		1			Gras	rajan	1	0
kacCAra	23320		1				varah.brh.s	1	0
kacCAwikA	23318		1					1	1
kacCUla	23329		1					1	1
kacCUmatI	23327		1			Carpopogon pruriens		1	2
kacCUrAkzasa	23328		1			ein öliges Präparat gegen Krätze	bhavapr	1	0
kacCa	23309		1					12	11
kacCa	23309		2	1	1〉	Ufer, morastiges Land an den Ufern von Flüssen und andern Gewässern		12	11
kacCa	23309		3	1	2〉			12	11
kacCa	23309		4	1	3〉	Cedrela toona; Hibiscus populneoides		12	11
kacCa	23309		5	1	4〉	Saum, Borde		12	11
kacCa	23309		8	1	7〉			12	11
kacCa	23309		9	1	8〉			12	11
kacCa	23309		11	2	b〉	Dioscorea		12	11
kacCa	23309		12	2	c〉	Gürtel, Leibgurt,	nilak.zumbh	12	11
kacCajA	23310		1			eine Cyperus-Species	gal	1	0
kacCanIra	23313		1				ind.st	1	1
kacCapArAvata	206986		1			eine Taubenart	alamkarav	1	0
kacCapa	23314		1					16	14
kacCapa	23314		2	1	1〉			16	14
kacCapa	23314		7	2	e〉	{{Gedrela toona->Cedrela toona||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		16	14
kacCapa	23314		8	2	f〉	einer der 9 Schätze		16	14
kacCapa	23314		9	2	g〉			16	14
kacCapa	23314		10	3				16	14
kacCapa	23314		11	3				16	14
kacCapa	23314		12	3				16	14
kacCapa	23314		13	1	2〉			16	14
kacCapa	23314		15	2	b〉	eine Art Abscess		16	14
kacCapa	23314		16	2	c〉	eine Art Laute	s.s.s	16	14
kacCapaka	23315		1					5	1
kacCapaka	23315		3	1	2〉			5	1
kacCapaka	23315		4	2	a〉	eine kleine Schildkröte		5	1
kacCapaka	23315		5	2	b〉	eine Art Abscess		5	1
kacCapuwa	23316		1					3	2
kacCapuwa	23316		3	1	2〉		buhlerrep.no	3	2
