root	preverb	sense	gita_count	prefixus_forms	prefixus_sample_form	class_freqs	sources
niścotay						10:3	classfreq
niścyutay						10:1	classfreq
niścāray						10:43	classfreq
niśram						4:1	classfreq
niśri						1:35	classfreq
niśuc						1:1	classfreq
niśvas						2:44	classfreq
niśā						3:529	classfreq
niśāmay						10:429	classfreq
niśās						2:1	classfreq
niśṛ						9:1	classfreq
niḥkṣip						6:25	classfreq
niḥsah						1:1	classfreq
niḥsarpay						10:1	classfreq
niḥsnehīkṛ						8:1	classfreq
niḥsru						1:13	classfreq
niḥsrāvay						10:3	classfreq
niḥsvan						1:2	classfreq
niḥsvībhū						1:1	classfreq
niḥsāray						10:11	classfreq
niḥsṛ						1:215	classfreq
niḥsṛj						6:4	classfreq
niḥsṛp						1:4	classfreq
niḥśaṁs						2:1	classfreq
niḥśeṣay						10:7	classfreq
niḥśvas						2:183	classfreq
niḥśī						2:2	classfreq
niḥṣic						6:1	classfreq
niḥṣyanday						10:1	classfreq
niḥṣū						6:1	classfreq
niḥṣṭhā						1:5	classfreq
niḥṣṭhīv						1:5	classfreq
niṁs						2:7	classfreq
niṣad						1:503	classfreq
niṣañj						1:9	classfreq
niṣaṅgībhū						1:1	classfreq
niṣecay						10:89	classfreq
niṣedhay						10:6	classfreq
niṣev						1:380	classfreq
niṣevay						10:2	classfreq
niṣic						6:93	classfreq
niṣidh						1:106	classfreq
niṣiñcay						10:10	classfreq
niṣkalmaṣībhū						1:1	classfreq
niṣkaluṣībhū						1:1	classfreq
niṣkas						1:17	classfreq
niṣkhid						6:1	classfreq
niṣkram						6:283	classfreq
niṣkramay						10:4	classfreq
niṣkrāmay						10:8	classfreq
niṣkrī						9:9	classfreq
niṣkulākṛ						8:1	classfreq
niṣkulīkṛ						8:1	classfreq
niṣkuṣ						9:3	classfreq
niṣkvāthay						10:23	classfreq
niṣkāsay						10:54	classfreq
niṣkūj						1:2	classfreq
niṣkṛ						8:7	classfreq
niṣkṛt						6:6	classfreq
niṣkṛṣ						1:39	classfreq
niṣkṝ						6:5	classfreq
niṣpad						4:101	classfreq
niṣpat						1:96	classfreq
niṣpatrākṛ						8:1	classfreq
niṣpiṣ						6:76	classfreq
niṣpluṣ						1:1	classfreq
niṣplāvay						10:1	classfreq
niṣprabhīkṛ						8:1	classfreq
niṣprekṣ						1:1	classfreq
niṣpā						1:5	classfreq
niṣpāday						10:51	classfreq
niṣpātay						10:2	classfreq
niṣpīḍay						10:53	classfreq
niṣpū						9:5	classfreq
niṣpṛc						7:2	classfreq
niṣāday						10:6	classfreq
niṣūday						10:38	classfreq
niṣṇā						2:1	classfreq
niṣṭan						1:26	classfreq
niṣṭap						1:28	classfreq
niṣṭhā						1:53	classfreq
niṣṭhīv						1:24	classfreq
nnībhū	prasa-			1	prasannībhū		prefixus
nnīkṛ	prasa-			1	prasannīkṛ		prefixus
noday				1	noday	10:10	prefixus+classfreq
noday	abhi-			1	abhinoday		prefixus
noday	abhivi-			1	abhivinoday		prefixus
noday	vi-			1	vinoday		prefixus
nu						1:1	classfreq
nud		remove	1	1	nud	2:202	prefixus+semantics+classfreq
nud	abhi-			1	abhinud		prefixus
nud	apa-			1	apanud		prefixus
nud	apā-			1	apānud		prefixus
nud	ava-			1	avanud		prefixus
nud	prati-			1	pratinud		prefixus
nud	samapa-			1	samapanud		prefixus
nud	upa-			1	upanud		prefixus
nud	vi-			1	vinud		prefixus
nud	vyapa-			1	vyapanud		prefixus
nud	vyapā-			1	vyapānud		prefixus
nyakkṛ						8:5	classfreq
nyarpay						10:1	classfreq
nyas						2:736	classfreq
nyañc						1:3	classfreq
nyañj						7:2	classfreq
nye						2:1	classfreq
nyer						2:4	classfreq
nyubj						6:1	classfreq
nyubjīkṛ						8:1	classfreq
nyuṣ						1:1	classfreq
nyāgam						1:1	classfreq
nyānī						1:1	classfreq
nyāsay						10:10	classfreq
nyāsīkṛ						8:4	classfreq
nyūh						1:1	classfreq
nyṛj						7:2	classfreq
nyṛṣ						6:5	classfreq
nāday				1	nāday	10:139	prefixus+classfreq
nāday	abhi-			1	abhināday		prefixus
nāday	anu-			1	anunāday		prefixus
nāday	anuvi-			1	anuvināday		prefixus
nāday	ava-			1	avanāday		prefixus
nāday	ni-			1	nināday		prefixus
nāday	prati-			1	pratināday		prefixus
nāday	saṃ-			1	saṃnāday		prefixus
nāday	upa-			1	upanāday		prefixus
nāday	vi-			1	vināday		prefixus
nāday	vyanu-			1	vyanunāday		prefixus
nādh						1:21	classfreq
nāhay				1	nāhay	10:1	prefixus+classfreq
nāhay	upa-			1	upanāhay		prefixus
nāmay				1	nāmay	10:22	prefixus+classfreq
nāmay	abhyava-			1	abhyavanāmay		prefixus
nāmay	anu-			1	anunāmay		prefixus
nāmay	ava-			1	avanāmay		prefixus
nāmay	saṃ-			1	saṃnāmay		prefixus
nāmay	upa-			1	upanāmay		prefixus
nāmay	vi-			1	vināmay		prefixus
nāmay	vyā-			1	vyānāmay		prefixus
nāmay	ā-			1	ānāmay		prefixus
nāth						1:13	classfreq
nāthīkṛ	sa-			1	sanāthīkṛ		prefixus
nāyay				1	nāyay	10:3	prefixus+classfreq
nāyay	samā-			1	samānāyay		prefixus
nāyay	upa-			1	upanāyay		prefixus
nāyay	ā-			1	ānāyay		prefixus
nāśay				1	nāśay	10:384	prefixus+classfreq
nāśay	vi-			1	vināśay		prefixus
nāśay	vyapa-			1	vyapanāśay		prefixus
nāṭay				1	nāṭay	10:3	prefixus+classfreq
nī		lead	1	2	nī	2:3582	prefixus+semantics+classfreq
nī	abhi-			1	abhinī		prefixus
nī	abhisaṃ-			1	abhisaṃnī		prefixus
nī	abhivi-			1	abhivinī		prefixus
nī	abhyā-			1	abhyānī		prefixus
nī	anu-			1	anunī		prefixus
nī	anvā-			1	anvānī		prefixus
nī	apa-			1	apanī		prefixus
nī	api-			1	apinī		prefixus
nī	apā-			1	apānī		prefixus
nī	ati-			1	atinī		prefixus
nī	ava-			1	avanī		prefixus
nī	ni-			1	ninī		prefixus
nī	paryanu-			1	paryanunī		prefixus
nī	prati-			1	pratinī		prefixus
nī	pratisamā-			1	pratisamānī		prefixus
nī	prativi-			1	prativinī		prefixus
nī	pratyanu-			1	pratyanunī		prefixus
nī	pratyā-			1	pratyānī		prefixus
nī	samudā-			1	samudānī		prefixus
nī	samupa-			1	samupanī		prefixus
nī	samā-			1	samānī		prefixus
nī	saṃ-			1	saṃnī		prefixus
nī	udā-			1	udānī		prefixus
nī	upa-			1	upanī		prefixus
nī	vi-			1	vinī		prefixus
nī	vyapa-			1	vyapanī		prefixus
nī	ā-			1	ānī		prefixus
nīcīkṛ				1	nīcīkṛ	8:2	prefixus+classfreq
nīkṛ	āsa-			1	āsanīkṛ		prefixus
nīḍay						10:1	classfreq
nū				1	nū	1:99	prefixus+classfreq
nṛt				1	nṛt	4:326	prefixus+classfreq
nṛt	pari-			1	parinṛt		prefixus
nṛt	pra-			1	pranṛt		prefixus
nṛt	saṃpra-			1	saṃpranṛt		prefixus
nṛt	upa-			1	upanṛt		prefixus
nṛt	ā-			1	ānṛt		prefixus
omībhū	vy-			1	vyomībhū		prefixus
p	abhiprā-			1	abhiprāp		prefixus
p	abhisamprā-			1	abhisamprāp		prefixus
p	anuprā-			1	anuprāp		prefixus
p	anusamprā-			1	anusamprāp		prefixus
p	pariprā-			1	pariprāp		prefixus
p	prā-			1	prāp		prefixus
p	samanuprā-			1	samanuprāp		prefixus
p	samprā-			1	samprāp		prefixus
p	samāsu-			1	samāsup		prefixus
p	upasaṃprā-			1	upasaṃprāp		prefixus
pac		cook	2	1	pac	1:1841	prefixus+semantics+classfreq
pac	abhi-			1	abhipac		prefixus
pac	abhipra-			1	abhiprapac		prefixus
pac	pari-			1	paripac		prefixus
pac	pra-			1	prapac		prefixus
pac	sampra-			1	samprapac		prefixus
pac	saṃ-			1	saṃpac		prefixus
pac	vi-			1	vipac		prefixus
pad		surrender	12	1	pad	4:53	prefixus+semantics+classfreq
pad	abhi-			1	abhipad		prefixus
pad	abhipra-			1	abhiprapad		prefixus
pad	abhiprati-			1	abhipratipad		prefixus
pad	abhisam-			1	abhisampad		prefixus
pad	abhisampra-			1	abhisamprapad		prefixus
pad	abhyava-			1	abhyavapad		prefixus
pad	abhyupa-			1	abhyupapad		prefixus
pad	anu-			1	anupad		prefixus
pad	anupra-			1	anuprapad		prefixus
pad	anuprati-			1	anupratipad		prefixus
pad	ati-			1	atipad		prefixus
pad	ava-			1	avapad		prefixus
pad	ni-			1	nipad		prefixus
pad	paryā-			1	paryāpad		prefixus
pad	pra-			1	prapad		prefixus
pad	prati-			1	pratipad		prefixus
pad	prati-,sam-	attain					semantics
pad	pratyā-			1	pratyāpad		prefixus
pad	sam-			1	sampad		prefixus
pad	samabhi-			1	samabhipad		prefixus
pad	sampra-			1	samprapad		prefixus
pad	samprati-			1	sampratipad		prefixus
pad	samupa-			1	samupapad		prefixus
pad	samā-			1	samāpad		prefixus
pad	upa-	exist		1	upapad		prefixus+semantics
pad	upapra-			1	upaprapad		prefixus
pad	upasaṃ-			1	upasaṃpad		prefixus
pad	vi-			1	vipad		prefixus
pad	vini-			1	vinipad		prefixus
pad	viprati-			1	vipratipad		prefixus
pad	vyā-			1	vyāpad		prefixus
pad	ā-			1	āpad		prefixus
pakvīkṛ				1	pakvīkṛ	8:1	prefixus+classfreq
pakṣ						1:1	classfreq
pakṣībhū				1	pakṣībhū	1:1	prefixus+classfreq
pakṣīkṛ				1	pakṣīkṛ	8:2	prefixus+classfreq
pallavīkṛ				1	pallavīkṛ	8:1	prefixus+classfreq
pan						1:8	classfreq
panay						10:9	classfreq
parameśvarībhū				1	parameśvarībhū	1:2	prefixus+classfreq
parameśvarīkṛ				1	parameśvarīkṛ	8:1	prefixus+classfreq
paratantrīkṛ				1	paratantrīkṛ	8:1	prefixus+classfreq
pare				1	pare	2:94	prefixus+classfreq
pari	ati-			1	atipari		prefixus
paribandh						9:5	classfreq
paribhakṣay						10:4	classfreq
paribharjay						10:1	classfreq
paribharts						1:4	classfreq
paribhartsay						10:4	classfreq
paribhañj						7:1	classfreq
paribhid						7:4	classfreq
paribhram						4:55	classfreq
paribhramay						10:1	classfreq
paribhraṁś						4:97	classfreq
paribhrāj						1:1	classfreq
paribhuj						6:4|7:77	classfreq
paribhā						2:1	classfreq
paribhāvay						10:53	classfreq
paribhāṣ						1:41	classfreq
paribhū						1:135	classfreq
paribhūṣ						1:4	classfreq
paribhṛjj						6:1	classfreq
paribudh						4:2	classfreq
paribādh						1:5	classfreq
paribṛṁh						1:3	classfreq
paribṛṁhay						10:12	classfreq
paricakṣ						2:29	classfreq
paricar						1:126	classfreq
paricarcay						10:5	classfreq
paricarv						1:1	classfreq
paricchad						1:9	classfreq
paricchid						7:42	classfreq
pariceṣṭ						1:2	classfreq
parici						3:4|5:21	classfreq
paricintay						10:30	classfreq
paricoday						10:8	classfreq
paricumb						1:3	classfreq
paricyu						1:17	classfreq
paricālay						10:2	classfreq
paricāray						10:58	classfreq
paricṛt						6:1	classfreq
paridah						1:18	classfreq
paridaṁś						1:1	classfreq
paridevay						10:47	classfreq
paridham						4:5	classfreq
paridharṣay						10:1	classfreq
paridhiṣṭhā						1:1	classfreq
paridhvaṁs						1:7	classfreq
paridhā						3:141	classfreq
paridhāmay						10:1	classfreq
paridhāpay						10:17	classfreq
paridhāv						1:67	classfreq
paridhū						5:1	classfreq
paridhṛ						1:2	classfreq
paridru						1:1	classfreq
paridrāvay						10:3	classfreq
paridu						5:2	classfreq
paridviṣ						6:1	classfreq
paridā						1:61	classfreq
paridāhay						10:1	classfreq
paridī						4:2	classfreq
paridīp						4:1	classfreq
paridīpay						10:15	classfreq
paridīv						1:37	classfreq
paridṛbh						6:1	classfreq
paridṛś						6:65	classfreq
parigad						1:2	classfreq
parigadh						1:1	classfreq
parigal						1:2	classfreq
parigam						1:75	classfreq
parigamay						10:3	classfreq
parigarh						1:6	classfreq
parigarhay						10:1	classfreq
parigaṇay						10:8	classfreq
parighaṭ						1:2	classfreq
parighaṭṭay						10:3	classfreq
parighrā						3:1	classfreq
parighūrṇ						1:1	classfreq
parighṛṣ						1:3	classfreq
pariglā						4:3	classfreq
parigrah						9:364	classfreq
parigā						3:6|4:17	classfreq
parigālay						10:5	classfreq
parigṛdh						9:1	classfreq
parihan						2:7	classfreq
pariharṣay						10:3	classfreq
parihas						1:5	classfreq
parihi						5:1	classfreq
parihiṇḍ						1:1	classfreq
parihrāsay						10:2	classfreq
parihvṛ						9:1	classfreq
parihā						3:69	classfreq
parihāpay						10:11	classfreq
parihāray						10:2	classfreq
parihāsay						10:1	classfreq
parihṛ						1:193	classfreq
parihṛṣ						4:10	classfreq
parijalp						1:1	classfreq
parijan						4:3	classfreq
parijap						1:4	classfreq
pariji						1:2	classfreq
parijval						1:2	classfreq
parijñā						9:64	classfreq
parijāray						10:4	classfreq
parijṛ						4:12	classfreq
parijṛmbh						1:1	classfreq
parikalay						10:2	classfreq
parikalpay						10:134	classfreq
parikamp						10:1	classfreq
parikarmīkṛ						8:1	classfreq
parikartay						10:2	classfreq
parikarśay						10:2	classfreq
parikarṣay						10:1	classfreq
parikathay						10:7	classfreq
parikhan						1:1	classfreq
parikheday						10:2	classfreq
parikhid						4:10	classfreq
parikhyā						2:7	classfreq
pariklam						4:2	classfreq
parikleday						10:1	classfreq
parikleśay						10:1	classfreq
pariklid						4:13	classfreq
parikliś						9:48	classfreq
parikopay						10:2	classfreq
parikram						6:99	classfreq
parikruś						1:7	classfreq
parikrī						9:16	classfreq
parikrīḍ						1:2	classfreq
parikup						4:3	classfreq
parikuṭ						4:1	classfreq
parikvaṇ						1:1	classfreq
parikālay						10:7	classfreq
parikīrtay						10:423	classfreq
parikṛ						6:10|8:3	classfreq
parikṛt						6:8	classfreq
parikṛṣ						6:30	classfreq
parikṣan						8:20	classfreq
parikṣar						1:2	classfreq
parikṣepay						10:1	classfreq
parikṣi						2:5|5:55	classfreq
parikṣip						6:103	classfreq
parikṣu						2:1	classfreq
parikﾱp						1:1	classfreq
parilamb						1:3	classfreq
parilekhay						10:1	classfreq
parilepay						10:12	classfreq
parilih						6:5	classfreq
parilikh						6:4	classfreq
parilip						6:7	classfreq
parilolay						10:1	classfreq
pariloḍay						10:1	classfreq
parilul						1:1	classfreq
parilup						6:4	classfreq
pariluṇṭh						1:1	classfreq
pariluṭh						6:1	classfreq
parilī						4:2	classfreq
parimad						4:1	classfreq
parimajj						1:1	classfreq
pariman						4:2	classfreq
parimarday						10:26	classfreq
parimarśay						10:2	classfreq
parimelay						10:1	classfreq
parimlā						4:14	classfreq
parimocay						10:6	classfreq
parimoday						10:1	classfreq
parimohay						10:5	classfreq
parimokṣay						10:4	classfreq
parimoṣay						10:1	classfreq
parimuc						6:52	classfreq
parimuh						4:5	classfreq
parimuṣ						4:6	classfreq
parimā						3:81	classfreq
parimāray						10:1	classfreq
parimārjay						10:17	classfreq
parimūrchay						10:3	classfreq
parimṛ						1:1	classfreq
parimṛd						1:6	classfreq
parimṛdh						6:1	classfreq
parimṛj						6:74	classfreq
parimṛś						6:17	classfreq
parinand						1:2	classfreq
parinind						1:1	classfreq
parinipīḍay						10:1	classfreq
parinirmā						3:10	classfreq
parinirvā						2:33	classfreq
parinirvāpay						10:19	classfreq
parinirvṛ						5:44	classfreq
parinirṇij						2:1	classfreq
pariniyam						1:1	classfreq
pariniści						5:4	classfreq
pariniścintay						10:1	classfreq
pariniṣecay						10:1	classfreq
pariniṣev						1:1	classfreq
pariniṣpad						4:1	classfreq
pariniṣṭhā						1:34	classfreq
parinyas						4:1	classfreq
parinṛt						4:4	classfreq
paripac						4:6	classfreq
paripat						1:54	classfreq
paripaś						4:4	classfreq
paripaṭh						1:15	classfreq
paripeṣay						10:6	classfreq
paripiṣ						7:2	classfreq
pariplu						1:127	classfreq
pariplāvay						10:6	classfreq
paripoṣay						10:3	classfreq
paripracch						6:281	classfreq
pariprasyand						1:1	classfreq
paripravac						3:1	classfreq
pariprayā						2:1	classfreq
paripraśnīkṛ						8:7	classfreq
paripre						2:1	classfreq
pariprokṣay						10:1	classfreq
pariprāp						5:2	classfreq
pariprāpay						10:4	classfreq
pariprī						9:3	classfreq
paripuṣ						9:2	classfreq
paripā						1:20|2:14	classfreq
paripācay						10:31	classfreq
paripālay						10:151	classfreq
paripātay						10:1	classfreq
paripāṭay						10:2	classfreq
paripāṭhay						10:1	classfreq
paripīḍay						10:36	classfreq
paripū						9:13	classfreq
paripūjay						10:23	classfreq
paripūray						10:44	classfreq
paripṛ						9:173	classfreq
parirabh						1:35	classfreq
parirakṣ						1:143	classfreq
parirambhay						10:1	classfreq
parirudh						7:2	classfreq
pariruh						6:1	classfreq
pariruj						6:1	classfreq
parisamādā						3:1	classfreq
parisamāp						5:18	classfreq
parisamūh						1:16	classfreq
parisarpay						10:4	classfreq
parisaṁhṛṣ						6:1	classfreq
parisaṁkhyā						2:42	classfreq
parisaṁkṣip						6:1	classfreq
parisaṁlih						2:9	classfreq
parisaṁpat						1:1	classfreq
parisaṁplu						1:1	classfreq
parisaṁspṛś						6:1	classfreq
parisaṁsthā						1:1	classfreq
parisaṁsthāpay						10:3	classfreq
parisaṁstu						2:1	classfreq
parisaṁstṛ						9:2	classfreq
parisaṁsṛj						6:1	classfreq
parisaṁtap						1:3	classfreq
parisaṁtuṣ						4:1	classfreq
parisaṁvah						4:7	classfreq
parisaṁvāray						10:1	classfreq
parisaṁśudh						4:1	classfreq
parisevay						10:1	classfreq
pariskhal						1:2	classfreq
parismṛ						1:1	classfreq
parisnu						2:1	classfreq
parisnā						2:1	classfreq
parispand						1:4	classfreq
parisphur						6:8	classfreq
parisphuṭ						6:2	classfreq
parispṛś						6:5	classfreq
parisraṁs						1:2	classfreq
parisru						1:30	classfreq
parisrāvay						10:19	classfreq
paristṛ						9:57	classfreq
parisu						5:2	classfreq
parisveday						10:1	classfreq
parisvid						1:2	classfreq
parisādhay						10:3	classfreq
parisṛ						3:6	classfreq
parisṛp						1:26	classfreq
paritakṣ						2:1	classfreq
paritam						4:2	classfreq
paritan						8:2	classfreq
paritap						4:82	classfreq
paritarjay						10:3	classfreq
paritarpay						10:2	classfreq
paritaṁsay						10:2	classfreq
paritoṣay						10:35	classfreq
paritras						4:20	classfreq
paritrā						4:63	classfreq
paritud						6:2	classfreq
parituṇḍay						10:1	classfreq
parituṣ						4:89	classfreq
parityaj						1:635	classfreq
parityājay						10:1	classfreq
paritāpay						10:10	classfreq
paritāḍay						10:1	classfreq
paritṛp						4:5	classfreq
parivac						3:1	classfreq
parivad						1:12	classfreq
parivah						1:8	classfreq
parivand						1:1	classfreq
parivardhay						10:4	classfreq
parivarjay						10:199	classfreq
parivartay						10:63	classfreq
parivas						1:6	classfreq
parivañcay						10:1	classfreq
parive						4:1	classfreq
parivellay						10:1	classfreq
pariveṣay						10:9	classfreq
pariveṣṭay						10:71	classfreq
parivibhāvay						10:1	classfreq
parivid						2:1|6:6	classfreq
parivikṣan						8:4	classfreq
parivistṛ						9:1	classfreq
pariviś						6:2	classfreq
pariviśram						4:3	classfreq
pariviśvas						2:4	classfreq
pariviśvāsay						10:1	classfreq
pariviṣ						4:25	classfreq
parivraj						1:23	classfreq
parivyadh						4:1	classfreq
parivye						4:21	classfreq
parivācay						10:1	classfreq
parivāday						10:1	classfreq
parivāhay						10:4	classfreq
parivāpay						10:3	classfreq
parivāray						10:498	classfreq
parivārīkṛ						8:1	classfreq
parivāsay						10:6	classfreq
parivīj						1:3	classfreq
parivījay						10:1	classfreq
parivṛ						5:468|9:1	classfreq
parivṛdh						1:5	classfreq
parivṛj						7:5	classfreq
parivṛt						1:202	classfreq
parivṛṣ						1:1	classfreq
pariyaj						1:2	classfreq
pariyat						1:4	classfreq
pariyojay						10:5	classfreq
pariyā						2:19	classfreq
pariśak						5:1	classfreq
pariśamay						10:1	classfreq
pariśap						1:1	classfreq
pariśaṅk						1:24	classfreq
pariśeṣay						10:2	classfreq
pariśiṣ						7:27	classfreq
pariśobhay						10:4	classfreq
pariśodhay						10:18	classfreq
pariśoṣay						10:16	classfreq
pariśram						4:107	classfreq
pariśri						1:12	classfreq
pariśru						5:29	classfreq
pariśrī						9:1	classfreq
pariśubh						6:2	classfreq
pariśuc						2:6	classfreq
pariśudh						4:58	classfreq
pariśuṣ						4:23	classfreq
pariśātay						10:1	classfreq
pariśī						2:3	classfreq
pariśṛ						9:2	classfreq
pariḍhakkay						10:1	classfreq
pariṇah						4:4	classfreq
pariṇam						1:104	classfreq
pariṇamay						10:3	classfreq
pariṇihan						2:1	classfreq
pariṇiviś						6:1	classfreq
pariṇud						6:1	classfreq
pariṇāmay						10:138	classfreq
pariṇāyay						10:1	classfreq
pariṇī						2:101	classfreq
pariṇū						2:1	classfreq
pariṣad						1:7	classfreq
pariṣañj						1:1	classfreq
pariṣecay						10:28	classfreq
pariṣev						1:5	classfreq
pariṣic						6:87	classfreq
pariṣkand						1:1	classfreq
pariṣkṛ						5:137	classfreq
pariṣvaj						1:282	classfreq
pariṣyanday						10:1	classfreq
pariṣū						2:6	classfreq
pariṣṭhā						1:10	classfreq
pariṣṭhāpay						10:1	classfreq
pariṣṭubh						1:6	classfreq
paruṣībhū				1	paruṣībhū	1:1	prefixus+classfreq
paruṣīkṛ				1	paruṣīkṛ	8:2	prefixus+classfreq
parvatīkṛ						8:1	classfreq
paryagnikṛ						8:5	classfreq
paryantīkṛ						8:2	classfreq
paryanunī						1:1	classfreq
paryanuveday						10:1	classfreq
paryanuyuj						7:11	classfreq
paryanviṣ						6:3	classfreq
paryas						4:48	classfreq
paryavacchid						7:2	classfreq
paryavajñā						9:1	classfreq
paryavakṛ						6:3	classfreq
paryavanah						4:15	classfreq
paryavaropay						10:1	classfreq
paryavasthā						1:31	classfreq
paryavasthāpay						10:7	classfreq
paryavasā						6:9	classfreq
paryavaśiṣ						4:1	classfreq
paryave						2:4	classfreq
paryavekṣ						1:5	classfreq
paryavāp						5:129	classfreq
paryaś						9:4	classfreq
paryaṅkīkṛ						8:1	classfreq
paryaṭ						1:58	classfreq
parye						2:10	classfreq
paryeṣay						10:1	classfreq
paryudas						4:2	classfreq
paryudvij						6:1	classfreq
paryukṣ						6:22	classfreq
paryupabhuj						7:1	classfreq
paryupalip						6:1	classfreq
paryupasad						1:1	classfreq
paryupasthā						1:28	classfreq
paryupaviś						6:3	classfreq
paryupe						2:1	classfreq
paryupās						4:130	classfreq
paryupāvṛt						1:1	classfreq
paryutthā						1:1	classfreq
paryādhā						3:4	classfreq
paryādru						1:1	classfreq
paryādā						3:11	classfreq
paryāgam						1:12	classfreq
paryāhve						4:2	classfreq
paryāhṛ						1:2	classfreq
paryākram						6:3	classfreq
paryākulīkṛ						8:1	classfreq
paryākṛ						8:1	classfreq
paryākṣip						6:1	classfreq
paryālabh						1:1	classfreq
paryālocay						10:1	classfreq
paryāmuc						6:1	classfreq
paryāp						5:158	classfreq
paryāpad						4:15	classfreq
paryāpat						1:1	classfreq
paryās						2:2	classfreq
paryāvṛ						5:1	classfreq
paryāvṛt						1:13	classfreq
paryāśvas						2:3	classfreq
paryāśvāsay						10:5	classfreq
paryāṇī						1:2	classfreq
paryāṭay						10:1	classfreq
paryūh						1:4	classfreq
paryṛṣ						6:3	classfreq
parābhid						7:11	classfreq
parābhāvay						10:7	classfreq
parābhū						1:49	classfreq
parābhṛ						3:4	classfreq
parādru						1:1	classfreq
parādā						3:19	classfreq
parāgam						1:7	classfreq
parāgā						3:2	classfreq
parāhan						2:25	classfreq
parāhṛ						1:2	classfreq
parāji						2:197	classfreq
parākram						6:81	classfreq
parākruś						4:1	classfreq
parākṛ						6:1|8:8	classfreq
parākṛṣ						1:3	classfreq
parāmṛj						2:2	classfreq
parāmṛś						6:97	classfreq
parāmṛṣ						6:2	classfreq
parānuyā						2:2	classfreq
parāpat						1:12	classfreq
parāpṛṣṭhībhū						1:1	classfreq
parāpṛṣṭhīkṛ						8:4	classfreq
parās						4:6	classfreq
parāsic						6:4	classfreq
parāsṛj						6:1	classfreq
parāvadh						1:1	classfreq
parāvap						1:2	classfreq
parāvartay						10:3	classfreq
parāvas						1:1	classfreq
parāvṛj						7:1	classfreq
parāvṛt						1:50	classfreq
parāyat						1:6	classfreq
parāśvas						2:6	classfreq
parāśṛ						9:2	classfreq
parāṅmukhībhū						1:1	classfreq
parāṅmukhīkṛ						8:2	classfreq
parāṇud						6:5	classfreq
parī				1	parī	2:311	prefixus+classfreq
parī	abhi-			1	abhiparī		prefixus
parī	anu-			1	anuparī		prefixus
parī	sam-			1	samparī		prefixus
parī	vi-			1	viparī		prefixus
parīkṣ				1	parīkṣ	1:305	prefixus+classfreq
parīkṣ	pra-			1	praparīkṣ		prefixus
parīkṣay				1	parīkṣay	10:18	prefixus+classfreq
parīvṛ				1	parīvṛ	5:11	prefixus+classfreq
parīṇaś						1:1	classfreq
parīṣ				1	parīṣ	6:38	prefixus+classfreq
pat		fall	2	1	pat	1:2775	prefixus+semantics+classfreq
pat	abhi-			1	abhipat		prefixus
pat	abhisam-			1	abhisampat		prefixus
pat	abhyava-			1	abhyavapat		prefixus
pat	abhyā-			1	abhyāpat		prefixus
pat	anu-			1	anupat		prefixus
pat	ati-			1	atipat		prefixus
pat	ava-			1	avapat		prefixus
pat	ni-			1	nipat		prefixus
pat	pari-			1	paripat		prefixus
pat	parisaṃ-			1	parisaṃpat		prefixus
pat	paryā-			1	paryāpat		prefixus
pat	parā-			1	parāpat		prefixus
pat	pra-			1	prapat		prefixus
pat	prati-			1	pratipat		prefixus
pat	sam-			1	sampat		prefixus
pat	samā-			1	samāpat		prefixus
pat	saṃni-			1	saṃnipat		prefixus
pat	upani-			1	upanipat		prefixus
pat	vi-			1	vipat		prefixus
pat	vini-			1	vinipat		prefixus
pat	vyā-			1	vyāpat		prefixus
pat	ā-			1	āpat		prefixus
patay						10:24	classfreq
pathīkṛ				1	pathīkṛ	8:1	prefixus+classfreq
pattalībhū				1	pattalībhū	1:1	prefixus+classfreq
pattalīkṛ				1	pattalīkṛ	8:5	prefixus+classfreq
pattrībhū				1	pattrībhū	1:2	prefixus+classfreq
pattrīkṛ				1	pattrīkṛ	8:9	prefixus+classfreq
pattrīkṛ	su-			1	supattrīkṛ		prefixus
pavay						10:3	classfreq
pavitrīkṛ				1	pavitrīkṛ	8:5	prefixus+classfreq
pay	abhyā-			1	abhyāpay		prefixus
pay	adhyā-			1	adhyāpay		prefixus
pay	pratyā-			1	pratyāpay		prefixus
pay	prā-			1	prāpay		prefixus
pay	samā-			1	samāpay		prefixus
pay	saṃprā-			1	saṃprāpay		prefixus
pay	vyā-			1	vyāpay		prefixus
pay	ā-			1	āpay		prefixus
paç				1	paś		prefixus
paç	abhi-			1	abhipaś		prefixus
paç	abhivi-			1	abhivipaś		prefixus
paç	anu-			1	anupaś		prefixus
paç	pari-			1	paripaś		prefixus
paç	pra-			1	prapaś		prefixus
paç	prati-			1	pratipaś		prefixus
paç	prativi-			1	prativipaś		prefixus
paç	samanu-			1	samanupaś		prefixus
paç	saṃ-			1	saṃpaś		prefixus
paç	saṃpra-			1	saṃprapaś		prefixus
paç	saṃprati-			1	saṃpratipaś		prefixus
paç	vi-			1	vipaś		prefixus
pañcaśikhīkṛ						8:1	classfreq
paś						4:3058	classfreq
paśūkṛ						8:2	classfreq
paṇ				1	paṇ	1:11	prefixus+classfreq
paṇ	vi-			1	vipaṇ		prefixus
paṇay				1	paṇay	10:1	prefixus+classfreq
paṇīkṛ						8:2	classfreq
paṭh				1	paṭh	1:547	prefixus+classfreq
paṭh	abhi-			1	abhipaṭh		prefixus
paṭh	anu-			1	anupaṭh		prefixus
paṭh	pari-			1	paripaṭh		prefixus
